background,x,y,green,BIO3,soc,sand,roads,BIO06,twi
background,473334.9838,4434076.1748,0.0905950665473938,38.7881813049316,19.0959739685059,34.3557052612305,203.856292724609,5.6551399230957,7.16724157333374
background,473384.9838,4436626.1748,0.0986741185188293,38.3575096130371,23.2773456573486,35.1128616333008,104.581382751465,5.62344837188721,5.34856367111206
background,473434.9838,4434476.1748,0.0926714837551117,38.8951225280762,20.9154434204102,39.8842735290527,339.811309814453,5.62969493865967,8.39745712280273
background,473434.9838,4436576.1748,0.0918459594249725,38.3765830993652,23.2204341888428,35.2157249450684,125.240058898926,5.61964702606201,6.95341730117798
background,473484.9838,4434876.1748,0.0964729264378548,38.2353935241699,21.6102676391602,40.2752571105957,262.163940429688,5.65942811965942,6.48130226135254
background,473484.9838,4435526.1748,0.0842843130230904,38.3867607116699,10.2106313705444,16.7697086334229,228.477355957031,5.64315557479858,8.6092643737793
background,473584.9838,4435926.1748,0.0853068083524704,38.7474632263184,21.5401039123535,32.1420135498047,39.4984359741211,5.60849094390869,9.62856864929199
background,473584.9838,4436576.1748,0.0985714495182037,38.305908203125,24.0529441833496,35.4074440002441,146.878082275391,5.61758756637573,5.33242845535278
background,473634.9838,4433526.1748,0.103215396404266,39.2001762390137,22.2338790893555,37.173770904541,77.0145645141602,5.59926319122314,7.855384349823
background,473634.9838,4434276.1748,0.105628341436386,38.5257263183594,20.6813678741455,40.2540626525879,164.22819519043,5.66043329238892,6.67083263397217
background,473634.9838,4436676.1748,0.104100309312344,38.0222320556641,24.8490295410156,35.3705406188965,155.405624389648,5.62320423126221,7.69913530349731
background,473634.9838,4436876.1748,0.109317362308502,37.8872032165527,24.7285060882568,35.2382507324219,56.0227432250977,5.59571218490601,8.26895332336426
background,473684.9838,4436426.1748,0.094855934381485,38.5688514709473,22.802619934082,35.5813446044922,73.38818359375,5.59679508209229,8.56669902801514
background,473684.9838,4436626.1748,0.0989568531513214,38.3569450378418,24.7546672821045,35.3982925415039,207.723129272461,5.60874128341675,5.64647340774536
background,473734.9838,4433926.1748,0.0920359790325165,39.0313911437988,22.5287704467773,37.820972442627,139.437774658203,5.61819219589233,8.68810653686523
background,473734.9838,4435276.1748,0.0943498909473419,38.0139122009277,24.6401119232178,38.8180236816406,315.788360595703,5.65375471115112,7.30078029632568
background,473784.9838,4437376.1748,0.107388816773891,37.4023780822754,22.7900085449219,32.0926551818848,60.319221496582,5.56248998641968,8.20110416412354
background,473784.9838,4439126.1748,0.0912105962634087,37.2188568115234,28.2200374603271,33.4144973754883,615.062805175781,5.32977199554443,7.31236791610718
background,473834.9838,4433126.1748,0.103209957480431,38.6726264953613,22.1765060424805,41.6525840759277,7.10203123092651,5.4538516998291,6.79586982727051
background,473834.9838,4433176.1748,0.0983326807618141,38.6379280090332,22.0333366394043,41.5165786743164,1.96994471549988,5.4545783996582,6.96396970748901
background,473834.9838,4434926.1748,0.113229632377625,38.0259666442871,22.5682506561279,38.6429977416992,165.374938964844,5.64878368377686,7.5969090461731
background,473884.9838,4432876.1748,0.115609794855118,38.7784194946289,20.990894317627,38.5608825683594,111.057922363281,5.45751667022705,7.28495264053345
background,473884.9838,4435976.1748,0.0871893465518951,38.2987365722656,25.4781513214111,37.3542175292969,157.841201782227,5.62275743484497,6.27406549453735
