X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
475762.818519539,4435493.35586751,train,2.7620018562564186E-4,1.7657273924073622,0.10373778952683232
474363.340837344,4433520.03801908,train,0.02145562708537853,100.0,0.8999122319523324
478501.882610708,4431195.779174,train,0.006624595364998146,85.74387481529669,0.7351774859132791
478664.499375238,4431013.90701039,train,0.00891044462403377,92.42133619401646,0.7887632971338915
474662.217253871,4432829.65291504,train,0.0030745477557091966,59.68437896042561,0.5630182547060044
477440.34325499,4435066.75039237,train,8.851897253912638E-4,13.300129890173793,0.2705783081144898
478463.917852968,4431440.97147013,train,0.005189674001998174,78.22000525160422,0.6850188787307872
474422.08479708,4433539.15095115,train,0.016143913748514767,100.0,0.8712218990027074
481440.066925949,4434060.12823842,train,0.00149663792168078,28.794090441246112,0.38544119472350896
478371.81527373,4438053.24765695,train,4.1235654026922645E-4,3.8102624280262583,0.14734175001583133
481006.880582198,4432476.03282277,train,9.513027402537039E-4,15.037692549590986,0.28502715282291047
483105.818653542,4434799.14261903,train,9.804127121242083E-4,16.150119133593478,0.2912091298585476
477441.570707842,4433720.76636051,train,0.009591923041248682,92.74879261129092,0.8007812275206815
474213.396845688,4433458.55019516,train,0.005217398358329836,78.3265632902718,0.6861673550686801
478471.089229703,4431465.7060797,train,0.0037881636514740173,70.33095304581221,0.6135227137148117
473805.036298005,4434472.10105186,train,0.008964547166423073,92.44733294497986,0.7897701346840696
483001.938939244,4433989.27141803,train,5.609800057519864E-4,6.521801050090185,0.19033926895918002
473626.628536341,4434682.99564418,train,0.005438767622462716,79.88102969722374,0.6950456230100497
474631.986100117,4434834.32486089,train,0.002721278955079673,54.50847390951323,0.532794050009041
474630.007614934,4433940.72457232,train,0.005927852401116826,82.84970285306892,0.712984774284651
477440.932336435,4433662.71919849,train,0.009811956095218859,92.85451639078998,0.8043747554317792
481018.45630754,4431729.599701,train,0.001364080840381663,25.905058368784783,0.36371954015641383
478379.521373063,4431448.42505382,train,0.0023177468862890433,46.03159278555288,0.4927151043217563
476801.27912229,4434743.52916058,train,0.004967423816812031,76.96489662140493,0.6754992434932006
481488.577724163,4434030.82045088,train,0.0018921412874186344,38.21750094850908,0.44225183898024606
477317.102137586,4432161.03871947,train,0.010201964980797631,93.04190290141891,0.810435613140221
477275.420378188,4432181.24998051,train,0.008963038061318528,92.44660780660655,0.7897421806819256
477428.754498064,4435038.04589905,train,0.0011535903463583525,20.474879884917993,0.3258845807071199
474649.443162662,4434883.02753538,train,0.0025460629751002033,50.98703844423935,0.5161970922233514
477868.851264658,4435269.53992436,train,0.010574136652072519,95.66086020069542,0.8158791476197665
473718.178754241,4434680.63262233,train,0.00837317208041684,92.16317279778222,0.7782152095991121
481549.857680374,4433915.56915709,train,0.00166085762286261,31.897495618460766,0.41037797282677
477478.774392465,4430367.01775964,train,0.007456760279144523,90.55148956951709,0.7575664955271503
481570.378032683,4433895.18935514,train,0.0018119839628907655,36.61324279740931,0.43160277972795424
481584.016022811,4433922.88752311,train,0.0013151087765042395,24.94056975146257,0.3553010954453385
478624.753504868,4431595.33966863,train,0.00403609955317432,72.35435182684407,0.6284426572524742
477775.40768978,4431267.01403168,train,0.0016925449625607122,32.6265431365218,0.41495859028766896
478570.079415496,4431033.98153766,train,0.008772047504605142,92.3548351519458,0.7861433219025525
478585.469515876,4435834.66173491,train,0.0017501904878084833,35.0382355573802,0.4231116739039677
477389.601427484,4433486.20027707,train,0.0020458053360994273,40.86255860142191,0.4615894112250701
474396.968846775,4433565.31766425,train,0.01747381679638309,100.0,0.8798453392342749
479360.229199745,4432923.22165531,train,3.6818218054665395E-4,3.290141008663414,0.13366736272857965
478578.955216179,4435857.94086172,train,0.0015942188652249582,30.630642909596965,0.40050693784580904
477192.234372253,4434535.67733782,train,0.003499931633748794,67.4318562090017,0.5945979678381813
474499.178838266,4432955.58603606,train,0.001076402330037305,18.156996849975233,0.3108576240048328
477624.034953912,4431106.22442181,train,0.0014844425156236012,27.81528177100795,0.38350491871340575
478142.806326324,4430937.28289116,train,0.008354905568159167,92.15439561440778,0.77783804143664
473942.053512125,4434716.18349083,train,0.0044862211514486985,75.61587103809153,0.6527781783325375
477499.819534493,4433530.09478197,train,0.012697906111678085,98.9225958065562,0.8418023327475584
474595.68047004,4434948.17526879,train,0.0028066698428456985,55.75570338471155,0.5404766011915677
477437.964462643,4430285.33482437,train,0.006822669483043174,86.27320809545178,0.7408735172944253
479363.99093796,4432988.27759856,train,5.95848252171883E-4,7.238313828142695,0.19980613729607158
479679.272962021,4433069.73710096,train,0.0017666108357833879,35.45056256672202,0.42539266301565526
473924.270375852,4434637.72885245,train,0.008291877398438719,92.1241101501884,0.7765267237300421
478473.588624133,4431208.95352267,train,0.004245630848727168,74.03020346577054,0.6401817850193336
474628.990813098,4433971.15024905,train,0.007721860696525984,90.84448477782372,0.7639246579307006
477411.101161117,4431327.73178646,train,0.008012503737843065,91.1657428576503,0.7705228941457116
478507.926276113,4430873.63775283,train,0.024760146037612903,100.0,0.9120958572193338
473942.599419476,4434508.38639434,train,0.005061356218851516,77.66398746514606,0.6795919676505476
