Predictor variable,Categorical,Sample average
BIO06,false,5.314053173065186
BIO3,false,38.9977293395996
BIO4,false,569.6557885742187
aspect,false,188.32680053710942
bkd,false,1.3034162521362305
clay,false,24.810624847412114
fla,false,3343.484815673828
green,false,0.11445776104927063
rivers,false,243.95059520721443
roads,false,120.73094701766975
sand,false,38.83097274780274
silt,false,36.355550384521486
slope,false,4.6264003443717945
soc,false,21.46520973205566
tpi,false,0.06571021862328053
twi,false,8.379655876159665
