Predictor variable,Categorical,Sample average
BIO03,false,39.11657867431641
BIO06,false,5.276192836761473
BIO15,false,53.45681655883789
aspect,false,186.97138885498052
bkd,false,1.3048531770706173
blue2023,false,0.1170211470127105
dndvi,false,-0.005556943838018932
fla,false,4030.4726898193367
nir2021,false,0.23626849353313453
rivers,false,214.314909362793
roads,false,124.98188793182374
slope,false,5.83478841304779
soc,false,21.114744110107427
texture,false,4.480087699890137
tpi,false,0.01516698006540497
twi,false,8.057396297454835
wo,false,1.0
