x,y,Phytophthora_PA3_RUN3 logistic values
473334.9838,4433626.1748,0.37694767
473384.9838,4433876.1748,0.3433689
473384.9838,4436676.1748,0.48046002
473434.9838,4434126.1748,0.43734446
473534.9838,4433476.1748,0.03693385
473634.9838,4436776.1748,0.44557592
473684.9838,4436426.1748,0.013300578
473684.9838,4436526.1748,0.0019974192
473734.9838,4437276.1748,0.03056422
473784.9838,4436626.1748,0.004157038
473784.9838,4437676.1748,0.12346931
473834.9838,4433476.1748,0.48788226
473834.9838,4434926.1748,0.6634083
473834.9838,4435576.1748,0.09151036
473834.9838,4435826.1748,0.06463826
473884.9838,4436776.1748,0.004651284
473884.9838,4437176.1748,0.10572323
473884.9838,4437676.1748,0.06639137
473934.9838,4436176.1748,0.058663756
473984.9838,4434026.1748,0.01596935
473984.9838,4435726.1748,0.04936416
473984.9838,4437626.1748,0.015557713
474034.9838,4433126.1748,0.57235277
474034.9838,4433526.1748,0.46870354
474034.9838,4439526.1748,0.049700864
474084.9838,4432876.1748,0.5414985
474084.9838,4434776.1748,0.5865676
474084.9838,4436876.1748,0.3448551
474084.9838,4437226.1748,0.06403698
474084.9838,4437376.1748,0.0619004
474084.9838,4439176.1748,9.3706517E-4
474134.9838,4439176.1748,0.0026688785
474184.9838,4433426.1748,0.15647675
474234.9838,4432776.1748,0.18132496
474234.9838,4435376.1748,0.4557101
474234.9838,4435776.1748,0.32636783
474284.9838,4435776.1748,0.3203216
474334.9838,4435776.1748,0.43118596
474384.9838,4437326.1748,0.061061192
474434.9838,4434826.1748,0.6516053
474434.9838,4440176.1748,0.023808392
474484.9838,4440326.1748,0.07018563
474534.9838,4433826.1748,0.47623104
474584.9838,4432826.1748,0.81588584
474584.9838,4433826.1748,0.5955206
474584.9838,4439976.1748,0.024280332
474634.9838,4435926.1748,0.09888942
474634.9838,4436876.1748,0.17766231
474634.9838,4437476.1748,0.07434428
474634.9838,4437526.1748,0.052405532
474634.9838,4438676.1748,0.00697723
474634.9838,4438926.1748,0.02432337
474684.9838,4432626.1748,0.8756538
474684.9838,4435176.1748,0.39446327
474684.9838,4439276.1748,0.01744439
474734.9838,4435676.1748,0.062015373
474734.9838,4436026.1748,0.038570292
474734.9838,4436776.1748,0.1527713
474734.9838,4438876.1748,0.02438068
474734.9838,4439376.1748,0.010639342
474734.9838,4440526.1748,0.0064861113
474784.9838,4436676.1748,0.14603941
474784.9838,4437026.1748,0.3208535
474784.9838,4437326.1748,0.006599562
474784.9838,4440176.1748,0.09499477
474834.9838,4433976.1748,0.6329736
474834.9838,4436176.1748,0.24098493
474834.9838,4437376.1748,9.476226E-4
474834.9838,4440376.1748,0.07080306
474884.9838,4432776.1748,0.5600361
474884.9838,4434076.1748,0.60501456
474884.9838,4436426.1748,0.44666442
474884.9838,4437526.1748,0.0065246476
474884.9838,4437976.1748,0.005878804
474884.9838,4441476.1748,9.495375E-4
474934.9838,4433176.1748,0.31452322
474934.9838,4433726.1748,0.21348181
474934.9838,4438426.1748,0.03956045
474934.9838,4440976.1748,0.0024790373
474984.9838,4432876.1748,0.64212894
474984.9838,4433626.1748,0.10014609
474984.9838,4439326.1748,0.0069781784
475034.9838,4431826.1748,0.6606478
475034.9838,4435526.1748,0.44201317
475034.9838,4438926.1748,0.013329342
475034.9838,4438976.1748,0.014313864
475084.9838,4433326.1748,0.098947056
475084.9838,4435976.1748,0.24256533
475084.9838,4440076.1748,0.13863793
475084.9838,4441576.1748,6.9332053E-4
475134.9838,4431576.1748,0.5279948
475134.9838,4434076.1748,0.2823314
475134.9838,4434976.1748,0.4973637
475134.9838,4437726.1748,0.03257956
475184.9838,4432776.1748,0.692687
475234.9838,4430776.1748,0.30161965
475234.9838,4434826.1748,0.64277434
475284.9838,4435976.1748,0.11366674
475284.9838,4440376.1748,0.006807571
475284.9838,4441226.1748,0.008388336
475334.9838,4435226.1748,0.4666852
475334.9838,4435376.1748,0.40226272
475334.9838,4438326.1748,5.811263E-4
475384.9838,4436026.1748,0.13693467
475384.9838,4439076.1748,0.02132567
475384.9838,4439526.1748,0.115281105
475384.9838,4440126.1748,0.10661873
