background,x,y,nitrogen,sand,fla,rivers,roads,aspect,BIO16
background,473184.9838,4433976.1748,13.5217552185059,25.5533561706543,186.335556030273,51.8071212768555,333.642333984375,71.881233215332,288.129486083984
background,473284.9838,4433776.1748,19.4166164398193,36.8377113342285,432.460388183594,91.3243713378906,139.153732299805,293.814178466797,289.564544677734
background,473334.9838,4433676.1748,19.4003028869629,37.0901947021484,675.492797851562,197.454650878906,96.604377746582,199.561630249023,289.363159179688
background,473384.9838,4435026.1748,19.1993408203125,39.5995483398438,166.660629272461,12.4812088012695,421.421722412109,104.192016601562,294.46484375
background,473434.9838,4433626.1748,19.8315601348877,37.0792999267578,838.780334472656,118.86604309082,58.7507133483887,155.413635253906,292.57373046875
background,473434.9838,4434976.1748,19.0080909729004,39.8797950744629,1776.00256347656,51.9029235839844,352.050537109375,289.317687988281,295.264526367188
background,473484.9838,4434726.1748,19.2197895050049,40.0061531066895,6353.84228515625,39.0325355529785,253.122543334961,245.774749755859,293.891998291016
background,473584.9838,4434876.1748,19.3722095489502,40.0773239135742,1865.03161621094,194.298400878906,171.821090698242,237.699493408203,297.887298583984
background,473584.9838,4435726.1748,15.567967414856,31.6795921325684,7306.302734375,44.3801918029785,52.9426574707031,253.550186157227,298.841156005859
background,473584.9838,4437226.1748,17.3717613220215,28.1815280914307,1487.10864257812,522.202514648438,115.135612487793,269.684783935547,311.897186279297
background,473784.9838,4437076.1748,19.5748748779297,31.6412048339844,3205.40502929688,272.640625,129.877044677734,208.351531982422,312.334899902344
background,473784.9838,4437426.1748,20.5662212371826,31.9542598724365,4164.68505859375,469.478454589844,96.6487274169922,226.814788818359,315.105621337891
background,473834.9838,4434826.1748,18.8506870269775,39.0365219116211,4795.42822265625,400.395141601562,65.3753128051758,211.984298706055,298.733734130859
background,473834.9838,4435326.1748,17.926342010498,38.8977584838867,1000.14154052734,55.0067291259766,214.804473876953,175.178695678711,299.640686035156
background,473834.9838,4435876.1748,19.113842010498,38.0466003417969,560.266784667969,174.837493896484,83.3659133911133,337.549163818359,307.5908203125
background,473834.9838,4439276.1748,20.5099544525146,33.0735168457031,1875.12683105469,165.671478271484,628.408081054688,274.273162841797,318.081146240234
background,473884.9838,4433826.1748,19.2218494415283,37.5915069580078,3027.3603515625,81.7901306152344,261.701965332031,324.772644042969,296.505645751953
background,473884.9838,4434026.1748,19.3095645904541,39.1140022277832,706.899047851562,77.294189453125,232.729278564453,175.331237792969,297.755615234375
background,473884.9838,4434476.1748,19.1536636352539,40.2899551391602,7513.58837890625,118.814208984375,103.881187438965,207.865234375,300.755432128906
background,473884.9838,4434526.1748,19.1042232513428,40.403564453125,7092.29345703125,168.242935180664,153.877777099609,211.896759033203,301.159301757812
background,473934.9838,4434126.1748,19.2090950012207,40.0749893188477,562.012512207031,133.593170166016,141.301559448242,229.375732421875,299.411773681641
background,473984.9838,4433476.1748,19.2273712158203,40.2762184143066,2781.14916992188,441.570220947266,61.6804809570312,296.908538818359,298.034820556641
background,473984.9838,4436176.1748,18.6993865966797,36.132682800293,1134.22509765625,114.516082763672,76.1540145874023,149.932113647461,308.035614013672
background,474034.9838,4434176.1748,18.7641105651855,39.9181098937988,336.626190185547,61.2218437194824,130.050033569336,154.802932739258,299.388305664062
background,474034.9838,4435626.1748,18.4181652069092,38.2992286682129,4923.3642578125,132.837600708008,9.06712913513184,224.737609863281,306.320098876953
background,474084.9838,4433076.1748,18.7120227813721,40.8467559814453,1369.31555175781,635.764038085938,82.3595199584961,224.514404296875,298.047302246094
background,474084.9838,4433126.1748,18.8742847442627,41.1924171447754,996.306701660156,616.580078125,57.3113212585449,218.992462158203,298.413543701172
background,474084.9838,4436476.1748,18.3702526092529,35.6339988708496,947.972473144531,332.489349365234,102.950141906738,202.691253662109,311.687835693359
background,474084.9838,4439726.1748,19.3330268859863,28.0232448577881,3078.6474609375,64.3747863769531,518.490173339844,292.369110107422,316.550201416016
background,474134.9838,4433176.1748,18.7788619995117,41.0297775268555,683.124938964844,606.809753417969,30.7981452941895,215.109085083008,298.684509277344
background,474184.9838,4435726.1748,18.2537517547607,37.8888511657715,3182.79443359375,295.041351318359,106.085075378418,257.757293701172,307.578582763672
background,474184.9838,4435976.1748,18.235746383667,37.3627700805664,1765.3134765625,162.952239990234,19.2933750152588,318.097503662109,306.977416992188
background,474234.9838,4433176.1748,18.8904724121094,40.9179649353027,504.452941894531,507.740539550781,26.2979774475098,153.295852661133,297.640411376953
background,474234.9838,4433626.1748,19.6255760192871,40.3196640014648,920.865051269531,430.451324462891,56.5436210632324,257.693389892578,298.031524658203
background,474234.9838,4434676.1748,17.500057220459,38.8005485534668,964.664428710938,360.990875244141,250.434127807617,179.832595825195,303.564544677734
background,474234.9838,4435176.1748,18.5255699157715,37.7773056030273,1062.71936035156,373.049285888672,24.1751041412354,235.705856323242,306.830535888672
background,474234.9838,4436726.1748,19.1955299377441,34.8788566589355,1532.14050292969,297.677764892578,67.7783355712891,182.864318847656,312.892974853516
background,474234.9838,4436926.1748,20.1827621459961,33.7253723144531,3904.09448242188,175.996734619141,107.301948547363,256.629852294922,313.215393066406
background,474284.9838,4434376.1748,17.7668895721436,39.416919708252,3723.72290039062,183.277114868164,85.2380599975586,163.423736572266,300.665496826172
background,474284.9838,4434876.1748,17.7374286651611,38.7313079833984,1238.32861328125,410.174926757812,209.425384521484,175.658554077148,305.100677490234
background,474284.9838,4439876.1748,21.3159503936768,30.4089317321777,3375.40185546875,82.8911972045898,291.553558349609,248.408721923828,317.993835449219
background,474284.9838,4440026.1748,21.8268737792969,30.003173828125,752.441467285156,98.4785385131836,157.996246337891,277.147399902344,317.502563476562
background,474334.9838,4432926.1748,17.7211475372314,39.3673973083496,728.448608398438,426.230346679688,211.503692626953,111.398612976074,296.677124023438
background,474334.9838,4434076.1748,19.0970478057861,40.1773643493652,13683.75390625,40.7864952087402,164.18928527832,264.689666748047,297.237213134766
background,474334.9838,4435226.1748,18.4690818786621,37.6124267578125,687.058654785156,434.486541748047,3.48550891876221,219.772323608398,307.187805175781
background,474334.9838,4435426.1748,18.407054901123,37.3397102355957,3299.17846679688,345.933563232422,116.976753234863,240.116424560547,308.223846435547
background,474334.9838,4436076.1748,18.5614738464355,36.9352035522461,13670.390625,19.3310832977295,164.890625,323.315856933594,306.218078613281
background,474334.9838,4436926.1748,19.8059310913086,33.6144981384277,2952.98950195312,259.455718994141,96.6578826904297,241.854904174805,316.466400146484
background,474384.9838,4432626.1748,17.2394142150879,38.9119262695312,418.481506347656,184.924987792969,171.516159057617,126.516220092773,289.799377441406
background,474384.9838,4435826.1748,18.0185794830322,37.0595436096191,1032.26342773438,192.421142578125,2.84808564186096,274.790557861328,309.330627441406
background,474434.9838,4433076.1748,18.7150726318359,40.4256896972656,2174.6396484375,302.430206298828,183.257400512695,57.1232109069824,288.842651367188
background,474434.9838,4434626.1748,17.3937969207764,38.7470855712891,3857.61450195312,155.062133789062,101.393173217773,156.372848510742,302.105010986328
