Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.24237E-11,0.000000001,0.000000071,1,0,0
9.55696E-11,0.000000011,0.000000548,0.9999,0,0
4.95308E-10,0.00000006,0.00000284,0.9998,0,0
8.38162E-10,0.000000144,0.000004806,0.9997,0,0
1.67983E-9,0.000000312,0.000009632,0.9996,0,0
2.93463E-9,0.000001207,0.000016826,0.9992,0,0
5.50514E-9,0.000002934,0.000031564,0.9988,0,0
1.45362E-8,0.000011446,0.00008334,0.998,0,0
2.60842E-8,0.000026149,0.000149537,0.9973,0,0
5.6626E-8,0.000055481,0.000324571,0.9967,0,0
9.00534E-8,0.00010231,0.000516074,0.9961,0,0
1.301E-7,0.000261868,0.000745398,0.9947,0,0
2.27202E-7,0.000512394,0.001301014,0.9933,0,0
3.50095E-7,0.001020061,0.002003323,0.9916,0,0
6.66773E-7,0.002508259,0.003808519,0.9887,0,0
1.02158E-6,0.005009782,0.005823353,0.9858,0,0
1.40266E-6,0.010012456,0.007978304,0.9817,0,0
1.98702E-6,0.025085601,0.011264649,0.9729,0,0
2.49855E-6,0.050201594,0.014123594,0.9618,0,0
3.16062E-6,0.100081473,0.017799499,0.9442,0,0
4.28389E-6,0.20037076,0.023973742,0.9173,0,0
5.44519E-6,0.300243624,0.030275901,0.8968,0,0
6.69106E-6,0.400575625,0.036947135,0.8804,0,0
7.66931E-6,0.50040394,0.04212138,0.8665,0,0
8.67319E-6,0.600748528,0.047373676,0.8542,0,0
9.60391E-6,0.70081694,0.052192027,0.8432,0,0
1.01606E-5,0.750357362,0.055050762,0.8382,0,0
1.06657E-5,0.800442453,0.05762967,0.8334,0,0
1.17823E-5,0.900747516,0.063281211,0.8245,0,0
1.26897E-5,1.000357608,0.067824358,0.8164,0,0
1.37455E-5,1.101000282,0.07305487,0.8088,0,0
1.48759E-5,1.201138155,0.078590845,0.8018,0,0
1.59068E-5,1.301083904,0.083581631,0.7953,0,0
1.69047E-5,1.401306732,0.088361809,0.7892,0,0
1.77201E-5,1.50156959,0.092231043,0.7834,0,0
2.00258E-5,1.750046941,0.102995992,0.7702,0,0
2.20352E-5,2.000299597,0.112171185,0.7583,0,0
2.38836E-5,2.25058216,0.120447305,0.7474,0,0
2.5476E-5,2.500133829,0.127454417,0.7373,0,0
2.69676E-5,2.752252469,0.133917418,0.7277,0,0
2.85564E-5,3.001706217,0.140697233,0.7187,0,0
3.01144E-5,3.251648934,0.147243024,0.7102,0,0
3.15288E-5,3.501901103,0.153099878,0.7021,0,0
3.27655E-5,3.752991574,0.158155623,0.6943,0,0
3.39998E-5,4.003235442,0.16314141,0.6868,0,0
3.50448E-5,4.251450892,0.167316519,0.6796,0,0
3.62743E-5,4.501060795,0.172176113,0.6726,0,0
3.73188E-5,4.751443698,0.176259991,0.6658,0,0
3.86231E-5,5.001775933,0.181303325,0.6592,0,0
3.95438E-5,5.251875232,0.184826469,0.6528,0.020408163,0
4.03807E-5,5.504008097,0.188002645,0.6465,0.020408163,0
4.15399E-5,5.753861434,0.192361389,0.6404,0.020408163,0
4.2565E-5,6.002298082,0.196177021,0.6345,0.020408163,0
4.36246E-5,6.252110215,0.200083684,0.6287,0.020408163,0
4.48306E-5,6.504396542,0.204483728,0.623,0.040816327,0
4.58383E-5,6.753599624,0.20812356,0.6175,0.040816327,0
4.67909E-5,7.003679471,0.211533766,0.6121,0.040816327,0
4.75919E-5,7.254102713,0.214378742,0.6068,0.040816327,0
4.84052E-5,7.503813475,0.21724652,0.6016,0.040816327,0
4.93328E-5,7.752688436,0.220491671,0.5965,0.040816327,0
5.02461E-5,8.001780498,0.223660461,0.5915,0.040816327,0
5.11999E-5,8.250318845,0.226942912,0.5866,0.040816327,0
5.21046E-5,8.503493377,0.230030392,0.5817,0.040816327,0
5.28742E-5,8.750342947,0.232637613,0.577,0.040816327,0
5.36936E-5,9.000914183,0.235394011,0.5723,0.040816327,0
5.44011E-5,9.254726628,0.237758267,0.5676,0.040816327,0
5.53524E-5,9.501694937,0.240914448,0.5631,0.040816327,0
5.60579E-5,9.752428703,0.243238116,0.5586,0.06122449,0
5.68322E-5,10.000951758,0.245772007,0.5542,0.06122449,0
5.76751E-5,10.253188229,0.248511514,0.5498,0.06122449,0
5.84323E-5,10.502826892,0.250955213,0.5455,0.06122449,0
5.94202E-5,10.750183766,0.254119773,0.5413,0.06122449,0
6.02559E-5,11.001351249,0.256776298,0.5371,0.081632653,0
6.13105E-5,11.250660423,0.260101524,0.533,0.081632653,0
6.22005E-5,11.503760336,0.262884356,0.5289,0.081632653,0
6.29023E-5,11.753769174,0.265064317,0.5249,0.081632653,0
6.34724E-5,12.000268983,0.266825719,0.521,0.081632653,0
6.39941E-5,12.255085386,0.268430128,0.517,0.081632653,0
6.46499E-5,12.505787541,0.270436967,0.5131,0.081632653,0
6.54962E-5,12.753273411,0.273010802,0.5093,0.081632653,0
6.62303E-5,13.003674354,0.275228517,0.5055,0.102040816,0
6.68118E-5,13.256437266,0.276975601,0.5017,0.102040816,0
6.73402E-5,13.504770345,0.278555905,0.498,0.102040816,0
6.80271E-5,13.755286338,0.280600152,0.4943,0.102040816,0
6.86575E-5,14.001570607,0.282465944,0.4907,0.102040816,0
6.93434E-5,14.256921418,0.284485089,0.487,0.102040816,0
7.00052E-5,14.500895287,0.286422339,0.4835,0.102040816,0
7.07467E-5,14.754398113,0.288580669,0.4799,0.102040816,0
7.13723E-5,15.00309478,0.290391506,0.4764,0.102040816,0
7.20169E-5,15.253940412,0.292247907,0.4729,0.102040816,0
7.27041E-5,15.500002665,0.294216094,0.4695,0.102040816,0
7.33052E-5,15.755446533,0.295928779,0.466,0.102040816,0
7.3751E-5,16.005406164,0.297193409,0.4626,0.102040816,0
7.44891E-5,16.257345198,0.299277656,0.4592,0.102040816,0
7.51365E-5,16.504296426,0.301095569,0.4559,0.102040816,0
7.59359E-5,16.753596589,0.30332723,0.4526,0.102040816,0
7.66611E-5,17.005290647,0.305339724,0.4493,0.102040816,0
7.71609E-5,17.251378254,0.306719712,0.4461,0.102040816,0
7.76972E-5,17.506956587,0.308194585,0.4428,0.102040816,0
7.83795E-5,17.756532041,0.310061784,0.4396,0.102040816,0
7.88724E-5,18.00015139,0.311404484,0.4365,0.102040816,0
7.94351E-5,18.253509425,0.312930785,0.4333,0.102040816,0
8.0215E-5,18.501026113,0.315035385,0.4302,0.102040816,0
8.07294E-5,18.75059851,0.316416378,0.4271,0.102040816,0
8.1543E-5,19.002213682,0.318589185,0.424,0.102040816,0
8.21481E-5,19.255858529,0.320196525,0.4209,0.102040816,0
8.25871E-5,19.502970493,0.321357811,0.4179,0.102040816,0
8.32999E-5,19.751759344,0.323234888,0.4149,0.102040816,0
8.40021E-5,20.002903181,0.325073929,0.4119,0.102040816,0
8.46542E-5,20.255949112,0.326772642,0.4089,0.102040816,0
8.53251E-5,20.502338002,0.328511589,0.406,0.102040816,0
8.59003E-5,20.750736363,0.329995366,0.4031,0.12244898,0
8.65073E-5,21.000749506,0.331554286,0.4002,0.142857143,0
8.70507E-5,21.252418191,0.332943388,0.3973,0.142857143,0
8.76279E-5,21.505790134,0.334412895,0.3944,0.142857143,0
8.85764E-5,21.752209314,0.33681348,0.3916,0.142857143,0
8.90615E-5,22.000903774,0.338034559,0.3888,0.142857143,0
8.9659E-5,22.251099599,0.339532233,0.386,0.142857143,0
9.03199E-5,22.503306736,0.341181055,0.3832,0.163265306,0
9.12278E-5,22.757478125,0.343432924,0.3804,0.183673469,0
9.18968E-5,23.0046825,0.345082417,0.3777,0.183673469,0
9.23954E-5,23.253506688,0.346306136,0.375,0.183673469,0
9.32924E-5,23.504260086,0.348496665,0.3723,0.183673469,0
9.39246E-5,23.757122515,0.350031618,0.3696,0.183673469,0
9.47026E-5,24.002510532,0.351910637,0.367,0.183673469,0
9.54456E-5,24.259208305,0.353695037,0.3643,0.183673469,0
9.60251E-5,24.508206194,0.355079978,0.3617,0.204081633,0
9.65445E-5,24.758556553,0.356316205,0.3591,0.204081633,0
9.70494E-5,25.000452749,0.357513381,0.3566,0.204081633,0
9.7691E-5,25.253639582,0.359028509,0.354,0.224489796,0
9.82495E-5,25.50851874,0.360341489,0.3514,0.224489796,0
9.89747E-5,25.755060448,0.362038294,0.3489,0.224489796,0
9.94879E-5,26.003135264,0.363233514,0.3464,0.224489796,0
9.99471E-5,26.252400682,0.364299326,0.3439,0.224489796,0
1.00549E-4,26.502981665,0.365691244,0.3414,0.224489796,0
1.01441E-4,26.755411538,0.367743079,0.3389,0.224489796,0
1.02204E-4,27.009889626,0.369486921,0.3364,0.244897959,0
1.02699E-4,27.255717131,0.370612535,0.334,0.244897959,0
1.03427E-4,27.50305448,0.372262322,0.3316,0.265306122,0
1.04131E-4,27.75212254,0.373847116,0.3292,0.285714286,0
1.04758E-4,28.00265354,0.375254203,0.3268,0.285714286,0
1.05622E-4,28.254973112,0.377181283,0.3244,0.285714286,0
1.06165E-4,28.509279182,0.37838766,0.322,0.285714286,0
1.06819E-4,28.754073653,0.379833208,0.3197,0.285714286,0
1.07355E-4,29.000445001,0.381012777,0.3174,0.285714286,0
1.08013E-4,29.258886663,0.382455831,0.315,0.285714286,0
1.08502E-4,29.507915317,0.383521393,0.3127,0.285714286,0
1.09213E-4,29.758375575,0.385068006,0.3104,0.285714286,0
1.0987E-4,30.010428205,0.386488431,0.3081,0.285714286,0
1.10471E-4,30.252726843,0.387784255,0.3059,0.285714286,0
1.1131E-4,30.507756248,0.389581244,0.3036,0.285714286,0
1.11873E-4,30.753384926,0.390781015,0.3014,0.306122449,0
1.1243E-4,31.000125645,0.391964477,0.2992,0.306122449,0
1.13149E-4,31.259602277,0.393484031,0.2969,0.306122449,0
1.13798E-4,31.509324749,0.394850764,0.2947,0.306122449,0
1.14546E-4,31.760551441,0.396416322,0.2925,0.306122449,0
1.15005E-4,32.001723452,0.397374723,0.2904,0.306122449,0
1.1544E-4,32.255292555,0.398279192,0.2882,0.306122449,0
1.16205E-4,32.51023837,0.399862434,0.286,0.306122449,0
1.16968E-4,32.754873432,0.401434384,0.2839,0.306122449,0
1.17475E-4,33.001121523,0.402473737,0.2818,0.306122449,0
1.18213E-4,33.260491955,0.403981818,0.2796,0.306122449,0
1.18956E-4,33.509514219,0.405490443,0.2775,0.306122449,0
1.19775E-4,33.760176239,0.407146563,0.2754,0.306122449,0
1.20252E-4,34.000154696,0.408104784,0.2734,0.306122449,0
1.20998E-4,34.25343828,0.409600697,0.2713,0.306122449,0
1.21876E-4,34.508360103,0.411349975,0.2692,0.306122449,0
1.22263E-4,34.752557999,0.412118445,0.2672,0.306122449,0
1.22792E-4,35.009996109,0.413163956,0.2651,0.306122449,0
1.23281E-4,35.25609857,0.414128006,0.2631,0.306122449,0
1.23869E-4,35.503313638,0.415282501,0.2611,0.306122449,0
1.24532E-4,35.751758869,0.416579604,0.2591,0.306122449,0
1.25031E-4,36.001382561,0.417551075,0.2571,0.306122449,0
1.2587E-4,36.252398981,0.419179242,0.2551,0.306122449,0
1.26377E-4,36.504769074,0.420157702,0.2531,0.306122449,0
1.26865E-4,36.758009773,0.421097004,0.2511,0.306122449,0
1.27586E-4,37.012519879,0.422479657,0.2491,0.306122449,0
1.28671E-4,37.256165509,0.424546473,0.2472,0.306122449,0
1.29297E-4,37.501338917,0.425733239,0.2453,0.306122449,0
1.29733E-4,37.760294298,0.426556068,0.2433,0.306122449,0
1.30362E-4,38.007273978,0.427740982,0.2414,0.306122449,0
1.30975E-4,38.255555683,0.428889349,0.2395,0.306122449,0
1.31446E-4,38.504937765,0.429768112,0.2376,0.306122449,0
1.31979E-4,38.75536242,0.430760037,0.2357,0.306122449,0
1.32543E-4,39.006628388,0.431805385,0.2338,0.306122449,0
1.33121E-4,39.258980743,0.432873947,0.2319,0.306122449,0
1.3359E-4,39.512360908,0.433737186,0.23,0.326530612,0
1.34397E-4,39.753636043,0.435218332,0.2282,0.326530612,0
1.35464E-4,40.010099555,0.437162038,0.2263,0.326530612,0
1.36093E-4,40.254596281,0.438302526,0.2245,0.326530612,0
1.36754E-4,40.500100004,0.439496373,0.2227,0.326530612,0
1.37472E-4,40.760476741,0.440786128,0.2208,0.326530612,0
1.38045E-4,41.008371463,0.441812078,0.219,0.326530612,0
1.38542E-4,41.257334364,0.442698873,0.2172,0.326530612,0
1.39563E-4,41.507604967,0.444510896,0.2154,0.326530612,0
1.40496E-4,41.759636965,0.446156525,0.2136,0.326530612,0
