background,x,y,BIO03,green,BIO06,BIO15,wo,roads,soc,rivers
background,473334.9838,4434076.1748,38.7882843017578,0.0905950665473938,5.65513134002686,54.1473121643066,1,203.856292724609,19.0959739685059,128.239685058594
background,473384.9838,4433476.1748,39.2626686096191,0.119236886501312,5.59756660461426,54.3839073181152,1,3.37189626693726,21.3335361480713,135.593856811523
background,473434.9838,4434126.1748,38.7353782653809,0.0979819893836975,5.65685176849365,54.1171531677246,1,162.032760620117,22.0097198486328,217.026123046875
background,473584.9838,4435876.1748,38.6105346679688,0.0865313410758972,5.61881589889526,54.3111114501953,1,13.3201427459717,20.6819095611572,61.817798614502
background,473584.9838,4437076.1748,37.768856048584,0.108911797404289,5.59841823577881,54.1072311401367,1,61.9812164306641,19.3232460021973,421.918762207031
background,473584.9838,4439076.1748,37.3439331054688,0.0942256301641464,5.36195421218872,54.0314407348633,1,800.272583007812,23.0142250061035,82.9005355834961
background,473634.9838,4435926.1748,38.5605735778809,0.0865394324064255,5.61987781524658,54.2843818664551,1,4.59399318695068,24.8480644226074,55.4630508422852
background,473684.9838,4434126.1748,38.7128372192383,0.0912100300192833,5.65028858184814,54.2486152648926,1,162.348037719727,22.5167636871338,15.3865385055542
background,473734.9838,4434026.1748,38.8323745727539,0.0958781242370605,5.63988256454468,54.2644958496094,1,134.196975708008,22.4600028991699,93.6421661376953
background,473734.9838,4436476.1748,38.3822555541992,0.0875616297125816,5.60571718215942,54.2503318786621,1,130.93537902832,23.542947769165,75.7109985351562
background,473734.9838,4436826.1748,37.9282646179199,0.102010287344456,5.58989477157593,54.1109962463379,1,167.748733520508,24.2723560333252,131.353225708008
background,473784.9838,4434326.1748,38.5019111633301,0.109574802219868,5.65774011611938,54.1974792480469,1,36.1195793151855,19.6995296478271,48.5914077758789
background,473784.9838,4437576.1748,37.3122215270996,0.117299608886242,5.55469131469727,53.9544219970703,1,61.2741355895996,25.8810729980469,554.112915039062
background,473834.9838,4435126.1748,37.9886741638184,0.0920413061976433,5.64834260940552,53.9525718688965,1,229.495986938477,27.0704460144043,105.156677246094
background,473884.9838,4433976.1748,38.7156066894531,0.0968901738524437,5.6429557800293,54.1892013549805,1,277.271514892578,22.4886093139648,42.8515205383301
background,473884.9838,4434426.1748,38.393985748291,0.115799620747566,5.66061878204346,54.152286529541,1,53.890926361084,18.8816070556641,70.199348449707
background,473934.9838,4433026.1748,38.4687538146973,0.123919650912285,5.45030212402344,53.9897918701172,1,80.7070922851562,21.9941520690918,529.812377929688
background,474084.9838,4435776.1748,38.0956649780273,0.0938297882676125,5.62048864364624,54.0558013916016,1,125.840354919434,26.8104610443115,290.373413085938
background,474084.9838,4437576.1748,37.3591804504395,0.101363748311996,5.75355529785156,53.8574180603027,1,203.660079956055,26.2386665344238,332.675659179688
background,474134.9838,4436226.1748,38.3071098327637,0.103696152567863,5.59016704559326,54.132209777832,1,6.67504644393921,23.0066204071045,85.6394577026367
background,474134.9838,4438926.1748,37.0705451965332,0.111600056290627,5.31756830215454,53.8605270385742,1,243.329925537109,28.588249206543,548.228088378906
background,474134.9838,4439626.1748,37.2973022460938,0.0985122546553612,5.2153525352478,53.8790054321289,1,580.307312011719,25.2317962646484,157.939422607422
background,474184.9838,4435476.1748,37.7727088928223,0.0992045328021049,5.62096977233887,54.0284118652344,1,78.6502456665039,26.7930469512939,189.565460205078
background,474184.9838,4436426.1748,37.9058723449707,0.0969222635030746,5.59748458862305,54.0346794128418,1,110.853408813477,23.1493968963623,252.895614624023
background,474184.9838,4440126.1748,37.5384407043457,0.0876918658614159,5.11410760879517,53.8808403015137,1,151.737243652344,24.259729385376,42.2841110229492
background,474234.9838,4435726.1748,38.0256958007812,0.097649097442627,5.61421728134155,53.9985542297363,1,126.243995666504,26.9132461547852,329.194000244141
background,474234.9838,4440126.1748,37.5261421203613,0.0846445560455322,5.11166477203369,53.874885559082,1,107.778335571289,24.3213443756104,22.1514511108398
background,474284.9838,4433926.1748,38.5634117126465,0.0926465690135956,5.6402063369751,54.0088386535645,1,77.5454635620117,21.4745464324951,134.794357299805
background,474284.9838,4439076.1748,37.1175079345703,0.136748343706131,5.29093456268311,53.8421630859375,1,150.106292724609,27.2467231750488,634.697021484375
background,474334.9838,4439976.1748,37.3905830383301,0.12304363399744,5.12486934661865,53.8377838134766,1,180.796539306641,24.2775096893311,164.897888183594
background,474384.9838,4432626.1748,39.0542640686035,0.0945092588663101,5.42097043991089,53.9868812561035,1,171.516159057617,21.2012271881104,184.924987792969
background,474434.9838,4433826.1748,38.3090972900391,0.0983927324414253,5.4493088722229,53.9532852172852,1,102.930076599121,21.5880393981934,283.694183349609
background,474434.9838,4434476.1748,38.3156661987305,0.0967740043997765,5.6213550567627,54.008716583252,1,22.5741062164307,20.6421585083008,106.812507629395
background,474434.9838,4437776.1748,37.0285263061523,0.111451208591461,5.44315767288208,53.7737350463867,1,52.8089447021484,14.7359676361084,461.574310302734
background,474484.9838,4439676.1748,37.4260635375977,0.115044869482517,5.14779853820801,53.8227272033691,1,343.807678222656,27.2723236083984,3.00769901275635
background,474584.9838,4436876.1748,37.320140838623,0.105793610215187,5.62604522705078,53.8105201721191,1,69.2125701904297,25.5104026794434,499.189880371094
background,474584.9838,4440476.1748,37.2851257324219,0.108638688921928,4.7398157119751,53.8064956665039,1,103.907539367676,21.5611801147461,68.588737487793
background,474634.9838,4434526.1748,38.3831367492676,0.0941037833690643,5.60986661911011,53.9564895629883,1,30.1648330688477,21.2664966583252,44.1232566833496
background,474634.9838,4438776.1748,37.1369171142578,0.100737869739532,5.28780841827393,53.7930717468262,1,48.4367637634277,26.9622173309326,899.628479003906
background,474634.9838,4440526.1748,37.2855834960938,0.111800149083138,4.68689012527466,53.788646697998,1,55.9761543273926,23.0382804870605,35.0785598754883
background,474634.9838,4440726.1748,37.2371826171875,0.103412888944149,4.64436197280884,53.7636642456055,1,61.1573600769043,25.5019969940186,162.325347900391
background,474684.9838,4440626.1748,37.2470436096191,0.117355853319168,4.64164352416992,53.7565040588379,1,12.2913265228271,23.8576240539551,62.1402053833008
background,474734.9838,4432776.1748,40.1521072387695,0.112222664058208,5.31857681274414,54.2246360778809,1,17.3041305541992,21.439769744873,11.2219619750977
background,474734.9838,4434026.1748,38.1537628173828,0.0990886315703392,5.42412805557251,53.8791160583496,1,41.5268821716309,22.5534267425537,375.508941650391
background,474734.9838,4435476.1748,37.8692092895508,0.0976392850279808,5.59321594238281,53.8820457458496,1,6.47154521942139,23.7516937255859,363.396484375
background,474734.9838,4436426.1748,37.5887107849121,0.0962154567241669,5.53656148910522,53.8329010009766,1,60.5388221740723,25.3278942108154,364.705139160156
background,474734.9838,4437376.1748,37.1553840637207,0.130021616816521,5.68274831771851,53.7025260925293,1,69.7888793945312,28.9476737976074,426.725860595703
background,474734.9838,4439126.1748,37.0647048950195,0.099712498486042,5.21275043487549,53.7356758117676,1,158.238220214844,26.7521362304688,574.521301269531
background,474784.9838,4432776.1748,40.1989860534668,0.145957589149475,5.31197357177734,54.2237014770508,1,55.6603202819824,21.6481456756592,34.7763442993164
background,474784.9838,4434276.1748,38.3759613037109,0.0951368659734726,5.60822010040283,53.8847503662109,1,73.5604553222656,21.6766471862793,285.828430175781
background,474784.9838,4440126.1748,37.4987945556641,0.113862872123718,4.98929309844971,53.7436637878418,1,73.3142776489258,21.4676399230957,298.153594970703
background,474784.9838,4440476.1748,37.1787910461426,0.106741435825825,4.69479751586914,53.739143371582,1,126.050773620605,23.5803089141846,117.061790466309
background,474834.9838,4433226.1748,39.9803619384766,0.0981024950742722,5.33649349212646,54.2233200073242,1,1.85007584095001,23.7286186218262,46.5032615661621
background,474834.9838,4434276.1748,38.3621597290039,0.0966656282544136,5.60326862335205,53.8710098266602,1,33.3328628540039,21.5087394714355,330.096771240234
background,474834.9838,4437326.1748,37.0405731201172,0.127003997564316,5.51376485824585,53.6857070922852,1,51.9341812133789,28.6928634643555,391.010681152344
background,474834.9838,4437676.1748,36.8522033691406,0.105585113167763,5.40533351898193,53.7259483337402,1,53.1122131347656,29.4604682922363,383.479888916016
background,474834.9838,4437976.1748,36.8084487915039,0.125546395778656,5.39392805099487,53.7263145446777,1,74.4138946533203,27.7255611419678,529.073120117188
background,474884.9838,4432876.1748,40.0900611877441,0.125555709004402,5.32255840301514,54.1897621154785,1,72.3035888671875,22.4293994903564,92.2098388671875
background,474884.9838,4434176.1748,38.1733093261719,0.0992173328995705,5.39990234375,53.8503952026367,1,7.918288230896,21.8872203826904,423.883575439453
background,474884.9838,4437476.1748,36.9582977294922,0.1259905397892,5.41570091247559,53.7043266296387,1,10.9979391098022,29.1475296020508,307.872741699219
background,474884.9838,4438576.1748,37.0135459899902,0.117060229182243,5.29824781417847,53.7358589172363,1,53.3056602478027,28.2451076507568,987.919616699219
background,474884.9838,4438676.1748,37.0418395996094,0.114180661737919,5.27262258529663,53.731990814209,1,11.2919158935547,28.0131511688232,1048.84936523438
background,474884.9838,4438726.1748,37.0243606567383,0.105465114116669,5.26818037033081,53.7268562316895,1,17.0976638793945,27.615514755249,1001.44793701172
background,474884.9838,4441426.1748,37.4929008483887,0.110500678420067,4.58886623382568,53.802734375,1,438.736236572266,28.0994148254395,9.33933639526367
background,474934.9838,4433926.1748,38.163745880127,0.101900540292263,5.40169763565063,53.8251152038574,1,244.531707763672,22.6115608215332,325.519805908203
background,474934.9838,4435226.1748,37.8547859191895,0.0954861789941788,5.58291530609131,53.8565139770508,1,120.115287780762,23.5332679748535,645.834777832031
background,474934.9838,4438176.1748,36.7792663574219,0.108035087585449,5.37252902984619,53.7000617980957,1,19.22096824646,27.5261383056641,608.337585449219
background,474934.9838,4438326.1748,36.8057060241699,0.116458095610142,5.35628461837769,53.7021522521973,1,13.8655643463135,27.6150283813477,739.33837890625
background,474934.9838,4439826.1748,37.6062049865723,0.138638690114021,4.99185037612915,53.7394142150879,1,69.5935516357422,23.7086486816406,12.6300277709961
background,474934.9838,4441626.1748,37.3251838684082,0.106347404420376,4.5808892250061,53.7284812927246,1,520.055603027344,26.0544281005859,135.389068603516
background,474984.9838,4433276.1748,39.7790145874023,0.101271092891693,5.35558223724365,54.1494369506836,1,69.8308944702148,24.9645843505859,138.126205444336
background,474984.9838,4436826.1748,37.512077331543,0.108511529862881,5.71629571914673,53.7776641845703,1,54.0462417602539,25.5945377349854,476.849731445312
background,474984.9838,4438026.1748,36.8254928588867,0.127945587038994,5.38120174407959,53.7001953125,1,76.4552688598633,27.9004287719727,456.517639160156
background,474984.9838,4438076.1748,36.809009552002,0.127107381820679,5.37781000137329,53.6964950561523,1,91.8311767578125,27.9891624450684,497.249664306641
background,475034.9838,4435626.1748,37.9020195007324,0.110571995377541,5.56103324890137,53.8187217712402,1,10.6354122161865,23.6955165863037,332.209289550781
background,475034.9838,4439176.1748,37.0107879638672,0.103224083781242,5.18735218048096,53.6743698120117,1,77.6138229370117,26.397705078125,589.212341308594
background,475034.9838,4441826.1748,37.2203330993652,0.103687047958374,4.50815296173096,53.6369285583496,1,457.585113525391,18.5111865997314,358.735809326172
background,475084.9838,4436576.1748,37.7017669677734,0.0975979343056679,5.74527215957642,53.8111572265625,1,24.8410835266113,24.0639247894287,215.130737304688
background,475084.9838,4436776.1748,37.5836486816406,0.103231742978096,5.71488571166992,53.7928085327148,1,15.6803073883057,25.9686107635498,372.704986572266
background,475084.9838,4440976.1748,37.2068634033203,0.100962810218334,4.58744621276855,53.667911529541,1,7.63411855697632,30.2671337127686,187.360824584961
background,475134.9838,4436526.1748,37.7482872009277,0.0991258770227432,5.74377679824829,53.8060073852539,1,87.5466995239258,23.9704113006592,144.757888793945
background,475134.9838,4439376.1748,37.0896110534668,0.104165695607662,5.15307760238647,53.6682243347168,1,101.039108276367,25.176607131958,389.322479248047
background,475184.9838,4433026.1748,39.1928215026855,0.092265710234642,5.39057731628418,53.9108352661133,1,209.368576049805,25.6782741546631,124.417510986328
background,475184.9838,4438226.1748,36.8166923522949,0.104282401502132,5.34195375442505,53.6612854003906,1,108.397071838379,29.4129486083984,568.617065429688
background,475184.9838,4439376.1748,37.0903053283691,0.10390081256628,5.14975929260254,53.6590423583984,1,123.051635742188,24.0578289031982,398.254791259766
background,475184.9838,4439976.1748,37.6078033447266,0.127285361289978,4.96866321563721,53.6944732666016,1,42.4441337585449,27.1369609832764,228.938400268555
background,475184.9838,4441276.1748,37.1628952026367,0.108461178839207,4.57684373855591,53.6247329711914,1,103.64917755127,29.2843379974365,85.1347427368164
background,475234.9838,4441926.1748,37.1695251464844,0.1006054058671,4.44499254226685,53.577995300293,1,241.88298034668,26.8269195556641,556.624328613281
background,475284.9838,4431876.1748,38.6401557922363,0.127286180853844,5.38772487640381,53.5801696777344,1,175.243789672852,20.5253143310547,236.188278198242
background,475284.9838,4436926.1748,37.3419189453125,0.116346895694733,5.45304918289185,53.7534599304199,1,51.8658905029297,27.6650657653809,180.061645507812
background,475284.9838,4440576.1748,37.0797538757324,0.104645624756813,4.57819032669067,53.6088485717773,1,13.9181032180786,28.1551170349121,374.793914794922
background,475334.9838,4433226.1748,38.5161209106445,0.107102759182453,5.39333057403564,53.7341423034668,1,15.869574546814,24.5345001220703,187.02978515625
background,475334.9838,4434776.1748,38.1203117370605,0.104446858167648,5.57054805755615,53.7548751831055,1,53.4567260742188,20.7910900115967,353.279815673828
background,475334.9838,4435126.1748,37.9348373413086,0.102836601436138,5.56799030303955,53.7483558654785,1,95.4400024414062,22.1901226043701,440.770477294922
background,475384.9838,4430626.1748,38.7428932189941,0.108720615506172,5.39405965805054,53.3910636901855,1,237.15217590332,21.2042865753174,223.319030761719
background,475384.9838,4434826.1748,38.0827674865723,0.103519931435585,5.5641393661499,53.7378387451172,1,25.7955703735352,20.6265735626221,296.184051513672
background,475384.9838,4441026.1748,37.1982460021973,0.100486032664776,4.56142854690552,53.6037406921387,1,39.1371459960938,30.0849990844727,287.342834472656
background,475434.9838,4437226.1748,37.3155822753906,0.102383606135845,5.40440559387207,53.7405128479004,1,172.432495117188,27.9767246246338,39.3787803649902
background,475484.9838,4430276.1748,39.0042915344238,0.10663527995348,5.38480997085571,53.2883148193359,1,36.7273101806641,21.3348941802979,285.888214111328
