background,x,y,roads,rivers,aspect,fla,slope,tpi,twi,soc,bkd,BIO03,BIO06,BIO15,ndwi2021,dndvi,wo
background,473334.9838,4433626.1748,130.812225341797,217.707046508789,193.372467041016,1052.96984863281,3.33341431617737,-0.142255589365959,7.34884929656982,21.7468223571777,1.26171898841858,39.0871925354004,5.62221527099609,54.1998329162598,-0.377131193876266,0.010917903855443,1
background,473384.9838,4433876.1748,150.414291381836,133.113800048828,216.481903076172,1550.54931640625,3.1219687461853,1.11751914024353,7.75851821899414,22.2978191375732,1.28955173492432,38.9068908691406,5.64078521728516,54.1443481445312,-0.422688454389572,0.0151372421532869,1
background,473434.9838,4434126.1748,162.032760620117,217.026123046875,209.03044128418,1203.29418945312,2.29788422584534,0.0783202350139618,7.8098726272583,22.0097198486328,1.27522385120392,38.7353782653809,5.65685176849365,54.1171531677246,-0.413549691438675,-0.0103782303631306,1
background,473534.9838,4433476.1748,148.832168579102,4.86881256103516,205.686676025391,3343.6708984375,7.4910306930542,-2.78461694717407,10.2203731536865,21.8021011352539,1.2523809671402,39.4721412658691,5.56183290481567,54.4108772277832,-0.440968334674835,0.023877527564764,1
background,473584.9838,4433876.1748,86.6183624267578,57.0189971923828,122.562698364258,2825.23706054688,8.90798664093018,0.50099790096283,7.10396099090576,22.3012027740479,1.28151416778564,39.0399131774902,5.61895418167114,54.3309669494629,-0.437144935131073,-0.0188073348253965,1
background,473634.9838,4435126.1748,353.812957763672,68.8839645385742,314.140563964844,1097.80419921875,10.3016300201416,0.613168716430664,6.48039865493774,23.947437286377,1.30875682830811,38.0860633850098,5.65214824676514,54.0124778747559,-0.439122766256332,0.0175637472420931,1
background,473684.9838,4436426.1748,73.38818359375,38.654296875,224.090515136719,6161.85693359375,8.88123226165771,-2.48931097984314,8.56669902801514,22.802619934082,1.34333574771881,38.5688400268555,5.59679889678955,54.3092193603516,-0.521480798721313,0.0622129030525684,1
background,473734.9838,4434276.1748,95.9216079711914,27.565185546875,173.220764160156,17037.08203125,5.01911354064941,-0.952088117599487,9.39928436279297,20.449743270874,1.28089261054993,38.5635452270508,5.65501880645752,54.2163772583008,-0.435059517621994,0.00485896645113826,1
background,473734.9838,4437126.1748,61.4364204406738,343.100006103516,214.562347412109,2854.63500976562,3.55383276939392,0.256195455789566,8.73575687408447,21.7107925415039,1.32574164867401,37.563102722168,5.58855295181274,54.0246772766113,-0.42592716217041,0.0348803214728832,1
background,473784.9838,4436026.1748,106.741424560547,41.112850189209,309.291107177734,2204.82739257812,13.5559339523315,-2.89426255226135,7.49054765701294,25.1316833496094,1.30569458007812,38.4345397949219,5.62207937240601,54.2295379638672,-0.465196460485458,0.0107154585421085,1
background,473784.9838,4436626.1748,182.496978759766,39.9588241577148,266.303863525391,3160.51904296875,12.9861660003662,-3.42472267150879,7.58414173126221,24.513162612915,1.3172482252121,38.2625579833984,5.60805511474609,54.2173881530762,-0.482087582349777,0.048994168639183,1
background,473784.9838,4437676.1748,88.2046279907227,618.1220703125,269.849914550781,1069.44323730469,3.80484509468079,0.189137563109398,7.31022024154663,21.1833801269531,1.06634092330933,37.3628273010254,5.68133401870728,53.945068359375,-0.313802719116211,0.0400881059467793,1
background,473834.9838,4435826.1748,44.5688972473145,224.683517456055,265.422088623047,360.979217529297,2.13241672515869,0.853267788887024,6.80719757080078,25.8943042755127,1.29519402980804,38.1221389770508,5.63073825836182,54.1173400878906,-0.469028115272522,0.0129653923213482,1
background,473834.9838,4436126.1748,173.279251098633,77.4305725097656,213.205154418945,981.583923339844,15.7164134979248,3.14580464363098,5.56964921951294,24.5047550201416,1.3116307258606,38.2556762695312,5.63030958175659,54.1821212768555,-0.420723408460617,0.00849178992211819,1
background,473834.9838,4439176.1748,584.017456054688,177.151504516602,284.480590820312,2697.38940429688,6.05565118789673,0.400399327278137,8.17701816558838,27.7616176605225,1.31507933139801,37.1689300537109,5.32248592376709,53.9266204833984,-0.45391058921814,0.0738126263022423,1
background,473884.9838,4436776.1748,43.7394485473633,1.84228575229645,192.271377563477,23559.91015625,11.2637777328491,-3.60681462287903,9.65941715240479,23.7178821563721,1.31620490550995,38.1303825378418,5.57676553726196,54.1392250061035,-0.450861573219299,0.0503308437764645,1
background,473884.9838,4437676.1748,84.1440200805664,545.122131347656,252.663818359375,1131.99853515625,3.5962290763855,0.5125772356987,7.28154420852661,22.6751918792725,1.06918525695801,37.4297561645508,5.76798534393311,53.9180297851562,-0.372485518455505,0.0525960400700569,1
