species,X,Y,clay,sand,fla,rivers,roads,aspect,nitrogen
Phytophthora_PA3_RUN8,475796.25242747,4435593.23159799,234,371,688.10546875,253.002990722656,116.101600646973,193.788589477539,3457
Phytophthora_PA3_RUN8,473805.036298005,4434472.10105186,216,419.046997070312,7958.4345703125,140.911514282227,97.9049758911133,222.624755859375,3348.58056640625
Phytophthora_PA3_RUN8,473935.747830172,4434673.42308508,216,421,7263.63330078125,324.811737060547,74.2372055053711,218.744262695312,3913
Phytophthora_PA3_RUN8,473942.053512125,4434716.18349083,216.328948974609,420.671051025391,5620.798828125,373.753326416016,58.4895858764648,222.936920166016,3896.69384765625
Phytophthora_PA3_RUN8,483105.818653542,4434799.14261903,243,390,1188.87268066406,349.1318359375,25.9007701873779,317.291015625,3870
Phytophthora_PA3_RUN8,478463.917852968,4431440.97147013,223.001617431641,401.605499267578,669.242980957031,41.7756652832031,91.3594360351562,97.1230850219727,3213.8720703125
Phytophthora_PA3_RUN8,478611.727895665,4430656.88434673,233,402,1729.69677734375,54.7408866882324,13.2999496459961,256.41357421875,2943
Phytophthora_PA3_RUN8,473936.22267041,4434643.37299155,216,421,5325.84716796875,276.249542236328,112.255485534668,226.410095214844,3913
Phytophthora_PA3_RUN8,474213.396845688,4433458.55019516,213.096420288086,438.728942871094,553.239074707031,570.582702636719,101.387283325195,172.917449951172,3727.74560546875
Phytophthora_PA3_RUN8,479363.99093796,4432988.27759856,234.093978881836,362.728363037109,2868.72607421875,31.6250476837158,190.343551635742,185.154357910156,2604.79028320312
Phytophthora_PA3_RUN8,478578.955216179,4435857.94086172,241,372,4033.74291992188,263.427032470703,13.0418300628662,165.166763305664,3894
Phytophthora_PA3_RUN8,478574.892622357,4435789.9262396,241,372,5205.4140625,212.641967773438,47.1013031005859,161.925094604492,3894
Phytophthora_PA3_RUN8,474628.990813098,4433971.15024905,224.093978881836,424.023498535156,2246.55200195312,337.181701660156,26.1990718841553,260.26416015625,3918.1240234375
Phytophthora_PA3_RUN8,474630.007614934,4433940.72457232,224,424,2230.75366210938,361.517120361328,68.8852920532227,243.04670715332,3906
Phytophthora_PA3_RUN8,474441.366368383,4433592.86338531,219,437,5840.10888671875,484.954681396484,110.538543701172,126.20076751709,3787
Phytophthora_PA3_RUN8,477478.774392465,4430367.01775964,219.800323486328,402.801940917969,2527.37353515625,32.485294342041,135.313491821289,159.568634033203,2643.10278320312
Phytophthora_PA3_RUN8,477513.339835345,4430321.98176289,219,398,28859.83203125,15.770058631897,173.481918334961,154.235824584961,3377
Phytophthora_PA3_RUN8,477570.864805976,4430339.83216496,219,398,1498.39660644531,27.3496417999268,178.041046142578,255.729736328125,3377
Phytophthora_PA3_RUN8,474595.68047004,4434948.17526879,239,397,19154.458984375,326.768127441406,8.11342525482178,199.142593383789,3951
Phytophthora_PA3_RUN8,474631.986100117,4434834.32486089,239,397,6602.0927734375,231.630004882812,45.745304107666,227.970565795898,3951
Phytophthora_PA3_RUN8,474649.443162662,4434883.02753538,239,397,7484.14990234375,280.763488769531,54.4453010559082,216.724243164062,3951
Phytophthora_PA3_RUN8,478371.81527373,4438053.24765695,236,394,418.820129394531,100.149169921875,57.0641784667969,231.242950439453,3614
Phytophthora_PA3_RUN8,473718.178754241,4434680.63262233,218.400970458984,421.800323486328,6477.236328125,274.928344726562,98.0240097045898,215.983856201172,4634.091796875
Phytophthora_PA3_RUN8,473626.628536341,4434682.99564418,219,422,2768.24682617188,175.021026611328,145.625869750977,238.74983215332,4814
Phytophthora_PA3_RUN8,473815.130164937,4434738.96550454,216.328948974609,420.671051025391,6077.9990234375,368.009216308594,29.5770397186279,224.528991699219,3896.69384765625
Phytophthora_PA3_RUN8,481482.53785365,4434047.07547029,248.394485473633,383.004852294922,2966.47802734375,223.629898071289,37.8601379394531,285.473724365234,3461.72387695312
Phytophthora_PA3_RUN8,481440.066925949,4434060.12823842,245,386,4024.41064453125,172.187362670898,85.4117736816406,275.837127685547,3538
Phytophthora_PA3_RUN8,481376.517915445,4433998.86819858,264.530090332031,386,5473.73974609375,127.040954589844,122.075004577637,315.953216552734,3191.34106445312
Phytophthora_PA3_RUN8,481570.308879399,4433897.9475614,264,380,2409.62548828125,335.906707763672,27.1081161499023,264.618804931641,3526
