Predictor variable,Categorical,Sample average
BIO06,false,5.2918767730395
BIO3,false,39.188799858093255
BIO4,false,570.1455459594727
aspect,false,188.5810569127401
bkd,false,1.302970245480538
clay,false,24.71572160720825
fla,false,3305.331111907959
green,false,0.11598151518652838
rivers,false,225.9463835954666
roads,false,125.82589592536299
sand,false,38.87816858291627
silt,false,36.407601356506355
slope,false,5.09522468969226
soc,false,21.22044881184895
tpi,false,0.12211379463163519
twi,false,8.563128729661305
