Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.47833E-8,0.000004478,0.00001354,1,0,0
6.4772E-8,0.000015661,0.000019584,0.9975,0,0
8.47367E-8,0.000031718,0.00002562,0.995,0,0
1.59378E-7,0.000057298,0.000048187,0.9925,0,0
2.08701E-7,0.000111185,0.000063099,0.98875,0,0
3.68149E-7,0.000272366,0.000111301,0.9825,0,0
5.52728E-7,0.000545334,0.000167095,0.975,0,0
7.2472E-7,0.001016719,0.000219078,0.96625,0,0
1.47187E-6,0.002631057,0.000444835,0.9475,0,0
2.41655E-6,0.005171754,0.000730133,0.93125,0,0
3.44966E-6,0.010318367,0.001041951,0.90875,0,0
5.90816E-6,0.025532548,0.001783202,0.86625,0,0
1.14215E-5,0.050835252,0.003441525,0.82875,0,0
2.29625E-5,0.100509935,0.006895055,0.79125,0,0
4.12435E-5,0.200683636,0.012316772,0.7525,0,0
5.59023E-5,0.301717945,0.016621645,0.7275,0,0
6.88024E-5,0.400922278,0.020379118,0.7075,0,0
7.99731E-5,0.50452813,0.023609721,0.69,0,0
8.88718E-5,0.606044321,0.026168054,0.675,0,0
1.00969E-4,0.700228732,0.029624473,0.6625,0,0
1.05194E-4,0.752077033,0.030826078,0.65625,0,0
1.16203E-4,0.807936803,0.03394257,0.65,0,0
1.21786E-4,0.902976522,0.035515336,0.64,0,0
1.39554E-4,1.00696136,0.040487043,0.63,0,0
1.46391E-4,1.107018609,0.04238662,0.62125,0,0
1.60753E-4,1.214816168,0.046352335,0.6125,0,0
1.73032E-4,1.316481584,0.04971685,0.605,0,0
1.81958E-4,1.405191503,0.052147809,0.59875,0,0
1.89479E-4,1.517282758,0.054186282,0.59125,0,0
2.08356E-4,1.754835304,0.059264764,0.57625,0,0
2.32912E-4,2.002874486,0.065790114,0.5625,0,0
2.56761E-4,2.250764306,0.072041376,0.55,0,0
2.77643E-4,2.517049231,0.077446508,0.5375,0,0
2.90684E-4,2.77330556,0.08079026,0.52625,0,0
3.13263E-4,3.014345742,0.086522749,0.51625,0,0
