x,y,Phytophthora_PA2_RUN6 logistic values
473284.9838,4434026.1748,0.13714817
473334.9838,4434176.1748,0.15078524
473434.9838,4436626.1748,0.28850666
473584.9838,4435076.1748,0.114766896
473584.9838,4435476.1748,0.06943841
473584.9838,4435876.1748,0.090641774
473634.9838,4434576.1748,0.72467
473634.9838,4435976.1748,0.053170282
473684.9838,4434326.1748,0.65743744
473684.9838,4435026.1748,0.3784712
473734.9838,4433626.1748,0.2022792
473734.9838,4435226.1748,0.07015297
473734.9838,4435576.1748,0.063395135
473734.9838,4439326.1748,0.0072099874
473734.9838,4439526.1748,0.0039202725
473784.9838,4434626.1748,0.49538395
473784.9838,4437326.1748,0.24135791
473834.9838,4436176.1748,0.19217889
473884.9838,4435176.1748,0.050739564
473884.9838,4439576.1748,0.0064115613
473934.9838,4432826.1748,0.15012713
474034.9838,4434976.1748,0.37376162
474034.9838,4435626.1748,0.14919956
474034.9838,4435726.1748,0.11618156
474034.9838,4435776.1748,0.044218138
474034.9838,4436926.1748,0.089461416
474034.9838,4439076.1748,0.01680508
474134.9838,4434626.1748,0.5825376
474134.9838,4437326.1748,0.035147205
474184.9838,4435776.1748,0.1317096
474184.9838,4436776.1748,0.11599952
474234.9838,4433726.1748,0.28028354
474234.9838,4434026.1748,0.08930934
474234.9838,4434076.1748,0.098486334
474234.9838,4434226.1748,0.49895942
474234.9838,4435426.1748,0.13420546
474234.9838,4439676.1748,0.005303649
474284.9838,4434226.1748,0.3269476
474284.9838,4439426.1748,0.08336124
474334.9838,4432426.1748,0.4458211
474334.9838,4433726.1748,0.32357368
474334.9838,4435426.1748,0.061386757
474384.9838,4435626.1748,0.06268278
474384.9838,4439276.1748,0.08948038
474434.9838,4433776.1748,0.25511622
474434.9838,4437426.1748,0.2554515
474434.9838,4438676.1748,0.01348095
474434.9838,4439226.1748,0.08704537
474434.9838,4440326.1748,0.02101571
474484.9838,4437126.1748,0.04781953
474484.9838,4439976.1748,0.055406347
474534.9838,4432626.1748,0.15910493
474534.9838,4437726.1748,0.010123549
474634.9838,4433576.1748,0.58774555
474634.9838,4434026.1748,0.6060942
474634.9838,4435076.1748,0.290225
474634.9838,4436926.1748,0.30617318
474634.9838,4437876.1748,0.021290915
474634.9838,4438726.1748,0.054343473
474684.9838,4435126.1748,0.19241431
474684.9838,4439576.1748,0.0415717
474734.9838,4433526.1748,0.076379076
474734.9838,4434376.1748,0.58089894
474734.9838,4434426.1748,0.31495303
474734.9838,4436026.1748,0.024872255
474784.9838,4435476.1748,0.16324909
474784.9838,4436026.1748,0.0526781
474834.9838,4436126.1748,0.080016375
474834.9838,4438226.1748,0.04573024
474834.9838,4440776.1748,0.0033769975
474834.9838,4440976.1748,0.011807439
474884.9838,4436526.1748,0.11194651
474884.9838,4437126.1748,0.24411952
474884.9838,4438276.1748,0.05019936
474934.9838,4435976.1748,0.056168348
474934.9838,4439476.1748,0.012648358
474934.9838,4441126.1748,0.017654812
474984.9838,4433326.1748,0.543829
474984.9838,4437226.1748,0.043532856
474984.9838,4440176.1748,0.16614076
475034.9838,4432276.1748,0.04170805
475034.9838,4434476.1748,0.48316512
475034.9838,4438076.1748,0.04245031
475084.9838,4434826.1748,0.6891241
475084.9838,4434976.1748,0.24664034
475084.9838,4436426.1748,0.12914118
475084.9838,4438626.1748,0.014509409
475084.9838,4439426.1748,0.010146117
475084.9838,4441126.1748,0.0018780956
475134.9838,4439026.1748,0.010345413
475134.9838,4439626.1748,0.018476626
475134.9838,4440026.1748,0.15695065
475134.9838,4440526.1748,0.0057494515
475134.9838,4440926.1748,0.0036590812
475184.9838,4433476.1748,0.6798501
475184.9838,4435226.1748,0.44950682
475184.9838,4441076.1748,0.028083043
475234.9838,4434776.1748,0.3082052
475234.9838,4434876.1748,0.5855711
475234.9838,4435276.1748,0.33361587
475234.9838,4437876.1748,0.064297356
475234.9838,4438526.1748,0.046993982
475284.9838,4431176.1748,0.49313563
475284.9838,4436126.1748,0.04802873
475284.9838,4438426.1748,0.009820017
475284.9838,4438626.1748,0.006895301
475284.9838,4442026.1748,0.0072217383
475334.9838,4433576.1748,0.22230674
475334.9838,4435826.1748,0.029437749
475334.9838,4438826.1748,0.060524978
475334.9838,4440426.1748,0.015534547
475334.9838,4441876.1748,0.004781542
475384.9838,4431826.1748,0.5577558
475384.9838,4432226.1748,0.2027524
475384.9838,4432776.1748,0.120880924
475384.9838,4433276.1748,0.3338605
475384.9838,4433426.1748,0.1064915
475384.9838,4438376.1748,0.0117675355
475384.9838,4441826.1748,0.014134401
475434.9838,4430726.1748,0.70302707
475434.9838,4439626.1748,0.007928604
475484.9838,4432376.1748,0.26600447
475484.9838,4433476.1748,0.1819876
475484.9838,4433626.1748,0.055789307
475484.9838,4434376.1748,0.5144366
475484.9838,4439576.1748,0.11389351
475484.9838,4440376.1748,0.14738016
475534.9838,4432876.1748,0.26128104
475534.9838,4436576.1748,0.016178813
475534.9838,4439076.1748,0.017009676
475534.9838,4440726.1748,0.007454284
475534.9838,4440776.1748,0.0042600133
475584.9838,4435326.1748,0.15600227
475584.9838,4437026.1748,0.23724584
475584.9838,4440376.1748,0.15212068
475634.9838,4430276.1748,0.6331622
475634.9838,4434376.1748,0.7468989
475634.9838,4435776.1748,0.079038315
475634.9838,4436726.1748,0.08677522
