species,X,Y,bkd,clay,sand,silt,soc,twi,tpi,fla,rivers,roads,green,slope,BIO3,BIO4,BIO06,aspect
Phytophthora_PA3_allRun,478442.710909872,4431462.12210295,1.30426156520844,23.5992660522461,38.7771835327148,37.6235504150391,19.4806728363037,10.0255098342896,0.512329638004303,646.654663085938,70.46142578125,124.00611114502,0.127979651093483,7.28281545639038,40.407585144043,569.057983398438,5.20201063156128,75.8850936889648
Phytophthora_PA3_allRun,474396.968846775,4433565.31766425,1.27960062026978,25.7551326751709,40.6652641296387,33.5796012878418,20.9895935058594,6.99588203430176,-1.09243845939636,4826.37451171875,497.085327148438,61.6416244506836,0.102128453552723,14.0902013778687,38.6176948547363,564.159240722656,5.43563270568848,124.41764831543
Phytophthora_PA3_allRun,479363.99093796,4432988.27759856,1.34159636497498,24.9214916229248,36.7117195129395,38.3667869567871,21.7267608642578,8.36997509002686,-0.63441789150238,2761.359375,31.6250476837158,190.343551635742,0.11945166438818,5.50462436676025,39.4853172302246,571.708923339844,5.2687726020813,187.653137207031
Phytophthora_PA3_allRun,477759.666049652,4430806.00885653,1.34304690361023,23.7109413146973,41.3313064575195,34.9577522277832,18.5017986297607,6.46033668518066,0.454920768737793,602.899353027344,241.38655090332,374.078338623047,0.120488874614239,4.83680152893066,40.6172714233398,568.109008789062,5.18880701065063,168.532135009766
Phytophthora_PA3_allRun,478611.727895665,4430656.88434673,1.31354141235352,23.6805934906006,39.6474227905273,36.6728057861328,19.0732917785645,7.61997985839844,-1.24697983264923,1456.07531738281,54.7408866882324,13.2999496459961,0.13799948990345,8.20203495025635,41.0096282958984,568.105773925781,5.15557909011841,238.291793823242
Phytophthora_PA3_allRun,479679.272962021,4433069.73710096,1.30907452106476,24.5292549133301,38.1778030395508,37.2976264953613,23.3786392211914,7.53870058059692,-0.368259072303772,3017.27319335938,123.361717224121,153.961898803711,0.115103274583817,8.37974548339844,39.3082847595215,572.297607421875,5.27066135406494,180.645385742188
Phytophthora_PA3_allRun,477868.851264658,4435269.53992436,1.29338216781616,24.6007423400879,39.8470611572266,35.591724395752,24.3386898040771,9.15160274505615,-0.0176602154970169,2368.67993164062,293.807586669922,7.5016131401062,0.117238618433475,0.861492991447449,38.0381202697754,576.093505859375,5.16527605056763,94.1419677734375
Phytophthora_PA3_allRun,473805.036298005,4434472.10105186,1.30089271068573,24.3481674194336,40.2982559204102,35.3276786804199,19.3374900817871,9.05363941192627,0.131151810288429,7170.04931640625,140.911514282227,97.9049758911133,0.122840315103531,3.28416562080383,38.3955497741699,560.153991699219,5.66442537307739,220.901275634766
Phytophthora_PA3_allRun,474630.007614934,4433940.72457232,1.26449334621429,26.3115215301514,39.7933807373047,33.8950958251953,22.4486351013184,9.2071533203125,0.106773614883423,2773.85131835938,361.517120361328,68.8852920532227,0.0966809242963791,1.11151921749115,38.1974067687988,565.32568359375,5.42028284072876,239.567047119141
Phytophthora_PA3_allRun,475796.25242747,4435593.23159799,1.27195298671722,25.4067497253418,36.1195297241211,38.4737205505371,23.3321075439453,8.27040767669678,0.0937886759638786,811.67724609375,253.002990722656,116.101600646973,0.0995249822735786,0.932581722736359,38.0724449157715,571.149230957031,5.49552822113037,194.027816772461
