background,x,y,green,BIO3,soc,sand,silt,roads,BIO06,twi
background,473334.9838,4433776.1748,0.0939648076891899,38.9560928344727,22.0995941162109,36.9381828308105,34.7703056335449,93.6671905517578,5.63706016540527,6.98514842987061
background,473384.9838,4435076.1748,0.0996362939476967,38.5550308227539,22.0872611999512,39.3083343505859,36.7579078674316,451.828765869141,5.63126611709595,10.9620399475098
background,473384.9838,4436976.1748,0.122502185404301,38.2920684814453,15.3950843811035,21.5232124328613,25.074613571167,59.9065132141113,5.59077596664429,7.96506118774414
background,473434.9838,4433926.1748,0.104911260306835,38.8770904541016,22.2418537139893,37.5945892333984,34.7493705749512,103.440521240234,5.64286327362061,7.97127246856689
background,473434.9838,4434826.1748,0.103549607098103,38.4458160400391,21.2760963439941,40.2511215209961,35.3745613098145,298.798736572266,5.65572500228882,6.01120901107788
background,473434.9838,4434876.1748,0.0939497277140617,38.3605003356934,21.2903614044189,40.3742256164551,35.3872146606445,309.570098876953,5.6560001373291,5.48324584960938
background,473484.9838,4435276.1748,0.0849250555038452,38.368595123291,14.9286937713623,25.7099647521973,24.2631759643555,416.517150878906,5.64537715911865,5.84826040267944
background,473484.9838,4436726.1748,0.118845857679844,38.0305480957031,24.4060668945312,35.2595062255859,41.6661911010742,5.6728310585022,5.6309380531311,7.10415077209473
background,473534.9838,4433426.1748,0.105848789215088,39.48291015625,21.6765022277832,37.2744293212891,34.5593719482422,161.462203979492,5.56050252914429,10.6474590301514
background,473534.9838,4433526.1748,0.0944544672966003,39.4500579833984,21.927698135376,37.0760650634766,34.5033340454102,110.368850708008,5.56511688232422,8.91085052490234
background,473534.9838,4434076.1748,0.104625009000301,38.7661819458008,22.3611106872559,39.5680046081543,34.1483764648438,90.4129791259766,5.65070056915283,7.70582342147827
background,473534.9838,4436726.1748,0.131610974669456,37.9896926879883,24.5679988861084,35.2952270507812,41.7709426879883,43.8727569580078,5.62910556793213,8.02821826934814
background,473534.9838,4439176.1748,0.0844428092241287,37.3556137084961,19.0425510406494,23.3226013183594,26.4989109039307,869.420776367188,5.35413026809692,9.74359130859375
background,473584.9838,4434926.1748,0.106523089110851,38.124095916748,22.5132808685303,39.9621124267578,35.3559722900391,202.670806884766,5.65579223632812,7.59612274169922
background,473584.9838,4435376.1748,0.0885135978460312,37.9689102172852,18.4864692687988,32.1683349609375,30.7436008453369,279.259429931641,5.66270732879639,7.55007266998291
background,473634.9838,4433526.1748,0.103215396404266,39.2001762390137,22.2338790893555,37.173770904541,34.4967460632324,77.0145645141602,5.59926319122314,7.855384349823
background,473634.9838,4433876.1748,0.0967541113495827,39.0733337402344,22.3255958557129,37.0348930358887,34.1279907226562,102.233337402344,5.6138653755188,9.88600826263428
background,473634.9838,4435376.1748,0.0933710858225822,37.9211921691895,22.19651222229,38.3304443359375,36.5984115600586,258.40185546875,5.6615686416626,7.32182788848877
background,473634.9838,4435576.1748,0.0880393162369728,37.8771591186523,23.697473526001,38.0744705200195,37.0079956054688,90.8968887329102,5.65498113632202,7.14009141921997
background,473634.9838,4436476.1748,0.0960219874978065,38.5697937011719,23.0447750091553,35.571460723877,41.7333488464355,50.0910568237305,5.59937810897827,9.70477104187012
background,473634.9838,4439176.1748,0.0906512588262558,37.3910942077637,27.5731658935547,33.7334632873535,38.3735961914062,773.059204101562,5.34521198272705,7.79560804367065
background,473684.9838,4433626.1748,0.100487671792507,39.049488067627,22.6669025421143,36.869140625,34.6263275146484,72.5002899169922,5.6152081489563,9.49722862243652
background,473684.9838,4437376.1748,0.102396078407764,37.4756088256836,21.865119934082,31.5332221984863,43.9141082763672,154.425079345703,5.57997369766235,8.40583896636963
