x,y,Phytophthora_PA3_RUN9 logistic values
473284.9838,4433976.1748,0.18700363
473334.9838,4434026.1748,0.21175246
473384.9838,4434876.1748,0.2215853
473384.9838,4435076.1748,0.0737624
473434.9838,4433876.1748,0.55009276
473434.9838,4434626.1748,0.10193185
473434.9838,4434826.1748,0.33174324
473434.9838,4436626.1748,0.31796783
473484.9838,4434826.1748,0.206932
473534.9838,4435676.1748,0.3778111
473584.9838,4433376.1748,0.6261834
473584.9838,4434176.1748,0.49368057
473584.9838,4435226.1748,0.04948976
473634.9838,4435926.1748,0.20269871
473634.9838,4437126.1748,0.43626183
473634.9838,4437276.1748,0.10821467
473684.9838,4437526.1748,0.14564188
473734.9838,4436126.1748,0.17710698
473734.9838,4436176.1748,0.16190423
473784.9838,4435276.1748,0.1343076
473784.9838,4436126.1748,0.17819375
473784.9838,4436426.1748,0.15480703
473834.9838,4436376.1748,0.14250743
473834.9838,4439026.1748,3.994707E-4
473884.9838,4437076.1748,0.15174888
473884.9838,4439026.1748,0.002127519
473934.9838,4434626.1748,0.8017201
474034.9838,4435926.1748,0.16719683
474034.9838,4436976.1748,0.23072363
474034.9838,4437526.1748,0.22708243
474084.9838,4435876.1748,0.22635438
474084.9838,4437276.1748,0.030548153
474134.9838,4433326.1748,0.3787073
474134.9838,4437326.1748,0.03171925
474184.9838,4434076.1748,0.20222726
474184.9838,4436976.1748,0.27827546
474234.9838,4433026.1748,0.43848974
474284.9838,4433626.1748,0.29596576
474284.9838,4435126.1748,0.342092
474284.9838,4438976.1748,0.031086097
474284.9838,4439926.1748,0.06231004
474334.9838,4434226.1748,0.46802738
474384.9838,4433726.1748,0.4078506
474384.9838,4434676.1748,0.7050508
474384.9838,4437776.1748,0.10186416
474384.9838,4439676.1748,0.029298017
474484.9838,4433376.1748,0.60855764
474484.9838,4435026.1748,0.6169035
474534.9838,4434726.1748,0.79833317
474534.9838,4439326.1748,0.0614015
474534.9838,4439376.1748,0.076119766
474584.9838,4433676.1748,0.1149659
474584.9838,4435026.1748,0.7697412
474584.9838,4438476.1748,0.0023253786
474584.9838,4439926.1748,0.019798012
474584.9838,4440176.1748,0.10148507
474634.9838,4434026.1748,0.6094854
474634.9838,4436076.1748,0.049337953
474634.9838,4436176.1748,0.063043445
474634.9838,4438476.1748,0.0063260547
474684.9838,4432376.1748,0.4177327
474684.9838,4433476.1748,0.30161572
474684.9838,4435626.1748,0.27210703
474684.9838,4437376.1748,0.072053544
474684.9838,4437726.1748,0.017893074
474684.9838,4438526.1748,0.0042240457
474684.9838,4439776.1748,0.116774224
474734.9838,4433176.1748,0.38300952
474734.9838,4434876.1748,0.3195998
474734.9838,4435276.1748,0.17117189
474734.9838,4439276.1748,0.010910984
