Predictor variable,Categorical,Sample average
BIO03,false,39.17409976323446
BIO06,false,5.277874489625295
BIO15,false,53.44100999832154
aspect,false,189.5829687118531
bkd,false,1.3061844756205874
blue2023,false,0.11516716455419852
dndvi,false,-0.018191859727570182
fla,false,4321.12717374166
nir2021,false,0.23844485854109135
rivers,false,202.48670836289725
roads,false,127.5962024529775
slope,false,6.096547498057286
soc,false,21.181136051813773
texture,false,4.498172402381897
tpi,false,0.021062668878584722
twi,false,8.236961245536804
wo,false,1.0
