Predictor variable,Categorical,Sample average
BIO06,false,5.28192850112915
BIO3,false,39.31978042602538
BIO4,false,569.5366723632812
aspect,false,178.1888757324219
bkd,false,1.304791140556336
clay,false,24.744288330078124
fla,false,3189.1152917480467
green,false,0.11569537341594698
rivers,false,229.91807826995856
roads,false,124.68147558212287
sand,false,39.19806488037109
silt,false,36.056135711669924
slope,false,5.850805772542954
soc,false,20.96550003051758
tpi,false,0.07622496120631703
twi,false,8.420714626312254
