Predictor variable,Categorical,Sample average
BIO06,false,5.306193161010742
BIO3,false,39.25254989624022
BIO4,false,568.8365478515625
aspect,false,183.9410266113281
bkd,false,1.306633391380311
clay,false,24.85808265686035
fla,false,3697.730589599609
green,false,0.11517510175704959
rivers,false,235.0807909774781
roads,false,121.16322601318366
sand,false,38.977528686523435
silt,false,36.16062911987305
slope,false,5.3349693477153775
soc,false,20.73716934204101
tpi,false,0.09959074132144458
twi,false,8.60894172668457
