background,x,y,BIO03,green,BIO06,fla,wo,roads,soc,rivers
background,473384.9838,4433626.1748,39.0912857055664,0.107678562402725,5.62098932266235,801.083251953125,1,100.118194580078,21.6390628814697,168.538879394531
background,473434.9838,4434576.1748,38.8385314941406,0.0866243839263916,5.63129186630249,957.972900390625,1,362.651123046875,21.1361846923828,31.3564853668213
background,473434.9838,4436926.1748,38.2682189941406,0.10461188107729,5.59554243087769,4912.728515625,1,10.2942161560059,21.0767498016357,364.08056640625
background,473534.9838,4434626.1748,38.352954864502,0.103345908224583,5.67206001281738,1696.28295898438,1,252.708068847656,21.4860286712646,81.1123352050781
background,473584.9838,4434676.1748,38.2192573547363,0.103115059435368,5.67184257507324,2570.99829101562,1,182.511947631836,21.734956741333,125.113471984863
background,473584.9838,4436876.1748,37.9436111450195,0.113019905984402,5.60017347335815,4040.26220703125,1,13.3931035995483,24.8475818634033,273.251068115234
background,473634.9838,4434426.1748,38.4253082275391,0.10543255507946,5.66481065750122,6092.4140625,1,134.04020690918,19.8295860290527,157.454254150391
background,473634.9838,4437626.1748,37.406379699707,0.118479885160923,5.56706762313843,1002.46795654297,1,204.492172241211,23.5843315124512,703.477172851562
background,473734.9838,4433476.1748,38.9525146484375,0.0989021435379982,5.62311220169067,2704.2275390625,1,172.194473266602,22.1031608581543,195.25065612793
background,473734.9838,4433726.1748,38.9692268371582,0.0985850542783737,5.62263917922974,1730.76586914062,1,101.965179443359,22.7092113494873,125.559814453125
background,473784.9838,4433126.1748,38.809814453125,0.097995325922966,5.45273923873901,2423.8154296875,1,41.5854110717773,21.7787628173828,349.547210693359
background,473784.9838,4434426.1748,38.4425392150879,0.113463416695595,5.66192007064819,5127.3251953125,1,50.8617248535156,19.2102546691895,103.282081604004
background,473784.9838,4436476.1748,38.2298164367676,0.0890806615352631,5.6103949546814,3411.08935546875,1,178.777938842773,23.7920341491699,120.767974853516
background,473784.9838,4436826.1748,37.9443969726562,0.0978054255247116,5.58500242233276,917.171630859375,1,136.385757446289,24.0236034393311,103.377868652344
background,473784.9838,4437376.1748,37.4023818969727,0.107388816773891,5.56249332427979,3493.61401367188,1,60.319221496582,22.7900085449219,444.212066650391
background,473834.9838,4434176.1748,38.4938163757324,0.0988456308841705,5.65698623657227,1042.87890625,1,97.455322265625,21.4709243774414,103.777015686035
background,473834.9838,4439376.1748,37.2591247558594,0.0887992158532143,5.28963994979858,1587.53820800781,1,684.629150390625,24.80712890625,149.672973632812
background,473884.9838,4437076.1748,37.599193572998,0.105174288153648,5.58163452148438,1715.06652832031,1,190.284637451172,22.4727935791016,195.900497436523
background,473934.9838,4434726.1748,38.1796531677246,0.111971035599709,5.64491319656372,5580.5810546875,1,58.4895858764648,19.582555770874,373.753326416016
background,473934.9838,4435176.1748,37.9381217956543,0.0919230878353119,5.64720916748047,3509.697265625,1,122.795104980469,27.2521457672119,110.660804748535
background,473934.9838,4437226.1748,37.4033432006836,0.10014283657074,5.57273483276367,2130.39501953125,1,131.106185913086,23.7113304138184,239.003570556641
background,473934.9838,4439226.1748,37.126407623291,0.126318797469139,5.30136919021606,573.320678710938,1,516.927978515625,27.2117557525635,267.528015136719
background,473984.9838,4439526.1748,37.3256530761719,0.0992829278111458,5.24232912063599,3952.86254882812,1,672.996948242188,16.9091873168945,158.146057128906
background,474034.9838,4435626.1748,37.8617706298828,0.0991949886083603,5.62296056747437,4923.3642578125,1,9.06712913513184,26.4334011077881,132.837600708008
background,474034.9838,4435926.1748,38.0961265563965,0.0911964550614357,5.62197542190552,293.184387207031,1,96.7846450805664,26.0110702514648,132.407516479492
background,474034.9838,4437676.1748,37.307559967041,0.0952112674713135,5.75155591964722,1152.02502441406,1,200.821517944336,24.0070896148682,441.171234130859
background,474084.9838,4433126.1748,38.2401275634766,0.10618469119072,5.44386100769043,996.306701660156,1,57.3113212585449,22.0748634338379,616.580078125
background,474084.9838,4439126.1748,37.0913238525391,0.14326423406601,5.30371189117432,345.231872558594,1,336.877044677734,28.3591365814209,432.067443847656
background,474134.9838,4433126.1748,38.2174301147461,0.115563184022903,5.44113063812256,921.6201171875,1,72.0723114013672,22.0227661132812,602.473815917969
background,474134.9838,4433776.1748,38.5483207702637,0.0950316786766052,5.65060091018677,748.477600097656,1,72.147331237793,21.8908233642578,268.812286376953
background,474134.9838,4435626.1748,37.9244842529297,0.0959417894482613,5.6181001663208,3262.28125,1,4.65659809112549,26.9043884277344,187.841384887695
background,474134.9838,4436776.1748,37.7601356506348,0.103214509785175,5.56821060180664,2156.7890625,1,38.4862213134766,22.81494140625,188.443008422852
background,474134.9838,4439376.1748,37.2355308532715,0.117476187646389,5.23626470565796,707.583618164062,1,471.913970947266,27.8159351348877,365.872253417969
background,474184.9838,4435576.1748,37.7992057800293,0.0912416651844978,5.61762809753418,3499.8916015625,1,29.1374931335449,26.8810329437256,203.422714233398
background,474184.9838,4436076.1748,38.3894653320312,0.106972046196461,5.59292602539062,3554.00610351562,1,27.6543579101562,23.4034118652344,73.3381958007812
background,474184.9838,4436676.1748,37.803783416748,0.103199079632759,5.56544780731201,1185.89331054688,1,70.2908706665039,22.3024578094482,291.277282714844
background,474184.9838,4439926.1748,37.4345283508301,0.0914533063769341,5.1567816734314,2459.64501953125,1,295.452728271484,24.3321056365967,60.9389877319336
background,474234.9838,4432926.1748,38.3178215026855,0.0911783650517464,5.43624496459961,539.011901855469,1,198.254013061523,23.5580997467041,500.696472167969
background,474234.9838,4437326.1748,37.4829521179199,0.100555062294006,5.75303936004639,9896.25,1,173.813049316406,28.0909080505371,50.4272956848145
background,474284.9838,4437076.1748,37.4042816162109,0.102791428565979,5.55238771438599,3330.81396484375,1,51.2835388183594,26.4641799926758,139.301605224609
background,474334.9838,4433326.1748,38.5867614746094,0.0953330621123314,5.43628406524658,764.928588867188,1,203.653335571289,21.635196685791,456.47021484375
background,474334.9838,4436126.1748,38.2854080200195,0.0876167267560959,5.58091402053833,6630.4814453125,1,181.98112487793,22.667387008667,19.6323680877686
background,474334.9838,4439326.1748,37.2641296386719,0.140242278575897,5.21866178512573,4133.55419921875,1,269.889343261719,26.4170246124268,380.415222167969
background,474384.9838,4436626.1748,37.9764976501465,0.0942907109856606,5.55364894866943,9481.306640625,1,203.623565673828,22.5045375823975,455.478942871094
background,474384.9838,4440126.1748,37.4678344726562,0.127966910600662,5.06046152114868,2046.3544921875,1,23.3275089263916,24.3706741333008,155.40788269043
background,474434.9838,4432476.1748,39.9827461242676,0.10302047431469,5.35727071762085,671.007019042969,1,53.5227241516113,21.3016929626465,37.4205665588379
background,474434.9838,4435476.1748,37.7383651733398,0.089244157075882,5.606689453125,2582.17504882812,1,72.8548126220703,25.9938678741455,438.784057617188
background,474434.9838,4439826.1748,37.3498573303223,0.104112029075623,5.13620805740356,3592.16088867188,1,320.130523681641,24.6802101135254,128.107757568359
background,474434.9838,4440376.1748,37.5182037353516,0.089037150144577,4.88297367095947,2107.24584960938,1,218.942092895508,23.1166858673096,26.0959033966064
background,474484.9838,4433576.1748,38.8962364196777,0.111822545528412,5.42633676528931,6855.328125,1,160.118240356445,21.5192852020264,442.364410400391
background,474484.9838,4436826.1748,37.377197265625,0.096897654235363,5.54440641403198,2617.72290039062,1,14.6059951782227,24.304536819458,439.712219238281
background,474484.9838,4440076.1748,37.449577331543,0.155869096517563,5.04961919784546,1652.15991210938,1,80.2522277832031,23.2127361297607,266.051879882812
background,474534.9838,4432826.1748,39.4442176818848,0.108225703239441,5.39283990859985,1267.8037109375,1,72.3948669433594,22.1995391845703,204.805526733398
background,474534.9838,4434226.1748,38.4576530456543,0.0900042131543159,5.62988615036011,1548.27612304688,1,233.552612304688,21.906343460083,92.8920135498047
background,474534.9838,4437776.1748,36.9699821472168,0.101168677210808,5.43364715576172,2388.63842773438,1,74.8831405639648,21.3774032592773,497.926483154297
background,474534.9838,4439976.1748,37.4135513305664,0.101637378334999,5.08246517181396,2171.47021484375,1,187.834136962891,22.9637966156006,267.446655273438
background,474534.9838,4440276.1748,37.5548400878906,0.113535113632679,5.00349044799805,1201.38342285156,1,89.8798828125,22.9296932220459,165.692565917969
background,474584.9838,4437176.1748,37.306999206543,0.0925483331084251,5.72655439376831,1660.67614746094,1,112.351081848145,28.0329437255859,315.399993896484
background,474634.9838,4437626.1748,36.9435043334961,0.112314119935036,5.42662763595581,1810.91577148438,1,30.8634605407715,27.9835147857666,438.135070800781
background,474634.9838,4439726.1748,37.445068359375,0.119641803205013,5.11611604690552,26988.083984375,1,235.597274780273,25.7692794799805,11.0380773544312
background,474634.9838,4440226.1748,37.5267486572266,0.154460847377777,4.99789476394653,1625.97033691406,1,11.9801588058472,22.1065940856934,269.933227539062
background,474684.9838,4435676.1748,37.8666305541992,0.102501347661018,5.59551191329956,363.137176513672,1,47.9712867736816,23.841869354248,167.27294921875
background,474684.9838,4436076.1748,37.7040596008301,0.0962830409407616,5.57205867767334,1435.59924316406,1,289.196014404297,25.125789642334,166.361114501953
background,474684.9838,4438026.1748,36.8996391296387,0.118719734251499,5.40622854232788,3304.17163085938,1,190.458633422852,27.076774597168,681.268005371094
background,474684.9838,4438526.1748,36.9134292602539,0.103289812803268,5.36471796035767,524.50732421875,1,259.077789306641,28.4616718292236,1038.08227539062
background,474734.9838,4432726.1748,40.2226753234863,0.0983337312936783,5.30972099304199,25327.275390625,1,43.1171340942383,21.3445739746094,18.1689262390137
background,474734.9838,4434626.1748,38.2702865600586,0.101587451994419,5.61118984222412,935.399841308594,1,127.177253723145,21.0404777526855,149.6748046875
background,474734.9838,4437226.1748,37.2646102905273,0.111695319414139,5.71825551986694,1144.30810546875,1,179.043853759766,28.5979270935059,437.317474365234
background,474734.9838,4438676.1748,37.1573448181152,0.103495769202709,5.29938077926636,30544.77734375,1,105.30534362793,27.8690357208252,1012.24505615234
background,474734.9838,4439426.1748,37.2604370117188,0.0935814306139946,5.1563196182251,3842.509765625,1,42.6369857788086,26.802583694458,301.542572021484
background,474784.9838,4432676.1748,40.2476577758789,0.10719982534647,5.30469703674316,37858.82421875,1,113.763343811035,21.4257564544678,33.713680267334
background,474784.9838,4435576.1748,37.8794136047363,0.101209104061127,5.59104537963867,1063.94384765625,1,51.5645713806152,23.3021621704102,269.342407226562
background,474784.9838,4437226.1748,37.2605247497559,0.125953108072281,5.71572256088257,941.207275390625,1,159.11833190918,28.7117652893066,477.616088867188
background,474784.9838,4439026.1748,37.0295867919922,0.0956858024001122,5.22960901260376,2832.83569335938,1,147.415664672852,26.6811084747314,685.242858886719
background,474784.9838,4440026.1748,37.5437965393066,0.120555080473423,4.99072313308716,2350.4970703125,1,148.440719604492,21.8403377532959,205.949005126953
background,474784.9838,4440526.1748,37.2339859008789,0.109104178845882,4.65425586700439,4879.259765625,1,85.4188690185547,24.2426338195801,79.36767578125
background,474834.9838,4433626.1748,39.4883155822754,0.0944000780582428,5.37976598739624,8757.3125,1,149.185455322266,23.2211647033691,142.166717529297
background,474834.9838,4434826.1748,38.1238288879395,0.0935019105672836,5.60905694961548,3506.462890625,1,137.198974609375,20.7395401000977,335.496612548828
background,474884.9838,4437626.1748,36.8916053771973,0.111985176801682,5.40613508224487,664.101623535156,1,8.74617099761963,29.9931697845459,320.046142578125
background,474884.9838,4441576.1748,37.396183013916,0.102790527045727,4.58591985702515,3511.1123046875,1,520.892578125,26.5970191955566,68.8970031738281
background,474934.9838,4432026.1748,38.6131973266602,0.13007940351963,5.42067432403564,1129.37731933594,1,201.680862426758,20.6099071502686,288.660552978516
background,474934.9838,4437076.1748,37.3020286560059,0.119922041893005,5.7095193862915,1384.83251953125,1,4.03002643585205,28.1753444671631,448.859008789062
background,474934.9838,4437726.1748,36.9127388000488,0.106121681630611,5.39372873306274,883.7470703125,1,30.8751411437988,28.9222431182861,316.497863769531
background,474934.9838,4437776.1748,36.9008674621582,0.116693891584873,5.3928337097168,825.487365722656,1,33.3895568847656,28.6366405487061,345.374633789062
background,474984.9838,4432226.1748,38.9141387939453,0.095963217318058,5.3981785774231,1229.64990234375,1,120.745399475098,22.1855907440186,259.161071777344
background,474984.9838,4434826.1748,38.1570053100586,0.10602243244648,5.59637546539307,2254.173828125,1,25.610237121582,21.0709991455078,457.424438476562
background,475034.9838,4433326.1748,39.5257911682129,0.0904564559459686,5.37575578689575,1394.73779296875,1,97.8564682006836,25.1724815368652,160.688629150391
background,475034.9838,4433726.1748,38.9749488830566,0.0977415964007378,5.40055656433105,1682.49475097656,1,142.668304443359,23.3071880340576,108.900489807129
background,475034.9838,4434276.1748,38.173900604248,0.114209525287151,5.42297554016113,4981.9990234375,1,26.7046852111816,22.0544967651367,502.248107910156
background,475034.9838,4438876.1748,36.990779876709,0.103055983781815,5.21771097183228,3466.07958984375,1,58.0682258605957,26.9096927642822,888.35498046875
background,475084.9838,4434476.1748,38.2761383056641,0.102049000561237,5.59643125534058,4031.32055664062,1,232.152526855469,21.6309585571289,496.062103271484
background,475084.9838,4436176.1748,37.7897796630859,0.0950630903244019,5.52325296401978,2945.71508789062,1,246.474395751953,24.1867122650146,57.2024879455566
background,475134.9838,4436126.1748,37.7694435119629,0.0974896848201752,5.52103805541992,1129.88500976562,1,317.126068115234,24.1080894470215,127.806243896484
background,475134.9838,4438626.1748,36.9466896057129,0.115552097558975,5.24767684936523,5952.43603515625,1,26.0606632232666,26.3202247619629,971.718017578125
background,475134.9838,4439826.1748,37.6259078979492,0.106428876519203,4.97191476821899,1453.74780273438,1,90.6995468139648,26.4318542480469,77.8903656005859
background,475134.9838,4440276.1748,37.4818954467773,0.115349993109703,4.96158695220947,2434.70068359375,1,48.5678443908691,24.0583477020264,481.195526123047
background,475184.9838,4433726.1748,39.2024154663086,0.101149924099445,5.37919521331787,2410.23120117188,1,197.944000244141,23.5246181488037,21.0787086486816
background,475234.9838,4433876.1748,38.7421989440918,0.0908111333847046,5.37738418579102,2353.36596679688,1,324.059783935547,22.8754100799561,143.974472045898
background,475234.9838,4435476.1748,37.9267730712891,0.0947691649198532,5.54840517044067,1349.51281738281,1,170.722625732422,22.7519035339355,580.509704589844
background,475234.9838,4436626.1748,37.7464218139648,0.101740024983883,5.71808910369873,6041.001953125,1,36.995532989502,24.2994174957275,169.40185546875
background,475234.9838,4437626.1748,37.0536155700684,0.0972101837396622,5.38567399978638,4769.5810546875,1,82.195442199707,27.5569839477539,18.1573486328125
background,475234.9838,4439076.1748,37.0098114013672,0.108216039836407,5.1923394203186,1745.95129394531,1,98.0017242431641,24.1133689880371,701.886840820312
background,475234.9838,4439926.1748,37.5994873046875,0.115262180566788,4.96589040756226,8568.59375,1,93.1558685302734,27.1162567138672,218.637161254883
background,475284.9838,4431676.1748,38.5168914794922,0.136434406042099,5.39384126663208,1502.10192871094,1,17.1883716583252,20.1381645202637,389.177368164062
background,475284.9838,4432126.1748,39.1815414428711,0.0858506709337234,5.37303352355957,6354.7568359375,1,188.752105712891,21.7100811004639,51.5312156677246
background,475284.9838,4435276.1748,38.042423248291,0.0993319749832153,5.56966638565063,3078.55810546875,1,94.7010879516602,22.1684246063232,579.70556640625
background,475284.9838,4436426.1748,37.6688957214355,0.0931275188922882,5.52787637710571,91766.421875,1,228.089324951172,24.9969902038574,10.0974931716919
background,475284.9838,4437026.1748,37.2908248901367,0.113870330154896,5.43351411819458,4840.630859375,1,48.5203399658203,28.0266380310059,158.819396972656
background,475284.9838,4438876.1748,36.9944534301758,0.102375812828541,5.19574451446533,5009.91650390625,1,15.0273599624634,26.4129066467285,907.936645507812
background,475284.9838,4440176.1748,37.5112915039062,0.127146139740944,4.95627641677856,1979.24877929688,1,96.2769470214844,27.4073657989502,451.966186523438
background,475284.9838,4441026.1748,37.2346954345703,0.0964531376957893,4.56758213043213,5740.04248046875,1,25.150182723999,30.1711807250977,215.278289794922
background,475334.9838,4435576.1748,37.8761405944824,0.113512106239796,5.54379367828369,1026.87878417969,1,82.5760269165039,22.7127628326416,599.57373046875
background,475334.9838,4436176.1748,37.6807975769043,0.0941212177276611,5.52632427215576,1639.84216308594,1,271.020599365234,26.0991687774658,214.012130737305
background,475334.9838,4437476.1748,37.0714950561523,0.0924240946769714,5.38220262527466,1125.74829101562,1,113.39363861084,27.3637409210205,105.753059387207
background,475334.9838,4437576.1748,37.0032806396484,0.111758500337601,5.37740278244019,1371.23669433594,1,142.484680175781,27.4660530090332,88.9639205932617
background,475334.9838,4438976.1748,36.9930305480957,0.107867740094662,5.19248867034912,2755.84423828125,1,9.63696193695068,24.176794052124,824.044494628906
background,475384.9838,4431026.1748,38.4337997436523,0.119102142751217,5.3974175453186,450.962860107422,1,293.759796142578,20.0661792755127,221.851287841797
background,475384.9838,4431176.1748,38.4676628112793,0.137412324547768,5.40014028549194,2304.88598632812,1,145.653106689453,19.0174140930176,122.038520812988
background,475384.9838,4431226.1748,38.4449920654297,0.1433275192976,5.40038013458252,1901.5810546875,1,97.5781478881836,18.7374134063721,115.982192993164
background,475384.9838,4438176.1748,36.9278450012207,0.10984605550766,5.33218145370483,868.963928222656,1,28.9411659240723,30.7464332580566,483.792785644531
background,475384.9838,4439376.1748,37.112964630127,0.102935776114464,5.13861465454102,1758.92370605469,1,79.3602523803711,19.8458366394043,486.56591796875
background,475434.9838,4431026.1748,38.6328010559082,0.10519365221262,5.39748430252075,611.225280761719,1,292.445037841797,19.9438705444336,198.412124633789
background,475434.9838,4432876.1748,38.5771064758301,0.0908063948154449,5.39192724227905,1403.93530273438,1,317.147277832031,23.9589157104492,107.944107055664
background,475434.9838,4435526.1748,37.9189224243164,0.102185301482677,5.5393853187561,1062.74243164062,1,158.953887939453,22.4621410369873,577.955993652344
background,475434.9838,4435726.1748,37.831241607666,0.0980990827083588,5.53714656829834,1390.88061523438,1,3.68095421791077,23.3433208465576,518.434753417969
