Predictor variable,Categorical,Sample average
BIO06,false,5.319953308105469
BIO3,false,39.134301757812494
BIO4,false,569.1606127929688
aspect,false,184.70721954345706
bkd,false,1.3050847673416146
clay,false,24.71563133239746
fla,false,3472.8454931640626
green,false,0.1150337335467339
rivers,false,231.15402919769292
roads,false,109.32961105346686
sand,false,38.8304801940918
silt,false,36.45049606323242
slope,false,4.892994267940521
soc,false,21.19615257263183
tpi,false,-0.037796000614762314
twi,false,8.496151733398438
