Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.92681E-11,0.00000001,0.000000027,0.84125,0,0
2.22709E-6,0.000222719,0.000601439,0.84,0,0
3.62552E-6,0.00058527,0.000978724,0.83875,0,0
4.38975E-6,0.001432315,0.001184789,0.83625,0,0
5.82679E-6,0.003081638,0.001572035,0.8325,0,0
7.62106E-6,0.005260321,0.002055123,0.82875,0,0
1.0266E-5,0.010048132,0.002766401,0.8225,0,0
1.63491E-5,0.026113158,0.004398404,0.8075,0,0
3.21099E-5,0.052311939,0.008602059,0.7925,0,0
4.35299E-5,0.102087028,0.011625865,0.77625,0,0
5.96194E-5,0.203412957,0.015854858,0.75125,0,0
7.1088E-5,0.301479317,0.018847285,0.7325,0,0
7.95264E-5,0.406889198,0.021037445,0.715,0,0
9.33272E-5,0.502154686,0.024598434,0.70125,0,0
1.10476E-4,0.604564746,0.028987301,0.68875,0,0
1.27138E-4,0.710835178,0.033214097,0.6775,0,0
1.31077E-4,0.762798552,0.034207776,0.6725,0,0
1.33743E-4,0.802516744,0.034879349,0.66875,0,0
1.41471E-4,0.91268413,0.036820666,0.65875,0,0
1.48582E-4,1.014268055,0.038599846,0.65,0,0
1.55225E-4,1.105365963,0.040256174,0.6425,0,0
1.61404E-4,1.215968421,0.04179167,0.63375,0,0
1.70082E-4,1.315824839,0.043939969,0.62625,0.04,0
1.76652E-4,1.402865941,0.045559816,0.62,0.04,0
1.87468E-4,1.513061415,0.048215075,0.6125,0.04,0
2.0563E-4,1.767864407,0.052640283,0.59625,0.04,0
2.27811E-4,2.008182897,0.057989224,0.5825,0.04,0
2.45228E-4,2.269672562,0.062147066,0.56875,0.04,0
2.663E-4,2.524209522,0.067128678,0.55625,0.04,0
2.85385E-4,2.772947239,0.071595345,0.545,0.08,0
2.94563E-4,3.005658796,0.073727967,0.535,0.08,0
3.16487E-4,3.280997984,0.078783129,0.52375,0.08,0
3.46914E-4,3.515829339,0.085708148,0.515,0.08,0
3.59714E-4,3.762737431,0.088590387,0.50625,0.08,0
3.67651E-4,4.017278568,0.090368505,0.4975,0.08,0
3.87684E-4,4.283885765,0.094825579,0.48875,0.08,0
4.02894E-4,4.521505696,0.098180632,0.48125,0.08,0
