background,x,y,roads,rivers,aspect,fla,slope,tpi,twi,soc,bkd,BIO03,BIO06,BIO15,ndwi2021,dndvi,wo
background,473234.9838,4433576.1748,150.079574584961,238.824401855469,211.465454101562,418.889556884766,3.63844299316406,0.417384177446365,6.15702056884766,21.8313980102539,1.27106964588165,39.1400604248047,5.61835241317749,54.2071189880371,-0.354167252779007,-0.0100389253348112,1
background,473284.9838,4433876.1748,196.989593505859,40.4400672912598,274.026977539062,3045.8623046875,19.2952880859375,-4.30826616287231,7.36747789382935,22.3324394226074,1.28061974048615,39.1899108886719,5.61054658889771,54.2445297241211,-0.506484866142273,-0.00778454868122935,1
background,473334.9838,4434026.1748,187.533248901367,98.631477355957,231.986755371094,1684.21215820312,10.0261249542236,2.19599175453186,6.65729141235352,19.9002590179443,1.15879499912262,38.8383674621582,5.65107536315918,54.1547584533691,-0.50496643781662,-0.0135652180761099,1
background,473434.9838,4434176.1748,206.502502441406,170.717391967773,237.435592651367,840.97802734375,2.36953258514404,0.347848266363144,7.55308961868286,21.7449550628662,1.27618360519409,38.7075271606445,5.65900993347168,54.1158790588379,-0.402645796537399,0.0047183888964355,1
background,473484.9838,4433476.1748,103.058868408203,41.6729774475098,133.212677001953,2780.32421875,8.93477058410645,-0.881991028785706,7.54537105560303,21.6459121704102,1.25476217269897,39.4265060424805,5.56947374343872,54.4090232849121,-0.371728539466858,0.00539086060598493,1
background,473484.9838,4436776.1748,26.1655445098877,218.000625610352,272.25244140625,3428.35302734375,9.74197101593018,0.964373111724854,7.55485677719116,24.632495880127,1.32588684558868,38.0550193786621,5.62835884094238,54.2028846740723,-0.380317121744156,0.0479881651699543,1
background,473534.9838,4433976.1748,3.38624906539917,111.474067687988,156.151077270508,2658.15698242188,4.26270341873169,0.510196149349213,8.02752685546875,22.3307323455811,1.2769638299942,38.8485717773438,5.64330005645752,54.2481155395508,-0.435667484998703,0.0144889401271939,1
background,473634.9838,4433476.1748,126.099067687988,100.959701538086,279.002990722656,2852.59887695312,11.3898639678955,1.1853973865509,7.35072660446167,22.0850925445557,1.24913036823273,39.2030067443848,5.5987663269043,54.3089942932129,-0.451132029294968,0.000545314571354538,1
background,473634.9838,4437176.1748,44.5490760803223,451.775573730469,253.596237182617,1641.34936523438,4.92353773117065,0.22787643969059,8.63481330871582,21.4205646514893,1.33574163913727,37.6109580993652,5.59568643569946,54.0588989257812,-0.365182220935822,0.0595197789371014,1
background,473684.9838,4434676.1748,118.756782531738,224.969650268555,219.084823608398,3894.607421875,2.65529203414917,0.0945945903658867,8.6474552154541,21.208366394043,1.29661071300507,38.2647132873535,5.66266489028931,53.9941062927246,-0.338615655899048,0.00892711617052555,1
background,473684.9838,4435326.1748,287.372955322266,117.619812011719,209.629669189453,768.367370605469,5.17872714996338,0.547282218933105,6.43752479553223,23.4417495727539,1.29668569564819,37.9511184692383,5.65766382217407,53.9827537536621,-0.421365320682526,0.00798256788402796,1
background,473684.9838,4437126.1748,26.7026519775391,381.247711181641,227.272262573242,1745.38598632812,3.92979574203491,0.458657771348953,8.54646301269531,21.5692882537842,1.3277416229248,37.5798149108887,5.59177494049072,54.0387725830078,-0.413193345069885,0.0326753333210945,1
background,473734.9838,4434326.1748,55.1234359741211,72.9452743530273,189.460250854492,8935.55078125,5.01077556610107,0.0387016534805298,9.17594623565674,19.8073406219482,1.2848926782608,38.5070610046387,5.65862274169922,54.2063179016113,-0.361689120531082,-0.00438230251893401,1
background,473784.9838,4433376.1748,140.358657836914,270.480010986328,268.139099121094,1742.47595214844,11.3744850158691,-0.866611301898956,6.84579801559448,21.5506229400635,1.25926196575165,38.8284492492676,5.53302001953125,54.16064453125,-0.464392781257629,0.0100398305803537,1
background,473784.9838,4436176.1748,169.042236328125,118.930648803711,278.629455566406,1496.84851074219,21.1730518341064,-0.209426447749138,5.72399997711182,24.4675350189209,1.3165488243103,38.332275390625,5.62872076034546,54.215217590332,-0.44123899936676,0.016194486990571,1
