Predictor variable,Categorical,Sample average
BIO06,false,5.32134220123291
BIO3,false,39.11359344482421
BIO4,false,568.7806079101563
aspect,false,181.1522341918946
bkd,false,1.3035429143905646
clay,false,24.851654891967772
fla,false,3723.0438427734375
green,false,0.11461522549390796
rivers,false,221.7143214797974
roads,false,100.49060285568244
sand,false,39.04774230957031
silt,false,36.09889221191406
slope,false,5.057127004861834
soc,false,21.12525405883789
tpi,false,-0.05107048228383058
twi,false,8.731854019165036
