x,y,Phytophthora_PA3_allRun logistic values
473334.9838,4433626.1748,0.4496629
473384.9838,4433876.1748,0.3310185
473384.9838,4436676.1748,0.45228037
473434.9838,4434126.1748,0.40759718
473534.9838,4433476.1748,0.071596466
473584.9838,4433876.1748,0.53891575
473634.9838,4435126.1748,0.11683807
473634.9838,4436776.1748,0.47899854
473684.9838,4436426.1748,0.019411663
473684.9838,4436526.1748,0.0047479393
473734.9838,4434276.1748,0.45159298
473734.9838,4437126.1748,0.10888813
473734.9838,4437276.1748,0.02274433
473784.9838,4436026.1748,0.0535522
473784.9838,4436626.1748,0.009705493
473784.9838,4437676.1748,0.048048265
473834.9838,4433476.1748,0.37381852
473834.9838,4434926.1748,0.6383091
473834.9838,4435576.1748,0.08066714
473834.9838,4435826.1748,0.07600069
473834.9838,4436126.1748,0.22634171
473834.9838,4439176.1748,8.579778E-4
473884.9838,4436776.1748,0.021204785
473884.9838,4437176.1748,0.049163718
473884.9838,4437676.1748,0.036728922
473934.9838,4436176.1748,0.0758933
473984.9838,4433326.1748,0.44673067
473984.9838,4434026.1748,0.023176635
473984.9838,4435726.1748,0.06682736
473984.9838,4437626.1748,0.0070112534
474034.9838,4433126.1748,0.73629194
474034.9838,4433526.1748,0.56468785
474034.9838,4439526.1748,0.013513944
474084.9838,4432876.1748,0.5431117
474084.9838,4434776.1748,0.58048266
474084.9838,4436876.1748,0.3217336
474084.9838,4437226.1748,0.04166614
474084.9838,4437376.1748,0.034147624
474084.9838,4439176.1748,6.716274E-4
474134.9838,4439176.1748,0.0025077448
474184.9838,4433426.1748,0.14094302
474234.9838,4432776.1748,0.17204957
474234.9838,4435376.1748,0.48640364
474234.9838,4435776.1748,0.32160488
474234.9838,4439826.1748,0.014363401
474284.9838,4435776.1748,0.36213422
474334.9838,4435776.1748,0.47357556
474334.9838,4439226.1748,0.033451542
474384.9838,4437326.1748,0.037811115
474434.9838,4433076.1748,0.14947385
474434.9838,4434826.1748,0.6591206
474434.9838,4439676.1748,0.0121380165
474434.9838,4440176.1748,0.02870529
474484.9838,4440326.1748,0.0356601
474534.9838,4433826.1748,0.5019415
474584.9838,4432826.1748,0.8600163
474584.9838,4433826.1748,0.54913807
474584.9838,4434626.1748,0.5325938
474584.9838,4435426.1748,0.07101865
474584.9838,4439976.1748,0.013859595
474634.9838,4432526.1748,0.34567046
474634.9838,4435926.1748,0.08176567
474634.9838,4436876.1748,0.15739125
474634.9838,4437476.1748,0.059122074
474634.9838,4437526.1748,0.047277056
474634.9838,4438676.1748,0.009374289
474634.9838,4438726.1748,0.0039028656
474634.9838,4438926.1748,0.0075186905
474684.9838,4432626.1748,0.8530314
474684.9838,4435176.1748,0.34793362
474684.9838,4439276.1748,0.009738998
474684.9838,4440226.1748,0.22488143
474734.9838,4435676.1748,0.042138714
474734.9838,4436026.1748,0.034426864
474734.9838,4436776.1748,0.12170598
474734.9838,4437526.1748,0.01903324
474734.9838,4438876.1748,0.0109739
474734.9838,4439376.1748,0.004657401
474734.9838,4440526.1748,0.0018936087
474784.9838,4436676.1748,0.09973844
474784.9838,4437026.1748,0.20400578
474784.9838,4437326.1748,0.006203664
474784.9838,4439776.1748,0.10412137
474784.9838,4440176.1748,0.08392518
474834.9838,4432326.1748,0.67400223
474834.9838,4433976.1748,0.585386
474834.9838,4436176.1748,0.19792281
474834.9838,4437376.1748,0.0018816338
474834.9838,4440376.1748,0.035002943
474884.9838,4432776.1748,0.69804466
474884.9838,4434076.1748,0.6084918
474884.9838,4436426.1748,0.4398919
474884.9838,4437526.1748,0.0077937506
474884.9838,4437976.1748,0.004911568
474884.9838,4441476.1748,0.0012898692
474934.9838,4433176.1748,0.44805866
474934.9838,4433726.1748,0.14810625
474934.9838,4438426.1748,0.018049184
474934.9838,4438726.1748,0.0022254977
474934.9838,4440976.1748,0.0030261362
474984.9838,4432876.1748,0.6865672
474984.9838,4433626.1748,0.23924151
474984.9838,4439326.1748,0.0024143076
475034.9838,4431826.1748,0.6480208
475034.9838,4433626.1748,0.067151286
475034.9838,4435526.1748,0.38917488
475034.9838,4438926.1748,0.0036682037
475034.9838,4438976.1748,0.004685001
475084.9838,4433326.1748,0.058625054
475084.9838,4435326.1748,0.5152673
475084.9838,4435976.1748,0.1620262
475084.9838,4440076.1748,0.13096587
475084.9838,4441576.1748,1.7955534E-4
475134.9838,4431576.1748,0.5548044
475134.9838,4433176.1748,0.57804316
475134.9838,4434076.1748,0.34715837
475134.9838,4434976.1748,0.55250245
475134.9838,4437726.1748,0.022423824
475184.9838,4431626.1748,0.5881455
475184.9838,4432776.1748,0.6960661
475234.9838,4430776.1748,0.44072086
475234.9838,4434826.1748,0.68843675
475284.9838,4433376.1748,0.21022306
475284.9838,4435976.1748,0.058263604
475284.9838,4440376.1748,0.005696588
475284.9838,4441226.1748,0.0040664454
475334.9838,4433826.1748,0.07413888
475334.9838,4435226.1748,0.49990663
475334.9838,4435376.1748,0.34970623
475334.9838,4438326.1748,3.5557218E-4
475384.9838,4433876.1748,0.053289603
475384.9838,4435076.1748,0.47563806
475384.9838,4436026.1748,0.06634744
475384.9838,4439076.1748,0.0049394965
475384.9838,4439526.1748,0.048382416
475384.9838,4440126.1748,0.12299865
475384.9838,4440826.1748,1.8476053E-4
475384.9838,4440976.1748,0.0017092789
475384.9838,4441126.1748,0.0042676073
475384.9838,4441226.1748,0.0034908694
475434.9838,4431826.1748,0.41747713
475434.9838,4433526.1748,0.087101705
475434.9838,4433626.1748,0.035326473
475434.9838,4435376.1748,0.35443896
475434.9838,4436926.1748,0.056188557
475434.9838,4441226.1748,0.004169371
475484.9838,4431276.1748,0.6339774
475484.9838,4433526.1748,0.62129927
475484.9838,4434826.1748,0.5885666
475484.9838,4435326.1748,0.4670233
475484.9838,4436726.1748,0.22072014
475484.9838,4437576.1748,0.0010108465
475484.9838,4438276.1748,0.0040363525
475484.9838,4439876.1748,0.1019805
475534.9838,4430226.1748,0.67176324
475534.9838,4433226.1748,0.67241323
475534.9838,4433276.1748,0.4786357
475534.9838,4435876.1748,0.19819579
475534.9838,4436476.1748,0.0042941202
475534.9838,4437376.1748,0.0011215846
475534.9838,4439176.1748,0.0015311193
475534.9838,4439626.1748,0.030156784
475534.9838,4439676.1748,0.020126117
475534.9838,4439826.1748,0.16693841
475584.9838,4432076.1748,0.1536306
475584.9838,4432826.1748,0.24358048
475584.9838,4435376.1748,0.3735294
475584.9838,4435876.1748,0.2569751
475584.9838,4437626.1748,6.4087426E-4
475584.9838,4438276.1748,0.0053184833
475584.9838,4441226.1748,0.016527874
475634.9838,4432176.1748,0.117400676
475634.9838,4434926.1748,0.2456079
475634.9838,4435826.1748,0.19062914
475634.9838,4438526.1748,0.010055689
475634.9838,4439826.1748,0.060437493
475634.9838,4440426.1748,0.13403562
475634.9838,4441426.1748,0.0016369437
475684.9838,4434426.1748,0.73549974
475684.9838,4439126.1748,9.856506E-4
475684.9838,4439326.1748,1.1209138E-4
475684.9838,4440226.1748,0.12008433
475684.9838,4441526.1748,0.0035723615
475684.9838,4441576.1748,0.0010002073
475734.9838,4432826.1748,0.17657013
475734.9838,4438376.1748,0.0023864128
475784.9838,4433926.1748,0.50603205
475784.9838,4434876.1748,0.45876923
475784.9838,4439926.1748,0.013560185
475784.9838,4441876.1748,0.0014346513
475834.9838,4433076.1748,0.24501313
