X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
478442.710909872,4431462.12210295,train,0.004049759281509672,61.97326040462972,0.606504641624124
479363.99093796,4432988.27759856,train,0.0026644294066454697,45.83998350599821,0.5034938419131214
477759.666049652,4430806.00885653,train,0.0022836850490863952,40.27118108194077,0.46500134236531165
478611.727895665,4430656.88434673,train,0.0043875269869045365,62.9837224603214,0.6254512465367817
479679.272962021,4433069.73710096,train,0.002744643603733013,46.688356721592164,0.5109074938811469
473805.036298005,4434472.10105186,train,0.020665962921115905,100.0,0.8872019628160985
475796.25242747,4435593.23159799,train,0.004144267807755641,62.397957536309825,0.6119964030472709
474499.178838266,4432955.58603606,train,0.005252921513432176,72.40019554889533,0.6665828584595226
478507.926276113,4430873.63775283,train,0.003626575749000278,56.363225753409104,0.579878477174549
477499.819534493,4433530.09478197,train,0.007596505223605617,90.93656946095734,0.743010313025747
481488.577724163,4434030.82045088,train,0.002185963572134869,38.4588004002143,0.45413985231855025
477317.102137586,4432161.03871947,train,0.007975458565134189,91.39483391583158,0.7521952538377492
477513.339835345,4430321.98176289,train,9.545600925420825E-4,14.101213076741464,0.26648716513169257
473718.178754241,4434680.63262233,train,0.028474202659360036,100.0,0.9155205247222922
478578.955216179,4435857.94086172,train,0.003059411784909316,52.13044800556624,0.537978790151639
473815.130164937,4434738.96550454,train,0.015724008853715356,100.0,0.8568260303047613
478664.499375238,4431013.90701039,train,0.004605109721167586,64.78343193621544,0.6367190865648062
477389.601427484,4433486.20027707,train,0.004589192490011648,64.5900392486116,0.6359178240460355
476801.644926592,4434768.70983185,train,0.0012260850258362828,20.659530177724,0.31817138468764083
481006.880582198,4432476.03282277,train,0.0010570815890660736,16.439103113524656,0.2868970334744321
475762.818519539,4435493.35586751,train,0.00417851602870385,62.46428726154048,0.6139488709401776
477478.774392465,4430367.01775964,train,0.004862436101070945,67.40125889597083,0.6492001501484224
474649.443162662,4434883.02753538,train,0.010210004282859094,93.65689300841285,0.7953292709928635
483001.938939244,4433989.27141803,train,3.7750538059967356E-4,4.75607462807254,0.12562755675910686
475751.494564062,4435485.3597763,train,0.004208968546667718,62.523265716280626,0.6156685179200033
