Predictor variable,Categorical,Sample average
BIO03,false,39.17074234008789
BIO06,false,5.261147098541261
BIO15,false,53.38778045654298
aspect,false,190.8025402832032
bkd,false,1.3104723215103147
blue2023,false,0.11516930073499675
dndvi,false,-0.018921655258163826
fla,false,4716.261168823243
nir2021,false,0.23679006636142735
rivers,false,213.4127565383911
roads,false,118.75405086517335
slope,false,5.277970107793808
soc,false,21.389115982055674
texture,false,4.471460895538329
tpi,false,-0.03877573121339118
twi,false,8.604051361083982
wo,false,1.0
