background,x,y,green,BIO3,soc,sand,silt,roads,BIO06,rivers
background,473634.9838,4433476.1748,0.0947113409638405,39.2029838562012,22.0850925445557,37.3993301391602,34.399974822998,126.099067687988,5.59877395629883,100.959701538086
background,473784.9838,4435026.1748,0.101634845137596,37.9333877563477,24.4664287567139,38.8890113830566,35.9125938415527,246.39323425293,5.65245628356934,196.23860168457
background,473884.9838,4436376.1748,0.0937746167182922,38.0232772827148,24.1841220855713,35.4159202575684,42.5900573730469,138.278701782227,5.60948181152344,185.14826965332
background,474434.9838,4435526.1748,0.0915756374597549,37.8518409729004,26.0658798217773,36.8147773742676,37.7989730834961,30.6277828216553,5.60598802566528,404.298431396484
background,474484.9838,4434726.1748,0.112894147634506,38.2301864624023,20.2320995330811,38.6455535888672,34.9147071838379,126.732139587402,5.6183876991272,163.162445068359
background,474784.9838,4436226.1748,0.10804820805788,37.6220588684082,25.1502056121826,36.1207504272461,40.0678977966309,108.938995361328,5.55941581726074,180.237533569336
background,474834.9838,4438776.1748,0.101526878774166,37.0307121276855,27.1854629516602,30.0919818878174,40.0238876342773,27.8940906524658,5.26566696166992,938.403930664062
background,475184.9838,4439976.1748,0.127285361289978,37.6078033447266,27.1369609832764,28.8129100799561,40.6912307739258,42.4441337585449,4.96866130828857,228.938400268555
background,475234.9838,4436976.1748,0.108207330107689,37.3246879577637,27.8568172454834,32.5235214233398,40.5170021057129,2.32524514198303,5.46194982528687,218.46257019043
background,475384.9838,4431076.1748,0.126666903495789,38.4461631774902,19.6805553436279,38.6190032958984,39.847728729248,244.134155273438,5.3984808921814,181.042709350586
background,475384.9838,4436626.1748,0.101310551166534,37.6370849609375,24.9511566162109,36.1711769104004,39.7141723632812,56.818603515625,5.57237720489502,41.8356246948242
background,475484.9838,4439826.1748,0.110472232103348,37.5291938781738,25.4787158966064,27.0210380554199,40.9501152038574,15.6672620773315,4.95338916778564,400.388641357422
background,475584.9838,4440026.1748,0.117632336914539,37.5127372741699,26.3558692932129,26.829460144043,40.9707412719727,128.652526855469,4.9419527053833,560.991882324219
background,475684.9838,4430126.1748,0.111229360103607,39.1701202392578,19.7237091064453,40.393985748291,36.8780899047852,59.9620513916016,5.37526416778564,301.578460693359
background,475784.9838,4431776.1748,0.102849237620831,38.4073638916016,21.497142791748,40.7217597961426,35.6817359924316,104.804756164551,5.36992216110229,229.296768188477
background,475784.9838,4434776.1748,0.0995688512921333,38.3803215026855,21.9696006774902,38.8484230041504,34.9089813232422,237.837692260742,5.32617092132568,61.3183403015137
