X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
474499.178838266,4432955.58603606,train,0.012858537403212895,97.24407915390738,0.8012474250562164
478507.926276113,4430873.63775283,train,0.008894697423946742,86.65339541290065,0.7360535066542476
474628.990813098,4433971.15024905,train,0.004697687822984276,60.06127400707862,0.5956016202176562
477850.394008106,4435255.02371902,train,0.002063051965445832,27.72989541290168,0.3927630742967519
477499.819534493,4433530.09478197,train,0.006861844730147514,78.79641380038404,0.6826717511620229
481387.943667635,4433982.47112763,train,0.0017558008267436864,23.087023744642753,0.3550363384899296
481584.016022811,4433922.88752311,train,0.002208503462661931,30.94368504234237,0.40912499554377996
478664.499375238,4431013.90701039,train,0.008496732602793378,85.42467249857573,0.7270651160482658
477440.34325499,4435066.75039237,train,0.0037175994906434614,48.60269948377974,0.5382201132840806
473805.036298005,4434472.10105186,train,0.012675529606493855,97.02523086566919,0.7989547714797361
479363.99093796,4432988.27759856,train,0.0018387407646688364,24.853438309320236,0.36567466511596974
477624.034953912,4431106.22442181,train,0.005710146408181028,70.27124861060119,0.6416069890281924
478578.955216179,4435857.94086172,train,0.008042374166672656,84.74563140729876,0.7160243011166432
477759.666049652,4430806.00885653,train,0.01306232615747162,97.48777817191868,0.8037396535103675
476801.644926592,4434768.70983185,train,0.0021127910347840968,29.135515112146066,0.3984592475869854
478624.753504868,4431595.33966863,train,0.004809625113458244,61.416021470791904,0.6012605680905164
477317.102137586,4432161.03871947,train,0.006815000734381603,77.252483811237,0.6811859440286011
477389.601427484,4433486.20027707,train,0.006552023553514825,75.47918523393763,0.6725795009155836
477331.268557614,4430851.82827333,train,0.006793212457942025,77.12670059119198,0.680490107928578
483105.818653542,4434799.14261903,train,0.003071423001820107,41.98606717931356,0.49056164081243775
477411.101161117,4431327.73178646,train,0.007117155174936473,80.8598712433139,0.6905323367970493
474662.217253871,4432829.65291504,train,0.043310238098552924,100.0,0.9314059969973468
482944.330773145,4433965.7794145,train,3.0344342422020966E-4,3.236901990559447,0.08687051705371919
477147.274682764,4434525.32007697,train,0.006265779399006991,73.37142759541072,0.6626674610925035
474441.366368383,4433592.86338531,train,0.009933104939068347,88.06211276934914,0.7569397338873433
