Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.58167E-11,0.000000008,0.00000002,1,0,0
9.60346E-10,0.000000104,0.000000249,0.99875,0,0
3.32924E-9,0.000000437,0.000000862,0.9975,0,0
9.58847E-9,0.000001395,0.000002483,0.99625,0,0
4.79176E-8,0.000007204,0.000012407,0.99375,0,0
6.67725E-8,0.000013881,0.000017289,0.9925,0,0
7.7635E-8,0.000029008,0.000020102,0.99,0,0
9.45978E-8,0.000055241,0.000024493,0.98625,0,0
1.22974E-7,0.00011191,0.00003184,0.98,0,0
2.47467E-7,0.000264186,0.000064072,0.97,0,0
3.11449E-7,0.000526549,0.000080636,0.95875,0,0
5.53332E-7,0.00104214,0.000143253,0.945,0,0
1.1205E-6,0.002586726,0.000290046,0.92125,0,0
1.53942E-6,0.005137439,0.000398442,0.8975,0,0
2.3263E-6,0.010022165,0.000601984,0.86625,0,0
6.01712E-6,0.025003154,0.001555583,0.82375,0,0
1.2539E-5,0.050605273,0.0032362,0.78875,0,0
2.32318E-5,0.100526478,0.005979423,0.75375,0,0
4.02622E-5,0.202239615,0.010317468,0.71375,0,0
5.28517E-5,0.302669026,0.013500071,0.6875,0,0
6.40355E-5,0.406325383,0.016310208,0.665,0,0
7.45116E-5,0.500815057,0.018928018,0.6475,0,0
8.926E-5,0.607476009,0.022589871,0.63125,0,0
9.78872E-5,0.701949148,0.024719272,0.61875,0,0
1.04687E-4,0.752585338,0.026391207,0.6125,0,0
1.10558E-4,0.806098054,0.02782987,0.60625,0,0
1.21131E-4,0.910229623,0.030410581,0.595,0,0
1.29288E-4,1.010559614,0.032391919,0.585,0,0
1.35004E-4,1.102960606,0.03377579,0.57625,0,0
1.39755E-4,1.213821087,0.034922919,0.56625,0,0
1.51625E-4,1.315077637,0.03777686,0.5575,0,0
1.5855E-4,1.408439192,0.039434353,0.55,0,0
1.68361E-4,1.506561251,0.041772493,0.5425,0,0
1.88743E-4,1.754996591,0.046593851,0.525,0,0
2.20552E-4,2.004023597,0.054022143,0.51,0,0
