Predictor variable,Categorical,Sample average
BIO03,false,39.08497787475586
BIO06,false,5.273563003540039
BIO15,false,53.4293083190918
aspect,false,201.1116967773438
bkd,false,1.30755301952362
blue2023,false,0.11601215481758112
dndvi,false,-0.006949865513015546
fla,false,3645.9662713623047
nir2021,false,0.23580075740814213
rivers,false,211.85593666076664
roads,false,120.75062343597416
slope,false,4.575085023641586
soc,false,21.321756896972666
texture,false,4.587258472442627
tpi,false,0.09698182184249132
twi,false,8.445420932769773
wo,false,1.0
