species,X,Y,BIO03,green,BIO06,fla,wo,roads,soc,rivers
Phytophthora_PA14_RUN2,474499.178838266,4432955.58603606,39.1920166015625,0.114505395293236,5.40855836868286,1534.50854492188,1,229.750854492188,22.834156036377,276.258941650391
Phytophthora_PA14_RUN2,478371.81527373,4438053.24765695,38.0157470703125,0.0913795009255409,5.15892028808594,436.701477050781,1,57.0641784667969,23.3845844268799,100.149169921875
Phytophthora_PA14_RUN2,478507.926276113,4430873.63775283,40.5365028381348,0.120904065668583,5.17481708526611,614.510986328125,1,159.216125488281,18.5730171203613,72.6750335693359
Phytophthora_PA14_RUN2,477850.394008106,4435255.02371902,38.0189819335938,0.103094428777695,5.16431999206543,1614.73107910156,1,28.6867122650146,24.5648574829102,334.561553955078
Phytophthora_PA14_RUN2,477499.819534493,4433530.09478197,38.2939758300781,0.119949489831924,5.29651689529419,3149.06518554688,1,62.8898963928223,22.7740840911865,323.186492919922
Phytophthora_PA14_RUN2,481387.943667635,4433982.47112763,38.7233390808105,0.110073082149029,5.23601150512695,5420.5380859375,1,122.075004577637,21.2560195922852,127.040954589844
Phytophthora_PA14_RUN2,481584.016022811,4433922.88752311,38.6821594238281,0.104206822812557,5.23101139068604,1727.44104003906,1,17.7489566802979,21.5896778106689,332.591186523438
Phytophthora_PA14_RUN2,477478.774392465,4430367.01775964,41.4257965087891,0.119099110364914,5.10371589660645,3470.66040039062,1,135.313491821289,20.1627216339111,32.485294342041
Phytophthora_PA14_RUN2,478664.499375238,4431013.90701039,40.5647087097168,0.129325270652771,5.1779146194458,2107.43017578125,1,67.7574768066406,19.0576858520508,62.5394020080566
Phytophthora_PA14_RUN2,473805.036298005,4434472.10105186,38.3955535888672,0.122840315103531,5.66442537307739,7170.04931640625,1,97.9049758911133,19.3374900817871,140.911514282227
Phytophthora_PA14_RUN2,479363.99093796,4432988.27759856,39.4853401184082,0.11945166438818,5.26877069473267,2761.359375,1,190.343551635742,21.7267608642578,31.6250476837158
Phytophthora_PA14_RUN2,475751.494564062,4435485.3597763,38.0909957885742,0.0974275395274162,5.52321815490723,1633.77038574219,1,80.1820678710938,22.8868732452393,335.651672363281
Phytophthora_PA14_RUN2,477624.034953912,4431106.22442181,40.3374176025391,0.119907572865486,5.23203325271606,1666.32885742188,1,484.859344482422,17.9920692443848,49.1503524780273
Phytophthora_PA14_RUN2,477759.666049652,4430806.00885653,40.6172981262207,0.120488874614239,5.18880176544189,602.899353027344,1,374.078338623047,18.5017986297607,241.38655090332
Phytophthora_PA14_RUN2,476801.644926592,4434768.70983185,38.1902847290039,0.0991013422608376,5.22919988632202,2132.0390625,1,67.7143707275391,21.6373805999756,222.472351074219
Phytophthora_PA14_RUN2,479679.272962021,4433069.73710096,39.3083038330078,0.115103274583817,5.27065896987915,3017.27319335938,1,153.961898803711,23.3786392211914,123.361717224121
Phytophthora_PA14_RUN2,478624.753504868,4431595.33966863,40.3373374938965,0.11369052529335,5.21041345596313,19094.33203125,1,21.8289909362793,20.05495262146,19.3217334747314
Phytophthora_PA14_RUN2,477317.102137586,4432161.03871947,38.8482513427734,0.142442256212234,5.32648801803589,1219.05529785156,1,93.9924468994141,21.3369445800781,249.783447265625
Phytophthora_PA14_RUN2,477389.601427484,4433486.20027707,38.3489265441895,0.112870417535305,5.30027103424072,2570.08203125,1,60.782283782959,22.2889385223389,212.267959594727
Phytophthora_PA14_RUN2,483105.818653542,4434799.14261903,38.4300651550293,0.115244671702385,5.03531551361084,1134.91455078125,1,25.9007701873779,22.1551914215088,349.1318359375
Phytophthora_PA14_RUN2,477411.101161117,4431327.73178646,40.0172348022461,0.110544241964817,5.26906585693359,251.449508666992,1,261.837493896484,18.0148448944092,153.659271240234
Phytophthora_PA14_RUN2,474595.68047004,4434948.17526879,38.0820693969727,0.108942776918411,5.62024593353271,17527.412109375,1,8.11342525482178,20.5521373748779,326.768127441406
Phytophthora_PA14_RUN2,482944.330773145,4433965.7794145,38.2235145568848,0.0982322618365288,5.13485956192017,2113.72021484375,1,98.6389770507812,23.5200328826904,871.109008789062
Phytophthora_PA14_RUN2,477147.274682764,4434525.32007697,38.2529602050781,0.110092617571354,5.21267318725586,10901.2841796875,1,40.3181343078613,20.9606628417969,67.5466461181641
Phytophthora_PA14_RUN2,474441.366368383,4433592.86338531,38.7710952758789,0.108806073665619,5.43135070800781,6297.17626953125,1,110.538543701172,21.2544384002686,484.954681396484
