background,x,y,green,BIO3,soc,sand,silt,roads,BIO06,rivers
background,473284.9838,4434876.1748,0.0948961079120636,38.5531120300293,20.9065780639648,40.4929504394531,35.5075187683105,455.131652832031,5.64592838287354,47.9988861083984
background,473384.9838,4434876.1748,0.104398541152477,38.4574317932129,20.9704551696777,40.4731903076172,35.4874954223633,357.683349609375,5.65173482894897,52.4182014465332
background,473434.9838,4434926.1748,0.0896170735359192,38.3670539855957,21.5655632019043,40.127010345459,35.6928176879883,327.698974609375,5.65056419372559,74.9965896606445
background,473434.9838,4435076.1748,0.087723083794117,38.5371246337891,22.3911666870117,39.385368347168,36.6096267700195,414.78369140625,5.63186883926392,22.0342559814453
background,473434.9838,4436726.1748,0.105957336723804,38.1318778991699,24.2441349029541,35.2237892150879,41.5614395141602,15.8856134414673,5.63057947158813,164.197219848633
background,473484.9838,4433826.1748,0.103722259402275,38.9629058837891,22.2406158447266,36.9510345458984,34.6363639831543,103.864250183105,5.63158893585205,139.406707763672
background,473534.9838,4434026.1748,0.0989987924695015,38.8006134033203,22.3459224700928,38.9208030700684,34.2347946166992,42.2591819763184,5.64742755889893,106.086692810059
background,473534.9838,4434926.1748,0.103942848742008,38.1694297790527,22.1973762512207,40.0170783996582,35.4682540893555,241.203598022461,5.65699481964111,163.274322509766
background,473534.9838,4435076.1748,0.0829678699374199,38.356861114502,22.9989795684814,39.5394325256348,36.3130645751953,350.482635498047,5.64094877243042,45.8266105651855
background,473534.9838,4435176.1748,0.0909739509224892,38.2871017456055,21.3804912567139,36.3391723632812,33.892894744873,436.971405029297,5.64961051940918,38.8539886474609
background,473584.9838,4434376.1748,0.0946185663342476,38.4969940185547,19.681188583374,40.2349586486816,34.9971504211426,176.337539672852,5.66263914108276,102.964019775391
background,473584.9838,4435976.1748,0.0873957350850105,38.8032760620117,22.457052230835,32.9907722473145,35.5136947631836,54.9114723205566,5.60400152206421,15.918309211731
background,473584.9838,4436476.1748,0.0971316322684288,38.5348701477051,22.8753871917725,35.5210418701172,41.5750503540039,51.8809585571289,5.60421419143677,12.289737701416
background,473634.9838,4436676.1748,0.104100309312344,38.0222320556641,24.8490295410156,35.3705406188965,41.9857902526855,155.405624389648,5.62320423126221,114.300575256348
background,473684.9838,4433826.1748,0.0947640910744667,39.0536117553711,22.4877071380615,37.0707511901855,34.3382759094238,103.641372680664,5.61435508728027,54.1546669006348
background,473684.9838,4435226.1748,0.0900825411081314,38.0840339660645,24.0849704742432,38.9801712036133,36.4116973876953,375.309600830078,5.65185928344727,19.7758255004883
background,473684.9838,4435726.1748,0.0872253701090813,37.9011116027832,24.6364269256592,37.8469505310059,37.3212051391602,46.8119201660156,5.6405200958252,140.972915649414
background,473684.9838,4437626.1748,0.110059000551701,37.352466583252,24.5597267150879,30.8184242248535,43.2875709533691,154.813201904297,5.56234312057495,663.326477050781
background,473784.9838,4433076.1748,0.101040735840797,38.8210144042969,21.6615867614746,40.642951965332,34.0120315551758,37.4833297729492,5.4520788192749,380.119171142578
background,473784.9838,4433976.1748,0.0917116329073906,38.8637886047363,22.5091648101807,38.4596176147461,34.5997505187988,177.323822021484,5.63660287857056,55.9946632385254
background,473784.9838,4434676.1748,0.122946992516518,38.2613906860352,20.1157512664795,40.1753044128418,35.3772392272949,88.3161544799805,5.65845489501953,324.875457763672
background,473784.9838,4434826.1748,0.100712358951569,38.1598243713379,21.2868804931641,39.2705917358398,35.3340301513672,59.9130821228027,5.65152215957642,351.931640625
