x,y,Phytophthora_PA3_allRun logistic values
473334.9838,4433776.1748,0.40476584
473384.9838,4435076.1748,0.3327346
473384.9838,4436976.1748,0.3840506
473434.9838,4433926.1748,0.6461151
473434.9838,4434826.1748,0.5945729
473434.9838,4434876.1748,0.4179935
473484.9838,4435276.1748,0.02744514
473484.9838,4436726.1748,0.64514995
473534.9838,4433426.1748,0.5237178
473534.9838,4433526.1748,0.34911972
473534.9838,4434076.1748,0.7225003
473534.9838,4436726.1748,0.683776
473534.9838,4439176.1748,1.7600742E-4
473584.9838,4434926.1748,0.6759707
473584.9838,4435376.1748,0.08333958
473634.9838,4433526.1748,0.5984208
473634.9838,4433876.1748,0.455048
473634.9838,4435376.1748,0.22704141
473634.9838,4435576.1748,0.19753192
473634.9838,4436476.1748,0.39413822
473634.9838,4439176.1748,0.0012795879
473684.9838,4433626.1748,0.56312263
473684.9838,4437376.1748,0.0844402
473734.9838,4435826.1748,0.26006225
473734.9838,4436676.1748,0.34377936
473734.9838,4439176.1748,0.0014008364
473784.9838,4434276.1748,0.7222349
473784.9838,4434826.1748,0.71414155
473784.9838,4434876.1748,0.7922105
473834.9838,4434276.1748,0.81276494
473834.9838,4435476.1748,0.22548941
473834.9838,4435926.1748,0.20954852
473834.9838,4437726.1748,0.055706672
473884.9838,4433476.1748,0.32091594
473884.9838,4434026.1748,0.5051235
473884.9838,4434426.1748,0.88003206
473884.9838,4435426.1748,0.43388718
473884.9838,4436176.1748,0.36713523
473934.9838,4433626.1748,0.6750448
473934.9838,4436176.1748,0.37904274
473934.9838,4437476.1748,0.11012056
473934.9838,4437676.1748,0.10365904
473984.9838,4436026.1748,0.346285
474034.9838,4437426.1748,0.095312476
474134.9838,4433726.1748,0.49723408
474134.9838,4434126.1748,0.537658
474134.9838,4435076.1748,0.31522986
474134.9838,4437476.1748,0.17097607
474134.9838,4438976.1748,0.010544929
474184.9838,4433426.1748,0.50249517
474184.9838,4434426.1748,0.73795766
474184.9838,4434776.1748,0.5130513
474184.9838,4437776.1748,0.09816181
474184.9838,4440226.1748,0.002336326
474234.9838,4433426.1748,0.64590573
474234.9838,4433476.1748,0.5811851
474234.9838,4440026.1748,0.0035968556
474284.9838,4436976.1748,0.051445413
474284.9838,4439426.1748,0.014238892
474334.9838,4433276.1748,0.3175217
474334.9838,4434476.1748,0.80575293
474384.9838,4432526.1748,0.6371102
474384.9838,4432976.1748,0.20622526
474384.9838,4434876.1748,0.75203794
474384.9838,4435176.1748,0.5891819
474384.9838,4439376.1748,0.019012334
474384.9838,4440226.1748,0.020369321
474434.9838,4432776.1748,0.4099715
474434.9838,4433676.1748,0.40003353
474434.9838,4437076.1748,0.067980185
474484.9838,4432776.1748,0.6089465
474484.9838,4433426.1748,0.58905107
474484.9838,4437426.1748,0.096230656
474484.9838,4437876.1748,0.0017639227
474484.9838,4439126.1748,0.011402578
474484.9838,4439426.1748,0.009024544
474534.9838,4433976.1748,0.6049148
474534.9838,4436026.1748,0.085606255
474534.9838,4437926.1748,0.004081918
474534.9838,4438876.1748,0.0021022456
474584.9838,4435526.1748,0.34027928
474584.9838,4439526.1748,0.0074904505
474584.9838,4439826.1748,0.0030757373
474584.9838,4440226.1748,0.03091143
474634.9838,4435226.1748,0.2257972
474634.9838,4438476.1748,0.005626813
474634.9838,4440876.1748,2.7499688E-4
474684.9838,4433126.1748,0.49266177
474684.9838,4434226.1748,0.49325198
474684.9838,4436726.1748,0.24841961
474684.9838,4437276.1748,0.058392797
474684.9838,4440226.1748,0.02570134
474684.9838,4440776.1748,0.0016107628
474734.9838,4436226.1748,0.18811907
474784.9838,4432226.1748,0.20092036
474784.9838,4432626.1748,0.7725212
474784.9838,4434976.1748,0.5431624
474784.9838,4436826.1748,0.31931487
474784.9838,4436976.1748,0.2788885
474784.9838,4437726.1748,0.0073326323
474784.9838,4437976.1748,0.015440336
474784.9838,4440076.1748,0.027423736
474784.9838,4440276.1748,0.028638657
474784.9838,4440526.1748,0.0022486066
474784.9838,4440926.1748,8.025151E-4
474884.9838,4432776.1748,0.66788477
474884.9838,4439276.1748,0.003207861
474934.9838,4438176.1748,0.006532181
474934.9838,4439426.1748,0.00524592
474984.9838,4435676.1748,0.342538
474984.9838,4436476.1748,0.29274195
474984.9838,4436776.1748,0.14640827
474984.9838,4438376.1748,0.013975214
474984.9838,4440776.1748,9.75164E-4
474984.9838,4441326.1748,1.3587266E-4
475034.9838,4431726.1748,0.7726544
