x,y,Phytophthora_PA2_RUN4 logistic values
473284.9838,4433476.1748,0.5734953
473284.9838,4434026.1748,0.21562898
473334.9838,4434176.1748,0.33554786
473434.9838,4436626.1748,0.35636953
473584.9838,4435076.1748,0.24457234
473584.9838,4435476.1748,0.17461288
473584.9838,4435876.1748,0.16181323
473634.9838,4435976.1748,0.10398176
473684.9838,4434626.1748,0.8727389
473734.9838,4433626.1748,0.44229564
473734.9838,4435226.1748,0.20138928
473734.9838,4435576.1748,0.13927093
473734.9838,4439526.1748,0.006553996
473784.9838,4433576.1748,0.41266346
473784.9838,4437326.1748,0.20776832
473834.9838,4436176.1748,0.35670316
473884.9838,4435176.1748,0.20130767
473884.9838,4439376.1748,0.00419252
473884.9838,4439576.1748,0.007019454
473934.9838,4432826.1748,0.27473772
473934.9838,4433326.1748,0.36122727
473934.9838,4439076.1748,0.032827802
474034.9838,4432876.1748,0.37595704
474034.9838,4434976.1748,0.5947946
474034.9838,4435626.1748,0.30521262
474034.9838,4435776.1748,0.22017425
474034.9838,4436926.1748,0.29996678
474034.9838,4439076.1748,0.026064541
474134.9838,4434626.1748,0.7449058
474184.9838,4435776.1748,0.36349687
474184.9838,4436776.1748,0.2829249
474234.9838,4434026.1748,0.16552769
474234.9838,4434076.1748,0.17163506
474234.9838,4434226.1748,0.5821605
474234.9838,4439126.1748,0.041994687
474234.9838,4440226.1748,0.0021292674
474284.9838,4439426.1748,0.07877701
474334.9838,4432426.1748,0.43779486
474334.9838,4433726.1748,0.40782696
474334.9838,4435426.1748,0.16442367
474384.9838,4435626.1748,0.18965146
474384.9838,4439276.1748,0.07844191
474434.9838,4433776.1748,0.40155798
474434.9838,4437426.1748,0.27942473
474434.9838,4438676.1748,0.015287811
474434.9838,4439226.1748,0.071861655
474434.9838,4440326.1748,0.019394618
474484.9838,4437126.1748,0.09122059
474484.9838,4439976.1748,0.04500688
474534.9838,4432626.1748,0.1796837
474634.9838,4433576.1748,0.6440929
474634.9838,4434026.1748,0.68706995
474634.9838,4435076.1748,0.5118386
474634.9838,4436926.1748,0.2940295
