roads,rivers,aspect,elevation,fla,slope,tpi,twi,clay,nitrogen,soc,pH,sand,silt,bkd,BIO01,BIO02,BIO05,BIO06,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,BIO3,BIO4,BIO7,green,ndvi,ndwi,gndvi,last
7.501613140106201,293.8075866699219,94.1419677734375,239.41404724121094,2368.679931640625,0.8614929914474487,-0.017660215497016907,9.151602745056152,24.60074234008789,19.573705673217773,24.33868980407715,0.6541944980621338,39.84706115722656,35.59172439575195,1.293382167816162,16.179157257080078,10.116867065429688,31.760772705078125,5.165276050567627,14.48581600189209,25.090421676635742,25.090421676635742,9.264028549194336,695.4765625,109.42311096191406,7.1976423263549805,53.346187591552734,303.4294128417969,25.08670997619629,25.08670997619629,217.62411499023438,38.03812026977539,576.093505859375,26.594209671020508,0.1172386184334755,0.2817271649837494,-0.33176958560943604,-0.33176958560943604,1
28.68671226501465,334.5615539550781,131.60414123535156,240.20018005371094,1614.7310791015625,1.3332276344299316,0.006114593707025051,8.551145553588867,24.571338653564453,19.594587326049805,24.564857482910156,0.6539530277252197,39.79462814331055,35.67691421508789,1.2905935049057007,16.174959182739258,10.108534812927246,31.751232147216797,5.164316654205322,14.482024192810059,25.08633041381836,25.08633041381836,9.259591102600098,696.3206787109375,109.54361724853516,7.20668888092041,53.35177993774414,303.73065185546875,25.114356994628906,25.114356994628906,217.96612548828125,38.01896286010742,576.079833984375,26.585630416870117,0.1030944287776947,0.35733601450920105,-0.3640298545360565,-0.3640298545360565,1
116.10160064697266,253.00299072265625,194.02781677246094,245.30828857421875,811.67724609375,0.9325817227363586,0.09378867596387863,8.270407676696777,25.406749725341797,17.96526336669922,23.332107543945313,0.6699999809265137,36.119529724121094,38.47372055053711,1.2719529867172241,16.161869049072266,9.893736839294434,31.482410430908203,5.495528221130371,14.498108863830566,24.947986602783203,24.947986602783203,9.343083381652832,710.3050537109375,112.2391586303711,7.295228481292725,53.6374397277832,310.1453552246094,25.699695587158203,25.699695587158203,223.90501403808594,38.072444915771484,571.14923095703125,25.985658645629883,0.09952498227357864,0.42705854773521423,-0.4216272234916687,-0.4216272234916687,1
97.90497589111328,140.91151428222656,220.90127563476563,167.10780334472656,7170.04931640625,3.284165620803833,0.13115181028842926,9.05363941192627,24.348167419433594,19.492238998413086,19.33749008178711,0.6680654048919678,40.298255920410156,35.32767868041992,1.30089271068573,16.45204734802246,10.014765739440918,31.756099700927734,5.664425373077393,14.84080696105957,25.082563400268555,25.082563400268555,9.70700454711914,675.1734619140625,108.70053100585938,6.617007732391357,54.16081619262695,299.8471984863281,22.884849548339844,22.884849548339844,210.8628387451172,38.39554977416992,560.15399169921875,26.09547233581543,0.12284031510353088,0.2795105576515198,-0.33678948879241943,-0.33678948879241943,1
74.2372055053711,324.8117370605469,219.59628295898438,179.30885314941406,6988.5849609375,2.9348082542419434,-0.2451189011335373,9.173948287963867,24.5396671295166,18.659502029418945,19.168127059936523,0.6715558528900146,39.90536117553711,35.475440979003906,1.3137766122817993,16.41220474243164,9.9619598388671875,31.708524703979492,5.644961357116699,14.792227745056152,25.054153442382813,25.054153442382813,9.6591339111328125,682.1827392578125,109.62493133544922,6.715080738067627,54.130760192871094,302.3009033203125,23.283939361572266,23.283939361572266,213.18948364257813,38.23430633544922,560.2626953125,26.06671714782715,0.12064158171415329,0.27216827869415283,-0.33434876799583435,-0.33434876799583435,1
58.489585876464844,373.7533264160156,220.7670440673828,181.61856079101563,5580.5810546875,3.5313801765441895,-0.20256896317005157,8.753315925598145,24.93808937072754,18.631166458129883,19.582555770874023,0.6730759620666504,39.550933837890625,35.45145034790039,1.3076961040496826,16.39984893798828,9.938819885253906,31.688106536865234,5.644913196563721,14.778916358947754,25.04545783996582,25.04545783996582,9.645756721496582,684.17498779296875,109.8636703491211,6.744322299957275,54.119869232177734,302.9447021484375,23.398527145385742,23.398527145385742,213.97537231445313,38.17958068847656,560.361083984375,26.048526763916016,0.11197103559970856,0.33545422554016113,-0.36411672830581665,-0.36411672830581665,1
25.90077018737793,349.1318359375,320.7393493652344,251.01144409179688,1134.91455078125,0.6934805512428284,0.16398903727531433,8.800789833068848,27.0206241607666,17.419918060302734,22.15519142150879,0.6690320491790771,38.071006774902344,34.90836715698242,1.2912262678146362,16.075536727905273,10.343994140625,31.950708389282227,5.035315990447998,14.342068672180176,25.09545135498047,25.09545135498047,9.159727096557617,687.6922607421875,105.74412536621094,7.375208377838135,52.36002731323242,296.2955627441406,26.18927001953125,26.18927001953125,214.55242919921875,38.43006134033203,581.94921875,26.91470718383789,0.11524467170238495,0.21412068605422974,-0.3003530502319336,-0.3003530502319336,1
75.35528564453125,20.947364807128906,87.963958740234375,81.069549560546875,896.826904296875,4.0739288330078125,-0.9181927442550659,12.79953670501709,23.447830200195313,15.419954299926758,19.53398895263672,0.6833340644836425,38.545745849609375,38.00642395019531,1.305833339691162,16.57452964782715,11.085477828979492,32.53812026977539,5.188272953033447,14.951803207397461,25.28342056274414,25.28342056274414,9.724885940551758,605.00146484375,97.182037353515625,5.875255584716797,53.367801666259766,270.9636535644531,20.26320457458496,20.26320457458496,195.51443481445313,40.5222053527832,568.9049072265625,27.34617042541504,0.11376555263996124,0.350026398897171,-0.38537126779556274,-0.38537126779556274,1
124.00611114501953,70.46142578125,75.88509368896484,86.72662353515625,646.6546630859375,7.282815456390381,0.512329638004303,10.02550983428955,23.599266052246094,15.394763946533203,19.48067283630371,0.68452467918396,38.777183532714844,37.62355041503906,1.304261565208435,16.569101333618164,11.041754722595215,32.51036834716797,5.202010631561279,14.945611000061035,25.280447006225586,25.280447006225586,9.720253944396973,607.8489990234375,97.52995300292969,5.917174816131592,53.349945068359375,271.8833923339844,20.42098045349121,20.42098045349121,196.77589416503906,40.40758514404297,569.0579833984375,27.298999786376953,0.12797965109348297,0.2007308453321457,-0.29334357380867004,-0.29334357380867004,0
91.35943603515625,41.775665283203125,103.836669921875,81.57710266113281,1265.2044677734375,6.669445991516113,-0.6546735167503357,9.651209831237793,23.355037689208984,15.482833862304688,19.550806045532227,0.6844542026519775,38.712955474853516,37.9320068359375,1.2924729585647583,16.574016571044922,11.088605880737305,32.540977478027344,5.186207294464111,14.952216148376465,25.283655166625977,25.283655166625977,9.7247772216796875,604.655517578125,97.12037658691406,5.87040376663208,53.362525939941406,270.8005065917969,20.249479293823242,20.249479293823242,195.3649444580078,40.52629470825195,568.83416748046875,27.350746154785156,0.1155104786157608,0.2789934277534485,-0.3342493176460266,-0.3342493176460266,1
