x,y,Phytophthora_PA2_RUN2 logistic values
473284.9838,4434026.1748,0.20659427
473334.9838,4434176.1748,0.29837528
473384.9838,4435026.1748,0.12637095
473434.9838,4433526.1748,0.8179882
473434.9838,4436626.1748,0.42686564
473584.9838,4435076.1748,0.23510405
473584.9838,4435476.1748,0.1771883
473584.9838,4435876.1748,0.2088616
473634.9838,4434576.1748,0.75511074
473634.9838,4435976.1748,0.15128167
473684.9838,4434326.1748,0.6954929
473684.9838,4434626.1748,0.83290076
473684.9838,4435026.1748,0.58633655
473734.9838,4433626.1748,0.40317813
473734.9838,4435576.1748,0.1851943
473734.9838,4439326.1748,0.009643915
473734.9838,4439526.1748,0.004617285
473784.9838,4433576.1748,0.39990947
473784.9838,4434626.1748,0.646214
473784.9838,4437326.1748,0.23788129
473834.9838,4436176.1748,0.37799725
473884.9838,4435176.1748,0.21080217
473884.9838,4439376.1748,0.0042348993
473884.9838,4439476.1748,0.0073237033
473934.9838,4433326.1748,0.36131117
473934.9838,4439076.1748,0.030866683
474034.9838,4432876.1748,0.28304487
474034.9838,4434976.1748,0.58609945
474034.9838,4435626.1748,0.39504826
474034.9838,4435726.1748,0.3403755
474034.9838,4439076.1748,0.025201324
474084.9838,4437676.1748,0.04975324
474134.9838,4434626.1748,0.6641867
474134.9838,4437326.1748,0.06649897
474184.9838,4434026.1748,0.1827445
474184.9838,4435776.1748,0.4084372
474184.9838,4436776.1748,0.36547983
474234.9838,4433726.1748,0.490185
474234.9838,4434026.1748,0.18285245
474234.9838,4434076.1748,0.19652157
474234.9838,4434226.1748,0.5648469
474234.9838,4435426.1748,0.30378658
474234.9838,4439676.1748,0.00880235
474234.9838,4439776.1748,0.019772138
474234.9838,4440226.1748,0.005518892
474284.9838,4434226.1748,0.4319235
474284.9838,4439426.1748,0.06412079
474334.9838,4432426.1748,0.49988583
474334.9838,4433726.1748,0.4372499
474334.9838,4435426.1748,0.19422016
474384.9838,4435626.1748,0.23112583
474434.9838,4433776.1748,0.41723967
474434.9838,4437426.1748,0.33132327
474434.9838,4438676.1748,0.006141569
474434.9838,4440326.1748,0.03173082
474484.9838,4437126.1748,0.122998655
474484.9838,4439976.1748,0.061722636
474534.9838,4437726.1748,0.011971545
474634.9838,4433576.1748,0.6157655
474634.9838,4434026.1748,0.7071154
474634.9838,4435076.1748,0.50851786
474634.9838,4436926.1748,0.3092249
474634.9838,4437876.1748,0.015398473
474634.9838,4438726.1748,0.020784846
474634.9838,4438926.1748,0.0022481428
474634.9838,4440226.1748,0.11489985
474684.9838,4435126.1748,0.46527076
474684.9838,4439576.1748,0.0565272
474734.9838,4433526.1748,0.15812136
474734.9838,4434376.1748,0.6518063
474784.9838,4436026.1748,0.12695023
474834.9838,4436126.1748,0.15266992
474834.9838,4438226.1748,0.018972335
474834.9838,4438976.1748,0.002126937
474834.9838,4440676.1748,0.024193645
474834.9838,4440976.1748,0.017798841
474884.9838,4437126.1748,0.2681243
474884.9838,4438276.1748,0.01848978
474934.9838,4435976.1748,0.12652893
474934.9838,4436326.1748,0.5594045
474934.9838,4441126.1748,0.022577478
474984.9838,4435926.1748,0.14973342
474984.9838,4437226.1748,0.06106417
474984.9838,4440176.1748,0.12132791
475034.9838,4432276.1748,0.11142263
475034.9838,4438076.1748,0.03092793
475034.9838,4440976.1748,0.0060859006
475084.9838,4434976.1748,0.39140144
475084.9838,4436426.1748,0.26246712
475084.9838,4438226.1748,0.003322426
475084.9838,4438626.1748,0.0038273917
475084.9838,4440276.1748,0.084126286
475084.9838,4441126.1748,0.0037676715
475134.9838,4434976.1748,0.50437534
475134.9838,4439176.1748,0.0236298
475134.9838,4439626.1748,0.058724456
475134.9838,4440026.1748,0.14569643
475134.9838,4440526.1748,0.0065229796
475134.9838,4440926.1748,0.0055073933
475184.9838,4435226.1748,0.46815613
475234.9838,4434776.1748,0.47373295
475234.9838,4434876.1748,0.6965751
475234.9838,4435276.1748,0.4121079
475234.9838,4436226.1748,0.060844924
475234.9838,4437876.1748,0.08326737
475234.9838,4438526.1748,0.014374604
475284.9838,4436126.1748,0.11639375
475284.9838,4438426.1748,0.0073167305
475284.9838,4438626.1748,0.0051989905
475284.9838,4442026.1748,0.004008311
475334.9838,4431276.1748,0.5170831
475334.9838,4433576.1748,0.34202898
475334.9838,4435826.1748,0.095275976
475334.9838,4438826.1748,0.010437724
475334.9838,4440426.1748,0.021371363
475334.9838,4441876.1748,0.0030318887
475384.9838,4431826.1748,0.60517913
475384.9838,4432226.1748,0.2944261
475384.9838,4432776.1748,0.1930138
475384.9838,4433426.1748,0.27017036
475384.9838,4433926.1748,0.20911537
475384.9838,4438376.1748,0.0116663985
475384.9838,4441826.1748,0.005949993
475434.9838,4430726.1748,0.64769053
475434.9838,4435576.1748,0.2005867
475434.9838,4437526.1748,0.015844695
475484.9838,4432376.1748,0.36533946
475484.9838,4433476.1748,0.3142495
475484.9838,4433626.1748,0.15551767
475484.9838,4434376.1748,0.59171486
475484.9838,4439576.1748,0.071082875
475484.9838,4440376.1748,0.10135091
475534.9838,4432876.1748,0.35586253
475534.9838,4440726.1748,0.006531939
475534.9838,4440776.1748,0.0043718508
475534.9838,4441926.1748,0.002655064
475584.9838,4431226.1748,0.5994449
475584.9838,4437026.1748,0.22858927
475584.9838,4440376.1748,0.089813836
475634.9838,4430276.1748,0.6447853
475634.9838,4434376.1748,0.6995495
475634.9838,4435776.1748,0.20165837
475684.9838,4430476.1748,0.52400595
475684.9838,4431726.1748,0.6156316
475684.9838,4432276.1748,0.09141609
475684.9838,4432426.1748,0.13416071
475684.9838,4433026.1748,0.24701485
475684.9838,4433426.1748,0.67229813
475684.9838,4436776.1748,0.26058072
475684.9838,4437026.1748,0.082151376
475684.9838,4438976.1748,5.623106E-4
475684.9838,4440126.1748,0.058654588
475734.9838,4432326.1748,0.08812212
475784.9838,4431776.1748,0.32736877
475784.9838,4432276.1748,0.08290776
475784.9838,4432376.1748,0.11275838
475784.9838,4435576.1748,0.36472613
475784.9838,4439776.1748,0.02898003
475784.9838,4442226.1748,0.0011380332
475834.9838,4430676.1748,0.51794577
475834.9838,4432926.1748,0.32753757
475884.9838,4434426.1748,0.14665245
475884.9838,4435276.1748,0.17934962
475884.9838,4438126.1748,0.06629297
475884.9838,4439676.1748,0.0033686103
475934.9838,4432926.1748,0.27059337
475934.9838,4433276.1748,0.26545885
475934.9838,4433326.1748,0.31340712
475934.9838,4435876.1748,0.1704856
475934.9838,4437176.1748,0.010770164
475934.9838,4438026.1748,0.01784775
475934.9838,4440476.1748,0.0025598332
475934.9838,4441176.1748,2.3916346E-4
475984.9838,4437126.1748,0.013907247
475984.9838,4437626.1748,0.011176969
475984.9838,4438276.1748,0.00675259
475984.9838,4440226.1748,0.03620756
475984.9838,4440376.1748,0.014099971
476034.9838,4430826.1748,0.5094945
476034.9838,4432676.1748,0.21160947
476034.9838,4432976.1748,0.14269443
476034.9838,4433976.1748,0.4085739
476034.9838,4438476.1748,0.011246703
476084.9838,4430226.1748,0.7387955
476084.9838,4436776.1748,0.10291359
476084.9838,4437876.1748,0.06847663
476134.9838,4432426.1748,0.6078994
476134.9838,4434276.1748,0.34197137
476134.9838,4435776.1748,0.3119651
476134.9838,4436426.1748,0.06499183
476134.9838,4440626.1748,0.002931207
476134.9838,4440876.1748,0.0027738204
476134.9838,4441226.1748,5.871915E-4
476134.9838,4441626.1748,0.0031298809
476134.9838,4441926.1748,4.3570643E-4
476184.9838,4429876.1748,0.41187942
476184.9838,4431126.1748,0.2332633
476184.9838,4432326.1748,0.31308073
