background,x,y,BIO03,green,BIO06,wo,roads,soc,rivers
background,473434.9838,4434376.1748,38.9797515869141,0.0908597782254219,5.62179899215698,1,326.304748535156,20.6947040557861,29.2968406677246
background,473484.9838,4433676.1748,39.0827789306641,0.110089495778084,5.61831331253052,1,4.98400259017944,22.0581817626953,82.2673645019531
background,473484.9838,4436526.1748,38.4188995361328,0.0939328372478485,5.61517906188965,1,158.10578918457,23.0371589660645,23.4598560333252
background,473534.9838,4433726.1748,39.0888977050781,0.10525070130825,5.61541604995728,1,24.6825084686279,22.2261486053467,62.2703323364258
background,473534.9838,4434276.1748,38.6360244750977,0.0996993407607079,5.6576361656189,1,249.448608398438,20.9465351104736,103.911010742188
background,473534.9838,4434426.1748,38.6878128051758,0.0872562080621719,5.65009832382202,1,230.694641113281,20.3133964538574,62.2975769042969
background,473684.9838,4436976.1748,37.7103424072266,0.107057474553585,5.59140634536743,1,47.8909606933594,23.2920265197754,283.384002685547
background,473684.9838,4437426.1748,37.466625213623,0.103622622787952,5.56885814666748,1,171.94189453125,22.4298858642578,555.586975097656
background,473734.9838,4434876.1748,38.0358200073242,0.104695647954941,5.65290594100952,1,90.6163787841797,21.9449443817139,321.479125976562
background,473734.9838,4437676.1748,37.316047668457,0.108176328241825,5.57895994186401,1,125.019905090332,20.4039840698242,656.128967285156
background,473784.9838,4433026.1748,38.8804206848145,0.102977871894836,5.45135354995728,1,10.9490900039673,21.5203552246094,414.485137939453
background,473784.9838,4433776.1748,38.8890190124512,0.0944264754652977,5.62883043289185,1,163.446014404297,22.7883186340332,131.659545898438
background,473784.9838,4434626.1748,38.2700309753418,0.102728553116322,5.66145515441895,1,132.655776977539,19.7253742218018,278.249267578125
background,473784.9838,4439226.1748,37.2640228271484,0.0941275283694267,5.32628917694092,1,649.709655761719,27.2089729309082,118.783218383789
background,473834.9838,4436276.1748,38.1453437805176,0.0883745029568672,5.61554765701294,1,202.620193481445,24.0798091888428,131.433258056641
background,473884.9838,4436026.1748,38.3967018127441,0.0843822732567787,5.61974668502808,1,131.156387329102,25.0581836700439,42.0753631591797
background,473934.9838,4433426.1748,38.3743591308594,0.0914578810334206,5.45257663726807,1,60.8952560424805,21.6190223693848,401.404754638672
background,473934.9838,4434676.1748,38.234260559082,0.120641581714153,5.64496374130249,1,74.2372055053711,19.1681270599365,324.811737060547
background,473934.9838,4435926.1748,38.1691589355469,0.0887091234326363,5.62475538253784,1,154.047149658203,25.93577003479,116.426910400391
background,473934.9838,4436376.1748,37.9569091796875,0.101132608950138,5.60776472091675,1,88.3571014404297,24.1022415161133,234.936508178711
background,473934.9838,4436476.1748,37.9087562561035,0.0910762101411819,5.60895013809204,1,119.781433105469,23.9502925872803,247.373886108398
background,473934.9838,4436976.1748,37.7597846984863,0.111074082553387,5.57908391952515,1,89.0783462524414,23.2331676483154,94.1453628540039
background,473934.9838,4437426.1748,37.3313407897949,0.117123283445835,5.54632759094238,1,29.8225059509277,25.3702335357666,343.232177734375
background,473934.9838,4439526.1748,37.3744163513184,0.0919107794761658,5.25120544433594,1,716.913879394531,13.588981628418,115.902389526367
background,474034.9838,4437776.1748,37.3885536193848,0.0987356975674629,5.73997020721436,1,259.915344238281,19.1744289398193,523.001892089844
background,474034.9838,4439576.1748,37.3407287597656,0.099836066365242,5.2268238067627,1,657.537414550781,18.1211166381836,192.040863037109
background,474084.9838,4432876.1748,38.5254364013672,0.0977110490202904,5.44396591186523,1,249.250076293945,22.6611194610596,534.186401367188
background,474084.9838,4433576.1748,38.3844566345215,0.101757444441319,5.48146486282349,1,19.3259029388428,22.0229549407959,399.769226074219
background,474084.9838,4435376.1748,37.8361282348633,0.102517031133175,5.63733005523682,1,47.1961250305176,26.7835597991943,150.266799926758
background,474084.9838,4435976.1748,38.2098922729492,0.0960837304592133,5.61745119094849,1,61.6038017272949,25.2287540435791,111.733695983887
background,474134.9838,4434826.1748,37.9880981445312,0.102300755679607,5.63794946670532,1,278.530242919922,19.5353260040283,506.348358154297
background,474134.9838,4436276.1748,38.2157936096191,0.0946142822504044,5.59334897994995,1,33.3311767578125,23.2530422210693,132.972457885742
background,474134.9838,4438826.1748,37.0442657470703,0.118395403027534,5.34396076202393,1,274.570770263672,28.3918552398682,602.304931640625
background,474134.9838,4439926.1748,37.4950141906738,0.0904039070010185,5.15967798233032,1,322.025360107422,24.3716373443604,25.0683116912842
background,474184.9838,4433326.1748,38.233039855957,0.0977089181542397,5.44096374511719,1,99.9220123291016,21.2634773254395,596.094909667969
background,474184.9838,4434176.1748,38.435359954834,0.0971828624606133,5.64621829986572,1,247.261108398438,20.6780662536621,89.8722991943359
background,474184.9838,4436176.1748,38.3889045715332,0.13554659485817,5.5847315788269,1,56.7918167114258,22.7306003570557,31.1242218017578
background,474184.9838,4436926.1748,37.6242713928223,0.100010678172112,5.56555557250977,1,120.088157653809,23.9993305206299,133.295425415039
background,474184.9838,4439276.1748,37.2041625976562,0.14418338239193,5.24286890029907,1,372.081451416016,27.5977821350098,468.885803222656
background,474184.9838,4439326.1748,37.2238655090332,0.126611322164536,5.23656558990479,1,407.384490966797,27.5321788787842,429.223022460938
background,474234.9838,4433226.1748,38.2873840332031,0.097465418279171,5.43823289871216,1,65.9248046875,21.8449821472168,517.547607421875
background,474234.9838,4433576.1748,38.3670959472656,0.0884026363492012,5.44169282913208,1,72.7942810058594,21.4569702148438,479.656097412109
background,474284.9838,4437626.1748,37.281623840332,0.123090423643589,5.72766590118408,1,136.826446533203,26.465181350708,295.605285644531
background,474284.9838,4437676.1748,37.2811317443848,0.115594074130058,5.72201347351074,1,122.755889892578,22.7750968933105,345.444580078125
background,474284.9838,4439676.1748,37.3569717407227,0.0982754826545715,5.17315864562988,1,484.057830810547,26.6478118896484,65.414436340332
background,474334.9838,4434876.1748,38.0224533081055,0.110997155308723,5.63063955307007,1,179.336380004883,19.7873096466064,374.793090820312
background,474334.9838,4435226.1748,37.8105926513672,0.128661051392555,5.62511205673218,1,3.48550891876221,24.9258689880371,434.486541748047
background,474384.9838,4432926.1748,38.5161552429199,0.0904122292995453,5.43186473846436,1,227.983337402344,24.3955173492432,383.692474365234
background,474384.9838,4433376.1748,38.6910438537598,0.101466104388237,5.4335732460022,1,165.06462097168,21.5208396911621,427.440307617188
background,474434.9838,4433526.1748,38.8310470581055,0.113415814936161,5.42958831787109,1,111.11937713623,21.3512516021729,453.818206787109
background,474434.9838,4434126.1748,38.5747299194336,0.0879237875342369,5.63660192489624,1,193.911590576172,21.5526256561279,95.8733825683594
background,474434.9838,4436276.1748,38.1943054199219,0.0845243111252785,5.58145093917847,1,199.423889160156,23.1935615539551,174.22053527832
background,474434.9838,4436676.1748,37.7643585205078,0.0926782786846161,5.55298614501953,1,144.807632446289,23.2045364379883,483.650054931641
background,474434.9838,4439526.1748,37.3724594116211,0.100625783205032,5.16737031936646,1,300.316558837891,27.454740524292,160.755279541016
background,474484.9838,4432776.1748,39.2803840637207,0.10865081101656,5.40528059005737,1,47.821117401123,22.3907833099365,217.688186645508
background,474484.9838,4433376.1748,39.1703987121582,0.115110814571381,5.41412925720215,1,222.396240234375,21.7625331878662,334.031402587891
background,474484.9838,4437476.1748,37.2796363830566,0.106934376060963,5.72939777374268,1,85.1623840332031,28.2413539886475,226.481796264648
