background,x,y,roads,rivers,aspect,fla,slope,tpi,twi,soc,texture,bkd,BIO03,BIO06,BIO15,green,wo
background,473384.9838,4434026.1748,139.007186889648,141.54296875,208.702285766602,1516.00842285156,3.25671076774597,1.23700141906738,8.15879249572754,22.0193843841553,4,1.28331208229065,38.793815612793,5.6528172492981,54.1305618286133,0.0917336940765381,1
background,473434.9838,4433876.1748,138.96501159668,180.691375732422,192.727478027344,1766.64599609375,2.74354815483093,0.132990285754204,8.03702926635742,22.2986640930176,4,1.28754234313965,38.9104385375977,5.63911437988281,54.1553764343262,0.104577139019966,1
background,473434.9838,4434426.1748,329.352783203125,25.293041229248,114.813690185547,2237.23657226562,9.91245555877686,0.554814517498016,5.95637178421021,20.8050746917725,4,1.28098225593567,38.9748191833496,5.62294340133667,54.2217025756836,0.0900797322392464,1
background,473434.9838,4436626.1748,77.301628112793,64.5272674560547,215.941268920898,1532.67431640625,18.3566665649414,-2.17455315589905,5.69331932067871,23.6152782440186,6.28357696533203,1.32993984222412,38.2863693237305,5.62490606307983,54.2673568725586,0.0966638326644897,1
background,473484.9838,4433376.1748,144.406723022461,17.6252040863037,205.208724975586,840.002990722656,1.97995674610138,-1.96204388141632,13.0859880447388,21.410717010498,5.31360340118408,1.25124263763428,39.4944648742676,5.55914115905762,54.4157562255859,0.100884310901165,1
background,473534.9838,4434276.1748,249.448608398438,103.911010742188,274.276275634766,1215.5107421875,3.56447744369507,1.73712396621704,8.01867198944092,20.9465351104736,4,1.27494060993195,38.6360244750977,5.6576361656189,54.0912322998047,0.0996993407607079,1
background,473534.9838,4437026.1748,101.7158203125,413.121795654297,244.251663208008,2458.865234375,10.3884391784668,-0.337599068880081,7.27842235565186,18.1557483673096,5.47588396072388,1.04010093212128,37.9302444458008,5.59854793548584,54.1549491882324,0.0923460349440575,1
background,473584.9838,4437476.1748,283.706939697266,667.105224609375,252.638290405273,1954.953125,7.77924489974976,-1.29305243492126,7.04724168777466,22.1903381347656,7,1.36000001430511,37.6144714355469,5.57510757446289,54.0670890808105,0.0949956774711609,1
background,473634.9838,4437526.1748,218.612701416016,649.507568359375,244.11474609375,2428.99877929688,6.07017421722412,0.394738227128983,7.5564112663269,22.7849750518799,7,1.35911774635315,37.4866523742676,5.56745433807373,54.0260353088379,0.0996601805090904,1
background,473684.9838,4439026.1748,694.804992675781,152.010772705078,268.409301757812,328.396026611328,8.6805248260498,3.22014617919922,5.00019550323486,27.6696243286133,4,1.30414807796478,37.3367195129395,5.35574579238892,53.9998474121094,0.102272629737854,1
background,473734.9838,4436476.1748,130.93537902832,75.7109985351562,254.602005004883,2900.55126953125,18.2445659637451,-0.639961063861847,6.72460031509399,23.542947769165,5.00022125244141,1.33120346069336,38.3822555541992,5.60571718215942,54.2503318786621,0.0875616297125816,1
background,473784.9838,4434576.1748,172.301147460938,230.724502563477,220.723587036133,6571.07861328125,2.7062931060791,-0.0126733845099807,9.18594074249268,19.5919570922852,4,1.30889272689819,38.2816505432129,5.66541481018066,54.0697593688965,0.102734439074993,1
background,473834.9838,4439526.1748,785.460144042969,51.9619789123535,300.839599609375,2037.86694335938,24.6672515869141,-2.90208148956299,5.86861610412598,9.85257720947266,1.58120322227478,0.517211318016052,37.4747505187988,5.26119232177734,53.9798431396484,0.0825719758868217,1
background,473884.9838,4432976.1748,25.7141914367676,521.255615234375,240.730743408203,4396.6279296875,8.28434562683105,0.761823654174805,7.69275951385498,21.5893611907959,5.71458196640015,1.27730739116669,38.6608352661133,5.45164346694946,54.0426750183105,0.113961927592754,1
background,473934.9838,4435126.1748,134.664657592773,146.929534912109,297.104675292969,5647.59033203125,3.5804078578949,0.0467075183987617,8.79086494445801,27.3849639892578,6.27286195755005,1.28238809108734,37.9366569519043,5.64715623855591,53.9166450500488,0.0971504971385002,1
background,473934.9838,4435176.1748,122.795104980469,110.660804748535,287.946990966797,3509.697265625,6.209547996521,-0.114299193024635,7.74964332580566,27.2521457672119,5.96078395843506,1.28190815448761,37.9381217956543,5.64720916748047,53.923713684082,0.0919230878353119,1
background,473984.9838,4432976.1748,123.765022277832,599.424377441406,243.01237487793,3069.77587890625,5.19471216201782,-0.031248927116394,7.80826234817505,22.0084743499756,5.00022125244141,1.27178263664246,38.4877128601074,5.44866132736206,53.9778480529785,0.0989266782999039,1
background,473984.9838,4433226.1748,20.4624767303467,491.491180419922,262.8173828125,915.83740234375,1.98351418972015,0.535170078277588,7.82864236831665,21.8348636627197,4.53412437438965,1.27022671699524,38.2332572937012,5.44782638549805,53.9468116760254,0.0953886359930038,1
background,473984.9838,4434776.1748,121.101112365723,434.178283691406,216.356414794922,4950.4951171875,4.47132778167725,-0.077538438141346,8.39974784851074,19.8509178161621,5.31980562210083,1.30645322799683,38.0994682312012,5.64310836791992,54.0909385681152,0.128663808107376,1
background,473984.9838,4439076.1748,409.081909179688,348.986175537109,259.139434814453,484.122955322266,2.06236243247986,0.227888405323029,7.05038166046143,28.4161987304688,5.31980562210083,1.3319730758667,37.0698089599609,5.3147668838501,53.884105682373,0.123595364391804,1
background,474084.9838,4433576.1748,19.3259029388428,399.769226074219,312.630889892578,1206.38232421875,3.33400917053223,0.27181151509285,7.30379962921143,22.0229549407959,4.49212026596069,1.28132772445679,38.3844566345215,5.48146486282349,54.0110778808594,0.101757444441319,1
