X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
473626.628536341,4434682.99564418,train,1.8251321019023558E-4,49.48566951955155,0.513044270052898
473718.178754241,4434680.63262233,train,5.15382132143058E-4,90.83133237188567,0.7484335018291283
473805.036298005,4434472.10105186,train,6.656064190896294E-4,95.76383211817054,0.7934855430214771
473815.130164937,4434738.96550454,train,9.036767515699919E-4,99.06126684278307,0.8391393185792999
473908.586232772,4434555.89241544,train,6.704557664765764E-4,96.00312539564348,0.7946725460719548
473935.747830172,4434673.42308508,train,8.561507816431505E-4,98.68311626886849,0.8317124822219336
473936.22267041,4434643.37299155,train,6.921227836771882E-4,96.62665109356884,0.7998135955829944
473942.599419476,4434508.38639434,train,3.863282841188139E-4,82.4741714744391,0.6904136485828938
474213.396845688,4433458.55019516,train,2.484234012925366E-4,64.15204741361393,0.5891616875481243
474441.366368383,4433592.86338531,train,7.326096058542769E-4,97.51137144373017,0.808760974867474
474422.08479708,4433539.15095115,train,7.459575915501459E-4,97.65258386840098,0.8115380459780809
474499.178838266,4432955.58603606,train,5.577119483812603E-5,9.319326669047665,0.24353858857801697
474595.68047004,4434948.17526879,train,2.450954384675581E-4,63.57951566074597,0.5858933062952381
474618.988178548,4434924.01368223,train,4.5656095402642406E-4,87.75913118303328,0.7249377958425909
474649.443162662,4434883.02753538,train,5.10751474815778E-4,90.56156070863527,0.7467303646458924
474631.986100117,4434834.32486089,train,5.158664210264434E-4,90.85484747375526,0.7486102992164273
474630.007614934,4433940.72457232,train,3.6167594970802766E-4,80.59720718092433,0.676145732800027
474662.217253871,4432829.65291504,train,1.348508140452017E-4,35.811453243777166,0.4377091617482355
475751.494564062,4435485.3597763,train,6.949994763017974E-5,13.722224422780094,0.2863234702688717
475796.25242747,4435593.23159799,train,3.33978488884321E-5,3.531273598239002,0.161631032410272
476801.27912229,4434743.52916058,train,3.643983729546139E-4,80.80853056879359,0.6777856473049969
477144.152422832,4434539.7274055,train,6.095654463496471E-4,94.04096248213439,0.7787010464034569
477275.420378188,4432181.24998051,train,2.190924113031796E-4,58.3022747908434,0.5584465854678635
477282.097295794,4432042.81272813,train,3.5006073977929313E-4,79.2953872747767,0.6689573415747102
477317.102137586,4432161.03871947,train,2.3004167307084234E-4,60.229025343972076,0.5704351686694227
477331.268557614,4430851.82827333,train,2.983652168639445E-4,72.90385247208022,0.6326691473187037
477389.601427484,4433486.20027707,train,3.0839443347119067E-4,74.45537778386836,0.6403183084107066
477440.34325499,4435066.75039237,train,9.493551472814276E-5,22.4701914767094,0.3540152823962224
477425.787824712,4433691.04498453,train,1.953219731136042E-4,52.51163899273404,0.5299679648050821
477411.101161117,4431327.73178646,train,1.0996238725314905E-4,27.81642144612232,0.38829251098374845
477499.819534493,4433530.09478197,train,2.5068029565417457E-4,64.50661692740749,0.5913489747819087
477478.774392465,4430367.01775964,train,3.5180817102878776E-4,79.5529563053398,0.6700591123654117
477513.339835345,4430321.98176289,train,4.329331775641961E-4,86.0980151866503,0.7142161229518003
477570.864805976,4430339.83216496,train,1.6893563037473616E-4,45.87457630548029,0.49372136117239435
477624.034953912,4431106.22442181,train,8.84966179471226E-5,20.059620463406908,0.3381231582112173
477759.666049652,4430806.00885653,train,2.9116922373178855E-4,71.93375492373305,0.626977283713227
477850.394008106,4435255.02371902,train,2.955131869827101E-4,72.55814837527869,0.630434163657675
478142.806326324,4430937.28289116,train,1.491366779267861E-4,40.01768130369149,0.4626272221650929
478371.81527373,4438053.24765695,train,5.396349950870854E-5,8.767598744227964,0.2375197643211242
478379.521373063,4431448.42505382,train,1.4173507563215872E-4,37.97656950342272,0.44999918658397675
478432.340064381,4431094.69929243,train,3.585425013768666E-4,80.36137262239183,0.6742374427565702
478471.089229703,4431465.7060797,train,2.1887455472758663E-4,58.250532254971326,0.5582012561483304
478463.917852968,4431440.97147013,train,2.5173094863124065E-4,64.65816044522121,0.592359298354306
478492.427775517,4431197.31575478,train,3.49524555786684E-4,79.22362680069871,0.668617796023662
478578.955216179,4435857.94086172,train,1.2225815400054236E-4,31.99114713138106,0.4137465037502837
478585.469515876,4435834.66173491,train,1.9381404103700555E-4,52.230933118815685,0.528036937987101
478574.892622357,4435789.9262396,train,2.4084275669292263E-4,62.80636181347993,0.5816402998905789
478624.753504868,4431595.33966863,train,4.002428296157107E-4,83.67993713719895,0.6979253137553304
479014.218547662,4431305.52482985,train,1.1030983971497476E-4,27.91109316598848,0.3890420971012569
479363.99093796,4432988.27759856,train,4.853651996983821E-5,7.237807496395129,0.21886085587872894
479360.229199745,4432923.22165531,train,1.0236014720100468E-4,25.078441762775967,0.3714185119298594
481376.517915445,4433998.86819858,train,9.498844707242115E-5,22.485665542278827,0.35414276500977343
481440.066925949,4434060.12823842,train,1.2236398566888007E-4,32.02715330300982,0.413956398740904
481482.53785365,4434047.07547029,train,1.0745647805160745E-4,27.028593057078115,0.38283136187507166
482944.330773145,4433965.7794145,train,6.255029887629471E-5,11.49204713367145,0.26528798829968514
483001.938939244,4433989.27141803,train,4.9744883063416935E-5,7.612257729347826,0.2230940226061669
483105.818653542,4434799.14261903,train,6.83072141789312E-5,13.297506046293162,0.2827993025025597
