Predictor variable,Categorical,Sample average
BIO03,false,39.238108520507815
BIO06,false,5.2346429443359375
BIO15,false,53.33833557128907
aspect,false,191.1808883666993
bkd,false,1.310620541572571
blue2023,false,0.11666631966829293
dndvi,false,-0.021787129968870445
fla,false,4147.5597552490235
nir2021,false,0.23719777941703807
rivers,false,228.7200965499878
roads,false,128.42317287445067
slope,false,4.459567145109177
soc,false,21.1743359375
texture,false,4.493679294586181
tpi,false,0.041166766919195304
twi,false,8.860605602264402
wo,false,1.0
