Predictor variable,Categorical,Sample average
BIO03,false,39.19218688964844
BIO06,false,5.271531620025636
BIO15,false,53.44398330688477
aspect,false,184.23804199218756
bkd,false,1.3087411022186273
blue2023,false,0.11551108777523035
dndvi,false,-0.02067086261929946
fla,false,4684.313740234375
nir2021,false,0.23713667273521433
rivers,false,227.91831119537355
roads,false,128.11675403594973
slope,false,5.545540208816528
soc,false,21.289173660278326
texture,false,4.645151767730713
tpi,false,-0.09173280727118285
twi,false,8.521272087097168
wo,false,1.0
