x,y,Phytophthora_PA3_RUN6 logistic values
473334.9838,4433526.1748,0.6284068
473384.9838,4433426.1748,0.37971514
473384.9838,4433526.1748,0.2085165
473384.9838,4436726.1748,0.44936666
473584.9838,4434426.1748,0.2097091
473584.9838,4434476.1748,0.31854248
473634.9838,4436976.1748,0.29193908
473684.9838,4434726.1748,0.19936961
473684.9838,4437426.1748,0.12693803
473734.9838,4434726.1748,0.564262
473734.9838,4436776.1748,0.033991333
473834.9838,4434426.1748,0.7327864
473834.9838,4436776.1748,0.09816489
473834.9838,4436926.1748,0.04710749
473834.9838,4437026.1748,0.058751196
473834.9838,4439476.1748,0.018546278
473884.9838,4432876.1748,0.48081556
473884.9838,4436776.1748,0.03079094
473934.9838,4435826.1748,0.027435062
473934.9838,4437126.1748,0.044458676
473984.9838,4433026.1748,0.56159616
473984.9838,4433326.1748,0.4012269
473984.9838,4437576.1748,0.016414084
473984.9838,4437676.1748,0.014282081
474034.9838,4433226.1748,0.20671593
474084.9838,4433126.1748,0.20232925
474084.9838,4434076.1748,0.039974436
474084.9838,4437176.1748,0.052670196
474084.9838,4437476.1748,0.029296912
474084.9838,4439026.1748,0.0048037786
474134.9838,4435376.1748,0.21691059
474134.9838,4436076.1748,0.37875265
474134.9838,4437076.1748,0.20445092
474134.9838,4438826.1748,0.011323596
474184.9838,4433176.1748,0.24665411
474184.9838,4434026.1748,0.04012053
474184.9838,4434576.1748,0.4467374
474184.9838,4434876.1748,0.3825186
474184.9838,4435876.1748,0.30750394
474184.9838,4437726.1748,0.015411968
474234.9838,4436976.1748,0.024497114
474234.9838,4439426.1748,0.019894876
474284.9838,4434876.1748,0.26997873
474334.9838,4437076.1748,0.027656533
474334.9838,4437326.1748,0.0362334
474334.9838,4439776.1748,0.015115823
474384.9838,4434826.1748,0.7592494
474484.9838,4433276.1748,0.30800092
474484.9838,4434676.1748,0.37287292
474484.9838,4436126.1748,0.013376241
474484.9838,4440276.1748,0.018055784
474534.9838,4434976.1748,0.8179892
474534.9838,4435126.1748,0.27636993
474534.9838,4436726.1748,0.02168048
474534.9838,4437326.1748,0.014532713
474584.9838,4436826.1748,0.09995612
474634.9838,4432876.1748,0.8500677
474634.9838,4434726.1748,0.62950397
474684.9838,4436626.1748,0.05385613
474684.9838,4438976.1748,0.010869481
474734.9838,4432826.1748,0.675617
474784.9838,4433576.1748,0.22288844
474784.9838,4438026.1748,0.0047574854
474784.9838,4438276.1748,0.008469689
474784.9838,4439426.1748,0.008086065
474834.9838,4434626.1748,0.5279993
474834.9838,4437776.1748,0.002920403
474834.9838,4439976.1748,0.055561665
474884.9838,4434626.1748,0.7753171
474884.9838,4436876.1748,0.15731196
474884.9838,4438876.1748,0.015591472
474934.9838,4433826.1748,0.32194117
474934.9838,4436576.1748,0.0793529
474934.9838,4438776.1748,0.005194508
474934.9838,4439376.1748,0.0070334272
474984.9838,4432626.1748,0.5896285
474984.9838,4433076.1748,0.29178798
474984.9838,4435576.1748,0.33727852
474984.9838,4438276.1748,0.004562955
475034.9838,4432526.1748,0.45201486
475034.9838,4432626.1748,0.7685813
475034.9838,4434476.1748,0.5488053
