Predictor variable,Categorical,Sample average
BIO06,false,5.324752847353618
BIO3,false,38.928971290588365
BIO4,false,569.4203465779623
aspect,false,182.84943771362308
bkd,false,1.3008542607227964
clay,false,24.899295568466187
fla,false,2712.26484298706
green,false,0.11592238303273915
rivers,false,230.89903855323794
roads,false,118.71114450693138
sand,false,39.01459328333537
silt,false,36.0858424504598
slope,false,5.689283640434346
soc,false,21.123060782750446
tpi,false,0.17500320480515563
twi,false,8.075025598208109
