background,x,y,bkd,clay,sand,silt,soc,twi,tpi,fla,rivers,roads,green,slope,BIO3,BIO4,BIO06,aspect
background,473334.9838,4434776.1748,1.27999997138977,24.395299911499,40.144229888916,35.4604721069336,20.9790592193604,3.41644382476807,1.29651165008545,429.547485351562,53.7543029785156,396.150421142578,0.0924341455101967,20.3721256256104,38.5233726501465,557.266357421875,5.65643787384033,66.5274276733398
background,473384.9838,4434626.1748,1.28079116344452,24.9835643768311,39.6240081787109,35.3924293518066,21.1232089996338,5.09275674819946,-1.5706650018692,177.328720092773,43.9137725830078,381.01513671875,0.0997241884469986,10.9111547470093,38.8534202575684,556.740600585938,5.63130903244019,106.945205688477
background,473434.9838,4433776.1748,1.2766900062561,28.3818893432617,36.9856758117676,34.6324348449707,22.1086502075195,9.50277328491211,0.408902376890182,1377.09875488281,168.252487182617,50.9225158691406,0.107702061533928,1.58436143398285,38.9781913757324,558.922546386719,5.63135528564453,162.774230957031
background,473484.9838,4434126.1748,1.27124261856079,25.7509880065918,40.1994171142578,34.0495948791504,22.18727684021,7.90245628356934,0.0787119492888451,1559.94409179688,169.215881347656,142.859710693359,0.10036638379097,2.84249830245972,38.7458686828613,559.361938476562,5.65426635742188,201.146865844727
background,473484.9838,4435526.1748,0.574576020240784,10.9717769622803,16.7697086334229,16.2346420288086,10.2106313705444,8.6092643737793,-7.82597303390503,1377.59326171875,41.7601547241211,228.477355957031,0.0842843130230904,20.857946395874,38.3867607116699,557.813049316406,5.64315557479858,280.878753662109
background,473484.9838,4436576.1748,1.33695292472839,23.050350189209,35.2796325683594,41.6809539794922,23.4979381561279,6.81858825683594,-4.14618110656738,2982.75415039062,37.7432975769043,123.764709472656,0.0955328494310379,20.5786075592041,38.3399467468262,562.241516113281,5.62009620666504,208.918197631836
background,473484.9838,4436776.1748,1.32588684558868,23.1703071594238,35.2731094360352,41.5565795898438,24.632495880127,7.55485677719116,0.964373111724854,3428.35302734375,218.000625610352,26.1655445098877,0.115862116217613,9.74197101593018,38.0550537109375,562.777770996094,5.62835788726807,272.25244140625
background,473684.9838,4433676.1748,1.26692807674408,28.52614402771,36.9195404052734,34.554313659668,22.6221027374268,8.01387023925781,0.0820460990071297,4388.06494140625,88.9339065551758,56.6611862182617,0.111167445778847,7.85978174209595,39.0337753295898,559.235412597656,5.61707067489624,271.244659423828
background,473684.9838,4434826.1748,1.27261066436768,25.10693359375,39.7387237548828,35.1496543884277,21.9474964141846,7.59557104110718,0.208757922053337,1809.60925292969,256.61669921875,61.3357925415039,0.104056134819984,3.77630805969238,38.1118545532227,558.986755371094,5.65519237518311,233.664901733398
background,473734.9838,4437576.1748,1.34852039813995,25.0516033172607,31.3073558807373,43.641040802002,25.0026302337646,7.2480616569519,0.212951377034187,1465.46923828125,593.231079101562,107.723907470703,0.111070454120636,4.32324457168579,37.3369255065918,565.25830078125,5.55834245681763,225.394989013672
background,473734.9838,4437726.1748,0.801752269268036,14.9802227020264,18.5638179779053,25.9860382080078,15.2728481292725,7.2521185874939,0.0648592188954353,1032.41064453125,688.66259765625,158.564636230469,0.0984595865011215,3.69767212867737,37.3785209655762,565.318176269531,5.65423583984375,297.8642578125
background,473734.9838,4439326.1748,1.30525851249695,28.3450717926025,33.3042945861816,38.2811012268066,26.7747955322266,6.94688034057617,-0.818050682544708,2008.60717773438,69.7344207763672,739.985778808594,0.0902082547545433,21.8849105834961,37.4270629882812,566.856384277344,5.31543016433716,276.760986328125
