Predictor variable,Categorical,Sample average
BIO06,false,5.3292505645751955
BIO3,false,39.02353515624999
BIO4,false,569.2254516601563
aspect,false,200.20879638671877
bkd,false,1.300105576515198
clay,false,24.832736129760736
fla,false,3765.9803552246094
green,false,0.11551834374666212
rivers,false,236.59838336944588
roads,false,101.22876020431526
sand,false,38.885139617919926
silt,false,36.28016357421875
slope,false,4.4248922884464275
soc,false,21.2519799041748
tpi,false,0.040720969066023904
twi,false,8.833966503143309
